station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
BATA,20160801T000000,71.7,71.7,81,4.8,6.6,32,21,984.21,,,,76.9,74.7,72.3
BATA,20160801T000500,71.5,71.6,82,4.4,6.1,22,14,984.29,,,,76.8,74.7,72.3
BATA,20160801T001000,71.3,71.4,83,6.1,7.6,17,11,984.27,,,,76.8,74.7,72.4
BATA,20160801T001500,71.0,71.1,84,6.2,7.9,12,8,984.29,,,,76.6,74.7,72.4
BATA,20160801T002000,70.8,70.9,85,6.0,8.8,9,6,984.3,,,,76.5,74.7,72.3
BATA,20160801T002500,70.8,70.8,85,6.9,8.6,16,4,984.23,,,,76.5,74.7,72.3
BATA,20160801T003000,70.4,70.5,85,7.2,9.4,25,3,984.13,,,,76.4,74.7,72.3
BATA,20160801T003500,70.1,70.2,86,7.1,9.5,24,3,984.09,,,,76.2,74.7,72.3
BATA,20160801T004000,70.0,70.0,87,7.2,10.4,23,2,984.09,,,,75.9,74.7,72.3
BATA,20160801T004500,69.7,69.8,88,6.4,8.8,27,1,984.2,,,,75.9,74.7,72.3
BATA,20160801T005000,69.6,69.7,88,6.8,9.8,25,1,984.27,,,,75.7,74.7,72.3
BATA,20160801T005500,69.3,69.4,89,6.4,9.4,27,0,984.33,,,,75.6,74.7,72.4
BATA,20160801T010000,69.3,69.3,89,7.0,10.0,28,0,984.32,,,,75.6,74.7,72.3
BATA,20160801T010500,69.1,69.2,89,5.7,7.6,31,0,984.4,,,,75.5,74.7,72.3
BATA,20160801T011000,69.0,69.1,89,5.7,8.3,33,0,984.43,,,,75.2,74.7,72.4
BATA,20160801T011500,68.8,68.9,90,5.9,9.4,30,0,984.39,,,,75.0,74.7,72.4
BATA,20160801T012000,68.7,68.8,90,6.0,8.4,31,0,984.39,,,,75.0,74.7,72.4
BATA,20160801T012500,68.6,68.7,90,4.5,7.0,47,0,984.49,,,,74.8,74.7,72.4
BATA,20160801T013000,68.4,68.4,91,3.3,6.1,62,0,984.52,,,,74.7,74.7,72.3
BATA,20160801T013500,68.2,68.3,91,4.2,6.6,43,0,984.54,,,,74.7,74.7,72.4
BATA,20160801T014000,68.1,68.1,92,3.9,7.4,44,0,984.54,,,,74.7,74.7,72.3
BATA,20160801T014500,68.1,68.1,92,2.9,5.3,50,0,984.63,,,,74.7,74.7,72.4
BATA,20160801T015000,68.0,68.1,92,2.3,3.7,44,0,984.75,,,,74.6,74.7,72.4
BATA,20160801T015500,68.0,68.1,92,2.6,3.8,57,0,984.85,,,,74.4,74.7,72.4
BATA,20160801T020000,67.9,68.0,92,2.7,3.6,56,0,984.9,,,,74.3,74.7,72.3
BATA,20160801T020500,67.8,68.0,92,2.7,4.0,55,0,984.9,,,,74.3,74.7,72.4
BATA,20160801T021000,67.6,67.8,93,2.5,4.2,67,0,984.83,,,,74.2,74.7,72.4
BATA,20160801T021500,67.5,67.6,93,1.4,3.0,99,0,984.83,,,,74.0,74.7,72.4
BATA,20160801T022000,67.5,67.6,93,2.0,3.4,96,0,984.84,,,,73.9,74.7,72.4
BATA,20160801T022500,67.6,67.7,93,1.7,3.4,86,0,984.87,,,,73.9,74.7,72.4
BATA,20160801T023000,67.5,67.7,93,1.5,2.9,82,0,984.92,,,,73.9,74.7,72.4
