station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
BATA,20170201T000000,43.01994,-78.13566,27.9,27.7,0,96.0,972.2,8.7,11.8,248.4,34.7,36.0,37.5,0.0,0.12,0.02
BATA,20170201T000500,43.01994,-78.13566,28.0,27.8,0,96.0,972.3,8.2,12.3,252.1,34.7,36.0,37.4,0.0,0.0,0.02
BATA,20170201T001000,43.01994,-78.13566,28.2,27.9,0,96.1,972.3,9.8,13.9,250.5,34.7,36.0,37.5,0.0,0.01,0.02
BATA,20170201T001500,43.01994,-78.13566,28.5,28.3,0,96.3,972.4,11.1,16.4,247.4,34.7,36.0,37.5,0.0,0.01,0.03
BATA,20170201T002000,43.01994,-78.13566,28.9,28.7,0,96.4,972.4,12.6,18.0,247.2,34.7,36.0,37.4,0.0,0.01,0.03
BATA,20170201T002500,43.01994,-78.13566,29.1,28.9,0,96.2,972.4,12.4,18.4,251.7,34.7,36.0,37.4,0.0,0.01,0.03
BATA,20170201T003000,43.01994,-78.13566,29.4,29.2,0,96.1,972.5,14.9,20.8,255.3,34.7,36.0,37.5,0.0,0.01,0.03
BATA,20170201T003500,43.01994,-78.13566,29.6,29.4,0,96.1,972.5,15.5,21.9,256.9,34.7,36.0,37.4,0.0,0.01,0.03
BATA,20170201T004000,43.01994,-78.13566,29.8,29.5,0,96.1,972.7,17.2,26.2,254.8,34.7,36.0,37.5,0.0,0.01,0.03
BATA,20170201T004500,43.01994,-78.13566,29.9,29.7,0,95.6,972.6,16.9,25.6,258.3,34.7,36.0,37.5,0.0,0.02,0.04
BATA,20170201T005000,43.01994,-78.13566,29.9,29.8,0,94.8,972.7,18.1,24.3,259.5,34.7,36.0,37.5,0.0,0.02,0.04
BATA,20170201T005500,43.01994,-78.13566,30.0,29.8,0,93.7,972.8,18.1,26.0,261.4,34.7,36.0,37.5,0.0,0.02,0.04
BATA,20170201T010000,43.01994,-78.13566,29.9,29.7,0,93.0,972.9,17.6,29.2,263.9,34.7,36.0,37.4,0.0,0.02,0.04
BATA,20170201T010500,43.01994,-78.13566,29.6,29.4,0,92.3,973.0,18.9,27.6,259.5,34.7,36.0,37.5,0.0,0.02,0.04
BATA,20170201T011000,43.01994,-78.13566,29.3,29.0,0,92.3,973.1,22.2,33.2,256.2,34.7,36.0,37.5,0.0,0.02,0.04
BATA,20170201T011500,43.01994,-78.13566,28.9,28.7,0,93.0,973.2,19.7,25.8,260.2,34.7,36.0,37.5,0.0,0.03,0.04
BATA,20170201T012000,43.01994,-78.13566,28.7,28.5,0,93.3,973.2,18.1,27.5,264.2,34.7,36.0,37.5,0.0,0.03,0.05
BATA,20170201T012500,43.01994,-78.13566,28.6,28.4,0,93.6,973.3,18.0,30.3,259.5,34.7,36.0,37.4,0.0,0.03,0.05
BATA,20170201T013000,43.01994,-78.13566,28.6,28.3,0,94.0,973.4,16.8,24.0,264.5,34.7,36.0,37.5,0.0,0.03,0.05
BATA,20170201T013500,43.01994,-78.13566,28.6,28.4,0,93.5,973.5,19.2,29.2,261.5,34.7,36.0,37.4,0.0,0.03,0.05
BATA,20170201T014000,43.01994,-78.13566,28.7,28.5,0,92.5,973.6,19.4,26.2,258.2,34.7,36.0,37.4,0.0,0.04,0.05
BATA,20170201T014500,43.01994,-78.13566,28.6,28.4,0,92.0,973.6,20.3,29.4,259.8,34.7,36.0,37.5,0.0,0.04,0.05
BATA,20170201T015000,43.01994,-78.13566,28.6,28.4,0,92.5,973.6,18.8,26.7,262.3,34.7,36.0,37.5,0.0,0.04,0.06
BATA,20170201T015500,43.01994,-78.13566,28.6,28.3,0,92.7,973.7,16.6,22.7,264.6,34.7,36.0,37.5,0.0,0.04,0.06
BATA,20170201T020000,43.01994,-78.13566,28.6,28.3,0,93.5,973.8,18.5,26.0,259.2,34.7,36.0,37.4,0.0,0.04,0.06
BATA,20170201T020500,43.01994,-78.13566,28.6,28.4,0,93.4,973.9,17.0,22.5,260.4,34.7,36.0,37.4,0.0,0.04,0.06
BATA,20170201T021000,43.01994,-78.13566,28.6,28.4,0,94.1,973.9,19.1,26.5,257.2,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T021500,43.01994,-78.13566,28.6,28.3,0,94.1,974.0,17.7,24.6,257.7,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T022000,43.01994,-78.13566,28.5,28.3,0,93.9,974.0,18.0,24.7,259.4,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T022500,43.01994,-78.13566,28.6,28.4,0,93.6,974.1,18.1,25.7,259.6,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T023000,43.01994,-78.13566,28.8,28.6,0,92.1,974.1,18.7,27.0,257.9,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T023500,43.01994,-78.13566,28.8,28.6,0,90.2,974.1,17.3,24.3,258.0,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T024000,43.01994,-78.13566,28.9,28.7,0,87.9,974.2,16.3,22.4,254.8,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T024500,43.01994,-78.13566,28.8,28.7,0,84.9,974.2,20.2,29.7,259.2,34.7,36.0,37.5,0.0,0.05,0.07
BATA,20170201T025000,43.01994,-78.13566,28.7,28.7,0,82.5,974.3,23.4,33.8,256.4,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T025500,43.01994,-78.13566,28.7,28.7,0,81.0,974.4,23.4,30.8,254.2,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T030000,43.01994,-78.13566,28.7,28.6,0,80.3,974.5,22.9,29.5,258.6,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T030500,43.01994,-78.13566,28.7,28.6,0,79.4,974.5,23.2,31.6,258.8,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T031000,43.01994,-78.13566,28.5,28.5,0,79.7,974.6,19.6,27.5,255.7,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T031500,43.01994,-78.13566,28.4,28.3,0,79.0,974.7,20.8,26.7,261.3,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T032000,43.01994,-78.13566,28.2,28.1,0,79.2,974.7,18.1,27.8,259.8,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T032500,43.01994,-78.13566,28.2,28.1,0,78.9,974.7,17.9,25.6,259.1,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T033000,43.01994,-78.13566,28.1,28.0,0,79.1,974.7,17.6,23.1,262.2,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T033500,43.01994,-78.13566,28.0,27.9,0,79.2,974.7,16.8,24.1,265.5,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T034000,43.01994,-78.13566,27.9,27.8,0,79.9,974.7,16.8,21.7,264.5,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T034500,43.01994,-78.13566,27.8,27.7,0,80.3,974.8,15.8,22.2,264.6,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T035000,43.01994,-78.13566,27.8,27.7,0,80.4,974.8,17.4,24.0,266.1,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T035500,43.01994,-78.13566,27.8,27.7,0,80.4,974.9,16.3,23.0,262.5,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T040000,43.01994,-78.13566,27.7,27.6,0,81.2,974.9,12.6,17.2,267.6,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T040500,43.01994,-78.13566,27.8,27.6,0,81.2,975.0,14.6,19.9,268.6,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T041000,43.01994,-78.13566,27.8,27.7,0,81.4,975.1,16.8,23.2,263.6,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T041500,43.01994,-78.13566,27.9,27.8,0,81.3,975.1,17.1,23.4,262.9,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T042000,43.01994,-78.13566,28.1,27.9,0,81.1,975.1,18.4,24.8,262.9,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T042500,43.01994,-78.13566,28.1,27.9,0,80.9,975.2,15.7,24.0,262.9,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T043000,43.01994,-78.13566,28.1,27.9,0,80.9,975.2,15.6,22.4,261.0,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T043500,43.01994,-78.13566,28.1,27.9,0,81.5,975.2,14.0,20.3,260.5,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T044000,43.01994,-78.13566,28.2,28.0,0,81.2,975.2,15.5,23.3,258.5,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T044500,43.01994,-78.13566,28.3,28.1,0,81.4,975.2,15.6,22.7,255.9,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T045000,43.01994,-78.13566,28.4,28.3,0,81.0,975.2,15.1,23.7,254.8,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T045500,43.01994,-78.13566,28.5,28.4,0,79.8,975.3,18.3,25.1,256.3,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T050000,43.01994,-78.13566,28.6,28.6,0,78.8,975.3,18.5,27.4,248.2,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T050500,43.01994,-78.13566,28.7,28.6,0,78.1,975.4,19.8,33.5,250.0,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T051000,43.01994,-78.13566,28.5,28.4,0,79.1,975.4,16.8,21.1,253.8,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T051500,43.01994,-78.13566,28.5,28.4,0,79.3,975.4,17.7,26.2,254.2,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T052000,43.01994,-78.13566,28.5,28.4,0,79.4,975.4,19.6,26.9,255.0,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T052500,43.01994,-78.13566,28.5,28.4,0,79.1,975.5,20.1,28.3,253.3,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T053000,43.01994,-78.13566,28.5,28.4,0,78.4,975.5,20.1,30.5,252.3,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T053500,43.01994,-78.13566,28.4,28.3,0,78.1,975.4,17.4,26.7,252.8,34.7,36.0,37.5,0.0,0.06,0.07
BATA,20170201T054000,43.01994,-78.13566,28.4,28.3,0,77.8,975.4,20.5,29.3,255.8,34.7,36.0,37.4,0.0,0.06,0.07
BATA,20170201T054500,43.01994,-78.13566,28.3,28.2,0,77.6,975.5,21.1,31.9,256.6,34.7,36.0,37.5,0.0,0.06,0.08
BATA,20170201T055000,43.01994,-78.13566,28.2,28.2,0,77.0,975.6,23.4,29.8,254.2,34.7,36.0,37.5,0.0,0.06,0.08
BATA,20170201T055500,43.01994,-78.13566,28.2,28.0,0,76.8,975.6,20.4,28.8,259.1,34.7,36.0,37.4,0.0,0.06,0.08
BATA,20170201T060000,43.01994,-78.13566,28.1,28.0,0,76.3,975.6,20.0,27.9,260.1,34.7,36.0,37.4,0.0,0.06,0.08
BATA,20170201T060500,43.01994,-78.13566,28.0,28.0,0,76.6,975.6,18.9,27.7,253.3,34.7,36.0,37.5,0.0,0.06,0.08
BATA,20170201T061000,43.01994,-78.13566,28.0,27.9,0,76.5,975.6,19.5,27.2,255.4,34.7,36.0,37.5,0.0,0.06,0.08
BATA,20170201T061500,43.01994,-78.13566,28.1,28.0,0,76.3,975.7,20.1,32.1,259.2,34.7,36.0,37.5,0.0,0.06,0.08
