station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
BROC,20160901T000000,69.0,69.1,94,4.2,5.8,265,1,991.56,,,,74.9,74.2,72.9
BROC,20160901T000500,68.9,68.9,95,3.6,5.0,254,0,991.66,,,,74.9,74.2,72.9
BROC,20160901T001000,68.7,68.7,95,4.1,6.1,242,0,991.79,,,,74.9,74.1,72.8
BROC,20160901T001500,68.4,68.3,95,4.7,7.9,232,0,991.89,,,,74.8,74.2,73.0
BROC,20160901T002000,68.2,68.1,95,4.5,8.2,236,0,991.99,,,,74.9,74.2,72.9
BROC,20160901T002500,68.2,68.1,95,4.2,8.4,234,0,992.02,,,,74.9,74.2,73.0
BROC,20160901T003000,68.0,68.0,95,4.2,6.8,242,0,992.07,,,,74.7,74.3,72.9
BROC,20160901T003500,67.7,67.8,95,3.3,4.9,220,0,992.05,,,,74.8,74.3,73.0
BROC,20160901T004000,67.6,67.7,95,3.7,6.7,223,0,992.05,,,,74.7,74.3,73.0
BROC,20160901T004500,67.3,67.5,95,2.9,4.8,226,0,992.03,,,,74.8,74.2,72.9
BROC,20160901T005000,67.2,67.5,95,2.5,3.8,244,0,992.0,,,,74.7,74.2,73.0
BROC,20160901T005500,67.0,67.4,95,2.6,4.4,243,0,992.03,,,,74.7,74.2,72.9
BROC,20160901T010000,67.2,67.7,95,4.1,6.1,237,0,992.16,,,,74.7,74.3,73.0
BROC,20160901T010500,67.1,67.5,95,4.3,6.1,231,0,992.23,,,,74.7,74.3,72.9
BROC,20160901T011000,67.4,67.8,95,5.0,7.9,238,0,992.3,,,,74.7,74.3,73.0
BROC,20160901T011500,67.7,68.3,93,4.4,7.3,245,0,992.34,,,,74.6,74.3,73.1
BROC,20160901T012000,67.6,68.1,93,4.1,5.9,240,0,992.34,,,,74.6,74.3,72.9
BROC,20160901T012500,67.3,67.9,94,4.3,6.7,240,0,992.39,,,,74.6,74.2,73.0
BROC,20160901T013000,67.3,67.9,94,4.3,6.3,240,0,992.41,,,,74.6,74.4,73.0
BROC,20160901T013500,67.3,67.9,93,3.6,5.6,255,0,992.47,,,,74.6,74.2,73.0
BROC,20160901T014000,67.1,67.7,94,4.1,6.6,260,0,992.48,,,,74.5,74.3,73.0
BROC,20160901T014500,67.1,67.6,94,4.6,6.2,262,0,992.48,,,,74.6,74.2,73.0
BROC,20160901T015000,67.0,67.4,94,5.2,7.2,268,0,992.54,,,,74.5,74.2,73.0
BROC,20160901T015500,67.0,67.4,93,5.0,8.0,285,0,992.55,,,,74.5,74.3,73.0
BROC,20160901T020000,67.1,67.6,92,4.8,7.2,289,0,992.55,,,,74.5,74.2,72.9
