station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
CLYM,20160901T000000,67.9,68.3,94,4.0,5.6,271,3,961.34,,,,71.7,71.3,70.7
CLYM,20160901T000500,67.9,68.1,94,3.1,5.2,275,3,961.37,,,,71.6,71.3,70.7
CLYM,20160901T001000,67.7,68.0,94,2.0,3.4,270,1,961.34,,,,71.6,71.4,70.7
CLYM,20160901T001500,67.5,67.8,95,1.6,2.7,276,0,961.42,,,,71.6,71.3,70.8
CLYM,20160901T002000,67.4,67.7,95,1.5,2.7,250,0,961.48,,,,71.7,71.3,70.7
CLYM,20160901T002500,67.3,67.6,95,0.9,2.6,268,0,961.48,,,,71.7,71.3,70.8
CLYM,20160901T003000,66.9,67.5,96,1.2,2.5,57,0,961.43,,,,71.7,71.3,70.7
CLYM,20160901T003500,66.7,67.4,96,0.9,1.5,18,0,961.48,,,,71.6,71.4,70.7
CLYM,20160901T004000,66.8,67.3,97,1.2,2.3,320,0,961.56,,,,71.7,71.3,70.8
CLYM,20160901T004500,66.5,67.2,97,0.8,1.8,289,0,961.62,,,,71.7,71.4,70.8
CLYM,20160901T005000,66.0,67.0,97,0.1,0.3,285,0,961.65,,,,71.7,71.3,70.7
CLYM,20160901T005500,66.1,66.9,97,0.1,0.1,283,0,961.7,,,,71.7,71.4,70.7
CLYM,20160901T010000,66.0,66.8,97,0.3,1.4,299,0,961.77,,,,71.7,71.4,70.7
CLYM,20160901T010500,66.4,66.8,98,1.7,2.7,316,0,961.83,,,,71.7,71.4,70.7
CLYM,20160901T011000,66.4,66.8,98,2.2,2.8,305,0,961.9,,,,71.6,71.4,70.8
CLYM,20160901T011500,66.6,66.9,98,1.6,2.1,299,0,961.93,,,,71.7,71.3,70.8
CLYM,20160901T012000,66.7,66.9,98,2.0,2.6,288,0,962.02,,,,71.7,71.3,70.7
CLYM,20160901T012500,66.8,66.9,98,1.6,2.3,275,0,962.07,,,,71.6,71.4,70.7
CLYM,20160901T013000,66.8,66.8,98,1.0,1.9,280,0,962.07,,,,71.7,71.4,70.7
CLYM,20160901T013500,66.4,66.7,98,0.4,2.1,283,0,962.04,,,,71.6,71.4,70.7
CLYM,20160901T014000,66.0,66.6,98,0.1,0.7,2,0,962.01,,,,71.5,71.3,70.7
CLYM,20160901T014500,65.7,66.5,98,0.0,0.0,0,0,962.0,,,,71.6,71.4,70.7
