station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
COBL,20160901T000000,70.1,70.4,70,3.7,5.9,254,0,973.6,0.0,0.009,0.009,68.7,67.7,67.3
COBL,20160901T000500,69.7,70.3,70,4.4,7.0,250,0,973.67,0.0,0.009,0.009,68.6,67.7,67.3
COBL,20160901T001000,69.6,70.1,71,4.0,6.4,257,0,973.62,0.0,0.009,0.009,68.6,67.7,67.3
COBL,20160901T001500,69.5,70.0,71,4.3,7.7,262,0,973.75,0.0,0.009,0.009,68.6,67.6,67.3
COBL,20160901T002000,69.5,70.0,72,3.0,5.9,280,0,973.79,0.0,0.009,0.009,68.6,67.7,67.3
COBL,20160901T002500,69.4,69.9,71,2.1,5.0,273,0,973.82,0.0,0.009,0.009,68.6,67.6,67.3
COBL,20160901T003000,68.6,69.8,73,0.3,1.8,295,0,973.8,0.0,0.009,0.009,68.6,67.8,67.3
COBL,20160901T003500,68.2,69.5,75,1.0,3.4,268,0,973.8,0.0,0.009,0.009,68.6,67.7,67.3
COBL,20160901T004000,67.0,69.2,77,0.8,1.5,0,0,973.74,0.0,0.009,0.009,68.6,67.7,67.2
COBL,20160901T004500,66.6,68.7,78,0.5,1.3,0,0,973.79,0.0,0.009,0.009,68.6,67.7,67.3
COBL,20160901T005000,66.6,68.6,80,0.6,1.9,347,0,973.86,0.0,0.009,0.009,68.6,67.7,67.3
COBL,20160901T005500,66.1,68.6,81,0.5,2.6,289,0,974.03,0.0,0.009,0.009,68.6,67.8,67.3
COBL,20160901T010000,66.3,67.7,81,1.9,3.7,246,0,974.12,0.0,0.009,0.009,68.5,67.7,67.3
COBL,20160901T010500,66.3,68.2,81,2.4,3.7,242,0,974.19,0.0,0.009,0.009,68.6,67.6,67.2
COBL,20160901T011000,65.5,67.9,83,1.5,2.5,262,0,974.26,0.0,0.009,0.009,68.5,67.7,67.3
COBL,20160901T011500,65.6,67.6,84,0.8,1.8,248,0,974.24,0.0,0.009,0.009,68.5,67.7,67.3
COBL,20160901T012000,65.8,67.6,83,0.2,0.9,203,0,974.24,0.0,0.009,0.009,68.5,67.7,67.2
COBL,20160901T012500,64.7,66.5,85,1.9,3.4,245,0,974.31,0.0,0.009,0.009,68.5,67.7,67.2
COBL,20160901T013000,65.1,66.8,85,2.1,2.7,263,0,974.42,0.0,0.009,0.009,68.4,67.7,67.2
COBL,20160901T013500,64.9,67.1,85,1.7,2.6,268,0,974.45,0.0,0.009,0.009,68.5,67.7,67.3
COBL,20160901T014000,64.7,67.3,86,1.6,2.5,270,0,974.42,0.0,0.009,0.009,68.5,67.7,67.2
COBL,20160901T014500,64.8,67.3,86,0.5,2.0,272,0,974.4,0.0,0.009,0.009,68.4,67.7,67.3
COBL,20160901T015000,64.9,67.3,85,0.4,1.8,277,0,974.39,0.0,0.009,0.009,68.4,67.7,67.2
COBL,20160901T015500,64.9,67.0,85,1.6,2.8,278,0,974.36,0.0,0.009,0.009,68.3,67.7,67.2
COBL,20160901T020000,64.5,67.3,87,1.2,2.6,304,0,974.31,0.0,0.009,0.009,68.2,67.7,67.3
COBL,20160901T020500,64.4,67.4,86,1.1,2.1,257,0,974.27,0.0,0.009,0.009,68.3,67.7,67.2
COBL,20160901T021000,64.8,67.4,86,0.9,3.4,283,0,974.23,0.0,0.009,0.009,68.2,67.7,67.3
COBL,20160901T021500,64.4,66.6,86,1.4,2.8,210,0,974.28,0.0,0.009,0.009,68.2,67.7,67.3
