station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
COBL,20170401T000000,42.67627,-74.50797,31.9,31.8,0,97.8,970.2,9.2,12.3,57.6,34.2,34.7,35.8,0.0,0.98,1.01
COBL,20170401T000500,42.67627,-74.50797,31.9,31.9,0,97.7,970.1,8.7,13.0,58.8,34.2,34.7,35.8,0.0,0.98,0.0
COBL,20170401T001000,42.67627,-74.50797,32.0,31.9,0,97.7,970.1,8.1,12.6,57.2,34.2,34.8,35.8,0.0,0.98,0.0
COBL,20170401T001500,42.67627,-74.50797,32.0,31.9,0,97.6,970.1,8.0,11.5,58.4,34.2,34.7,35.8,0.0,0.98,0.0
COBL,20170401T002000,42.67627,-74.50797,32.0,32.0,0,97.6,970.1,8.9,14.5,56.4,34.2,34.7,35.8,0.0,0.98,0.0
COBL,20170401T002500,42.67627,-74.50797,32.0,32.0,0,97.5,970.1,8.4,16.1,56.7,34.2,34.8,35.8,0.0,0.98,0.0
COBL,20170401T003000,42.67627,-74.50797,32.1,32.0,0,97.4,970.1,9.5,14.1,58.3,34.2,34.7,35.8,0.0,0.98,0.0
COBL,20170401T003500,42.67627,-74.50797,32.1,32.0,0,97.3,970.0,8.3,13.4,58.4,34.2,34.7,35.8,0.0,0.98,0.0
COBL,20170401T004000,42.67627,-74.50797,32.0,32.0,0,97.2,970.0,7.8,11.5,55.5,34.2,34.8,35.8,0.0,0.98,0.0
COBL,20170401T004500,42.67627,-74.50797,32.0,32.0,0,97.3,970.0,8.2,11.2,61.7,34.2,34.7,35.8,0.0,0.98,0.01
COBL,20170401T005000,42.67627,-74.50797,32.0,32.0,0,97.3,970.0,8.0,11.9,57.5,34.1,34.8,35.8,0.0,0.98,0.01
COBL,20170401T005500,42.67627,-74.50797,32.0,32.0,0,97.3,970.0,7.5,10.7,61.9,34.2,34.8,35.8,0.0,0.98,0.01
COBL,20170401T010000,42.67627,-74.50797,32.0,32.0,0,97.3,970.0,7.1,11.6,57.5,34.2,34.7,35.8,0.0,0.98,0.01
COBL,20170401T010500,42.67627,-74.50797,32.0,32.0,0,97.3,970.0,6.9,11.6,59.0,34.1,34.8,35.8,0.0,0.0,0.01
COBL,20170401T011000,42.67627,-74.50797,32.0,32.0,0,97.4,969.9,8.1,11.8,51.8,34.2,34.8,35.8,0.0,0.0,0.01
COBL,20170401T011500,42.67627,-74.50797,32.1,32.0,0,97.4,970.0,6.8,10.2,57.7,34.1,34.7,35.8,0.0,0.0,0.01
COBL,20170401T012000,42.67627,-74.50797,32.0,32.0,0,97.4,970.0,6.1,8.6,53.8,34.2,34.8,35.8,0.0,0.0,0.01
COBL,20170401T012500,42.67627,-74.50797,32.1,32.0,0,97.4,970.0,7.5,11.3,51.7,34.1,34.7,35.8,0.0,0.0,0.01
COBL,20170401T013000,42.67627,-74.50797,32.1,32.0,0,97.5,970.0,8.0,11.5,49.4,34.1,34.7,35.8,0.0,0.01,0.01
COBL,20170401T013500,42.67627,-74.50797,32.1,32.1,0,97.5,970.0,7.0,10.2,49.7,34.1,34.7,35.8,0.0,0.01,0.01
COBL,20170401T014000,42.67627,-74.50797,32.1,32.1,0,97.5,970.0,8.0,12.1,50.6,34.1,34.7,35.8,0.0,0.01,0.01
COBL,20170401T014500,42.67627,-74.50797,32.1,32.1,0,97.5,970.0,8.3,12.0,49.1,34.1,34.8,35.8,0.0,0.01,0.01
COBL,20170401T015000,42.67627,-74.50797,32.1,32.1,0,97.5,969.9,6.6,10.7,50.1,34.1,34.8,35.8,0.0,0.01,0.01
COBL,20170401T015500,42.67627,-74.50797,32.1,32.0,0,97.5,969.9,6.2,9.6,53.2,34.2,34.7,35.8,0.0,0.01,0.02
COBL,20170401T020000,42.67627,-74.50797,32.1,32.0,0,97.5,969.8,8.1,11.1,50.8,34.1,34.7,35.8,0.0,0.01,0.02
COBL,20170401T020500,42.67627,-74.50797,32.1,32.0,0,97.5,969.8,7.2,10.7,49.0,34.1,34.7,35.8,0.0,0.01,0.02
COBL,20170401T021000,42.67627,-74.50797,32.1,32.0,0,97.5,969.8,7.4,11.3,49.1,34.2,34.7,35.8,0.0,0.01,0.02
COBL,20170401T021500,42.67627,-74.50797,32.0,32.0,0,97.4,969.8,7.3,11.5,47.7,34.1,34.7,35.8,0.0,0.01,0.02
COBL,20170401T022000,42.67627,-74.50797,32.0,31.9,0,97.3,969.7,7.6,12.2,46.7,34.1,34.8,35.8,0.0,0.01,0.02
COBL,20170401T022500,42.67627,-74.50797,31.9,31.9,0,97.2,969.7,7.7,11.5,49.0,34.1,34.7,35.8,0.0,0.01,0.02
COBL,20170401T023000,42.67627,-74.50797,31.9,31.8,0,97.1,969.7,7.9,12.1,43.5,34.1,34.8,35.8,0.0,0.02,0.02
COBL,20170401T023500,42.67627,-74.50797,31.9,31.8,0,97.0,969.7,7.2,11.7,39.5,34.1,34.7,35.9,0.0,0.02,0.02
COBL,20170401T024000,42.67627,-74.50797,31.8,31.8,0,96.9,969.7,6.9,10.4,45.5,34.1,34.7,35.8,0.0,0.02,0.03
COBL,20170401T024500,42.67627,-74.50797,31.9,31.8,0,96.9,969.7,6.5,10.2,46.4,34.1,34.7,35.8,0.0,0.02,0.03
COBL,20170401T025000,42.67627,-74.50797,31.8,31.8,0,96.9,969.8,7.5,12.1,40.2,34.1,34.7,35.8,0.0,0.02,0.03
COBL,20170401T025500,42.67627,-74.50797,31.7,31.7,0,96.9,969.8,7.6,10.3,51.3,34.2,34.8,35.8,0.0,0.02,0.03
COBL,20170401T030000,42.67627,-74.50797,31.6,31.6,0,96.9,969.8,7.0,9.6,51.7,34.1,34.7,35.9,0.0,0.03,0.03
COBL,20170401T030500,42.67627,-74.50797,31.7,31.6,0,97.0,969.8,7.8,11.4,42.7,34.1,34.7,35.8,0.0,0.03,0.03
COBL,20170401T031000,42.67627,-74.50797,31.7,31.6,0,96.8,969.8,8.2,12.9,51.1,34.1,34.7,35.8,0.0,0.03,0.03
COBL,20170401T031500,42.67627,-74.50797,31.6,31.5,0,96.8,969.8,8.6,13.2,50.1,34.1,34.7,35.8,0.0,0.03,0.03
COBL,20170401T032000,42.67627,-74.50797,31.5,31.4,0,96.8,969.8,8.5,13.6,49.4,34.1,34.7,35.8,0.0,0.03,0.03
COBL,20170401T032500,42.67627,-74.50797,31.5,31.4,0,96.8,969.8,8.0,11.3,45.5,34.1,34.7,35.8,0.0,0.03,0.03
COBL,20170401T033000,42.67627,-74.50797,31.5,31.4,0,96.8,969.8,8.2,11.5,51.8,34.1,34.7,35.8,0.0,0.03,0.03
COBL,20170401T033500,42.67627,-74.50797,31.4,31.4,0,96.9,969.9,7.5,10.9,47.2,34.1,34.7,35.9,0.0,0.03,0.03
COBL,20170401T034000,42.67627,-74.50797,31.4,31.3,0,97.0,969.8,7.8,11.3,52.4,34.1,34.8,35.9,0.0,0.03,0.04
COBL,20170401T034500,42.67627,-74.50797,31.4,31.3,0,97.1,969.8,7.0,10.3,56.0,34.1,34.7,35.8,0.0,0.03,0.04
COBL,20170401T035000,42.67627,-74.50797,31.3,31.2,0,97.2,969.8,6.1,9.9,59.8,34.1,34.7,35.9,0.0,0.03,0.04
COBL,20170401T035500,42.67627,-74.50797,31.3,31.2,0,97.4,969.8,6.2,9.3,60.2,34.1,34.7,35.9,0.0,0.03,0.04
COBL,20170401T040000,42.67627,-74.50797,31.2,31.2,0,97.5,969.8,5.9,9.1,55.2,34.1,34.7,35.9,0.0,0.03,0.04
COBL,20170401T040500,42.67627,-74.50797,31.2,31.1,0,97.6,969.8,5.5,8.8,62.3,34.1,34.7,35.9,0.0,0.03,0.04
COBL,20170401T041000,42.67627,-74.50797,31.2,31.1,0,97.7,969.9,4.3,7.6,65.4,34.1,34.7,35.9,0.0,0.03,0.04
COBL,20170401T041500,42.67627,-74.50797,31.2,31.1,0,97.8,969.9,4.3,6.6,60.3,34.1,34.7,35.9,0.0,0.03,0.04
COBL,20170401T042000,42.67627,-74.50797,31.2,31.1,0,97.8,970.0,4.7,7.2,55.5,34.1,34.8,35.9,0.0,0.03,0.04
