station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
COLD,20160701T000000,67.8,69.0,67,1.0,1.4,185,40,965.74,,,,74.7,69.3,66.6
COLD,20160701T000500,66.2,69.2,70,0.7,1.2,171,34,965.72,,,,74.6,69.2,66.6
COLD,20160701T001000,65.3,68.7,73,0.7,1.0,173,27,965.71,,,,74.4,69.3,66.5
COLD,20160701T001500,65.0,68.0,71,0.2,0.7,179,22,965.7,,,,74.3,69.3,66.6
COLD,20160701T002000,65.5,67.8,75,0.2,0.9,188,23,965.67,,,,74.3,69.3,66.7
COLD,20160701T002500,65.2,67.1,79,0.7,1.2,197,29,965.67,,,,74.2,69.3,66.7
COLD,20160701T003000,65.2,66.4,79,0.3,1.1,291,16,965.68,,,,74.0,69.3,66.7
COLD,20160701T003500,65.4,67.0,73,0.0,0.1,344,9,965.65,,,,73.9,69.3,66.7
COLD,20160701T004000,64.6,66.2,76,0.1,0.1,343,7,965.62,,,,73.9,69.3,66.7
COLD,20160701T004500,64.2,66.1,83,0.0,0.1,322,6,965.62,,,,73.9,69.3,66.7
COLD,20160701T005000,63.4,66.9,77,0.5,1.3,87,6,965.66,,,,73.5,69.3,66.7
COLD,20160701T005500,63.1,66.6,79,0.1,0.8,75,5,965.74,,,,73.4,69.3,66.7
COLD,20160701T010000,62.2,65.9,80,0.0,0.0,0,3,965.8,,,,73.4,69.3,66.7
COLD,20160701T010500,61.0,64.7,83,0.4,1.2,108,1,965.88,,,,73.1,69.3,66.7
COLD,20160701T011000,62.5,65.9,82,2.2,3.9,105,0,965.91,,,,73.0,69.3,66.7
COLD,20160701T011500,61.9,65.5,85,1.4,3.7,118,0,965.97,,,,73.0,69.3,66.7
COLD,20160701T012000,61.4,64.8,88,0.4,1.7,119,0,966.0,,,,72.9,69.3,66.7
COLD,20160701T012500,61.5,64.6,85,0.0,0.0,0,0,966.04,,,,72.7,69.3,66.7
COLD,20160701T013000,62.0,64.4,83,0.0,0.1,73,0,966.07,,,,72.7,69.3,66.7
COLD,20160701T013500,61.9,63.9,82,0.1,0.8,76,0,966.09,,,,72.6,69.3,66.7
COLD,20160701T014000,61.7,63.6,80,0.3,0.8,92,0,966.11,,,,72.3,69.3,66.7
COLD,20160701T014500,61.4,62.9,83,0.1,0.8,103,0,966.16,,,,72.3,69.3,66.7
COLD,20160701T015000,60.5,62.8,86,0.0,0.0,0,0,966.21,,,,72.3,69.4,66.7
COLD,20160701T015500,60.3,62.8,88,0.0,0.0,0,0,966.27,,,,72.1,69.5,66.7
COLD,20160701T020000,60.3,62.8,87,0.0,0.0,0,0,966.3,,,,71.8,69.6,66.7
COLD,20160701T020500,60.7,62.6,87,0.0,0.0,0,0,966.29,,,,71.8,69.6,66.7
COLD,20160701T021000,60.6,62.6,89,0.0,0.0,0,0,966.32,,,,71.7,69.6,66.7
COLD,20160701T021500,58.5,62.0,90,0.0,0.0,0,0,966.33,,,,71.5,69.6,66.7
COLD,20160701T022000,59.2,61.4,92,0.0,0.0,0,0,966.33,,,,71.4,69.6,66.7
COLD,20160701T022500,57.7,61.3,92,0.0,0.0,0,0,966.33,,,,71.4,69.6,66.7
COLD,20160701T023000,58.1,61.3,94,0.0,0.0,0,0,966.32,,,,71.4,69.6,66.7
COLD,20160701T023500,58.7,61.2,95,0.0,0.0,0,0,966.32,,,,71.1,69.6,66.7
COLD,20160701T024000,58.2,60.9,95,0.3,1.1,88,0,966.31,,,,71.1,69.6,66.8
COLD,20160701T024500,56.9,60.5,93,1.2,2.6,104,0,966.31,,,,71.0,69.6,66.7
COLD,20160701T025000,56.7,60.0,93,1.1,2.5,110,0,966.31,,,,70.8,69.6,66.7
COLD,20160701T025500,56.8,59.4,94,1.4,3.1,110,0,966.28,,,,70.7,69.6,66.7
COLD,20160701T030000,56.3,59.3,94,0.8,2.5,107,0,966.25,,,,70.7,69.6,66.8
COLD,20160701T030500,56.1,59.2,94,0.5,1.4,114,0,966.22,,,,70.7,69.6,66.8
COLD,20160701T031000,56.8,59.2,94,3.6,4.5,93,0,966.19,,,,70.5,69.6,66.9
COLD,20160701T031500,56.9,58.8,91,3.8,4.5,97,0,966.14,,,,70.3,69.6,67.0
COLD,20160701T032000,57.1,58.3,90,4.4,5.9,103,0,966.12,,,,70.3,69.6,67.0
COLD,20160701T032500,56.7,57.9,91,5.0,5.8,97,0,966.12,,,,70.3,69.6,67.0
COLD,20160701T033000,56.7,57.7,93,3.8,4.8,99,0,966.14,,,,70.0,69.6,67.0
COLD,20160701T033500,56.8,57.7,93,5.0,6.1,97,0,966.04,,,,70.0,69.6,67.0
COLD,20160701T034000,56.8,57.5,93,4.3,5.8,102,0,965.99,,,,70.0,69.6,67.1
COLD,20160701T034500,56.7,57.5,93,4.3,6.2,107,0,965.97,,,,70.0,69.6,67.1
COLD,20160701T035000,56.4,57.4,93,5.4,7.2,104,0,965.9,,,,69.8,69.6,67.1
COLD,20160701T035500,56.1,57.6,94,6.4,8.0,107,0,965.81,,,,69.6,69.6,67.1
COLD,20160701T040000,56.6,58.4,92,6.1,8.3,106,0,965.78,,,,69.6,69.6,67.1
COLD,20160701T040500,56.4,58.3,90,4.7,6.6,103,0,965.76,,,,69.6,69.6,67.1
COLD,20160701T041000,55.7,58.0,91,3.8,5.7,97,0,965.71,,,,69.6,69.6,67.1
COLD,20160701T041500,55.7,57.9,93,2.9,3.8,89,0,965.71,,,,69.4,69.6,67.1
