station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
COLD,20170201T000000,43.26127,-74.97878,19.5,19.4,0,90.1,954.4,2.9,6.1,125.8,33.8,34.2,35.1,0.0,0.03,0.0
COLD,20170201T000500,43.26127,-74.97878,19.5,19.4,0,90.3,954.3,3.5,7.8,122.0,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T001000,43.26127,-74.97878,19.5,19.4,0,90.3,954.2,3.5,8.3,118.9,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T001500,43.26127,-74.97878,19.5,19.4,0,90.4,954.2,2.4,4.5,131.4,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T002000,43.26127,-74.97878,19.6,19.4,0,90.3,954.1,4.1,8.9,127.0,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T002500,43.26127,-74.97878,19.5,19.3,0,90.3,954.1,2.9,5.5,126.3,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T003000,43.26127,-74.97878,19.5,19.3,0,90.5,954.1,3.4,7.2,131.4,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T003500,43.26127,-74.97878,19.6,19.4,0,90.6,954.1,3.5,7.0,127.6,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T004000,43.26127,-74.97878,19.5,19.4,0,90.7,954.1,3.4,6.9,126.2,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T004500,43.26127,-74.97878,19.5,19.3,0,90.9,954.0,3.6,7.5,124.6,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T005000,43.26127,-74.97878,19.5,19.3,0,91.0,954.0,3.3,7.0,121.3,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T005500,43.26127,-74.97878,19.4,19.3,0,91.2,954.0,2.8,6.9,120.6,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T010000,43.26127,-74.97878,19.5,19.3,0,91.0,953.9,3.5,6.4,116.9,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T010500,43.26127,-74.97878,19.5,19.3,0,90.7,953.9,2.9,7.7,121.9,33.8,34.2,35.1,0.0,0.0,0.0
COLD,20170201T011000,43.26127,-74.97878,19.5,19.4,0,90.7,953.8,3.7,6.2,112.5,33.8,34.2,35.1,0.0,0.01,0.01
