station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
CSQR,20160101T000000,34.2,34.2,73,5.4,7.7,246,0,1002.18,0.0,0.011,0.011,36.7,39.5,41.0
CSQR,20160101T000500,34.2,34.2,73,7.3,12.6,252,0,1002.12,0.0,0.011,0.011,36.6,39.5,41.0
CSQR,20160101T001000,34.0,34.1,74,5.5,7.7,252,0,1002.11,0.0,0.011,0.011,36.6,39.6,41.0
CSQR,20160101T001500,34.1,34.1,74,7.2,11.9,258,0,1002.18,0.0,0.011,0.011,36.6,39.5,40.9
CSQR,20160101T002000,34.2,34.2,74,7.2,12.3,258,0,1002.21,0.0,0.011,0.011,36.6,39.5,41.0
CSQR,20160101T002500,34.1,34.1,74,7.0,11.4,252,0,1002.23,0.0,0.011,0.011,36.5,39.5,41.0
CSQR,20160101T003000,34.2,34.2,73,7.9,11.7,253,0,1002.27,0.0,0.011,0.011,36.5,39.6,41.0
CSQR,20160101T003500,34.2,34.2,72,7.5,12.6,246,0,1002.3,0.0,0.011,0.011,36.5,39.6,41.0
CSQR,20160101T004000,34.2,34.2,72,8.0,11.5,250,0,1002.32,0.0,0.011,0.011,36.5,39.6,41.0
CSQR,20160101T004500,34.2,34.2,72,6.9,10.1,247,0,1002.35,0.0,0.011,0.011,36.4,39.6,41.0
CSQR,20160101T005000,34.2,34.2,72,7.8,11.2,246,0,1002.37,0.0,0.011,0.011,36.4,39.5,41.0
CSQR,20160101T005500,34.0,34.0,73,5.1,7.2,246,0,1002.33,0.0,0.011,0.011,36.4,39.5,41.0
CSQR,20160101T010000,34.0,34.0,73,5.9,9.6,249,0,1002.36,0.0,0.011,0.011,36.4,39.5,41.0
CSQR,20160101T010500,34.1,34.0,72,7.3,11.0,242,0,1002.38,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T011000,34.0,34.0,73,7.1,11.2,243,0,1002.41,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T011500,33.9,33.9,74,6.2,11.8,242,0,1002.43,0.0,0.011,0.011,36.3,39.6,41.0
CSQR,20160101T012000,33.9,33.9,74,7.8,11.8,238,0,1002.38,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T012500,33.9,33.8,74,7.2,12.6,233,0,1002.34,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T013000,33.9,33.8,74,7.5,12.0,241,0,1002.31,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T013500,33.8,33.8,74,6.6,11.3,251,0,1002.33,0.0,0.011,0.011,36.3,39.6,41.0
CSQR,20160101T014000,33.8,33.7,74,5.7,8.5,242,0,1002.26,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T014500,33.7,33.7,74,6.1,10.7,245,0,1002.24,0.0,0.011,0.011,36.3,39.5,41.0
CSQR,20160101T015000,33.8,33.7,74,7.4,12.2,244,0,1002.2,0.0,0.011,0.011,36.2,39.5,41.0
CSQR,20160101T015500,33.8,33.7,73,7.7,11.1,241,0,1002.19,0.0,0.011,0.011,36.2,39.5,41.0
CSQR,20160101T020000,33.7,33.7,74,6.1,8.5,243,0,1002.15,0.0,0.011,0.011,36.2,39.5,41.0
CSQR,20160101T020500,33.7,33.7,74,5.7,8.5,250,0,1002.13,0.0,0.011,0.011,36.2,39.5,41.0
CSQR,20160101T021000,33.7,33.7,74,6.7,11.0,243,0,1002.09,0.0,0.011,0.011,36.2,39.5,41.0
CSQR,20160101T021500,33.7,33.7,74,6.9,12.2,249,0,1002.08,0.0,0.011,0.011,36.2,39.5,41.0
CSQR,20160101T022000,33.7,33.7,73,8.3,12.4,237,0,1002.09,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T022500,33.8,33.7,73,6.9,10.8,249,0,1002.12,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T023000,33.8,33.7,73,8.3,12.9,242,0,1002.08,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T023500,33.6,33.6,74,6.4,11.2,243,0,1002.01,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T024000,33.7,33.6,74,6.9,10.4,243,0,1001.95,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T024500,33.7,33.6,74,5.6,9.2,238,0,1001.87,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T025000,33.7,33.6,74,6.0,9.9,236,0,1001.83,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T025500,33.6,33.6,74,6.2,9.8,242,0,1001.85,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T030000,33.7,33.6,73,8.4,11.8,238,0,1001.85,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T030500,33.6,33.5,73,8.1,12.6,236,0,1001.88,0.0,0.011,0.011,36.1,39.5,41.0
CSQR,20160101T031000,33.6,33.5,73,7.5,12.3,232,0,1001.83,0.0,0.011,0.011,36.0,39.5,41.0
CSQR,20160101T031500,33.6,33.5,73,8.2,12.3,230,0,1001.69,0.0,0.011,0.011,36.0,39.5,41.0
CSQR,20160101T032000,33.6,33.4,73,8.5,11.2,237,0,1001.64,0.0,0.011,0.011,36.0,39.5,41.0
CSQR,20160101T032500,33.5,33.4,73,7.2,12.3,235,0,1001.6,0.0,0.011,0.011,36.0,39.4,41.0
CSQR,20160101T033000,33.4,33.3,73,8.1,13.7,238,0,1001.54,0.0,0.011,0.011,36.0,39.5,41.0
CSQR,20160101T033500,33.4,33.3,73,8.5,13.1,233,0,1001.46,0.0,0.011,0.011,36.0,39.4,41.0
CSQR,20160101T034000,33.4,33.3,73,8.5,12.5,239,0,1001.38,0.0,0.011,0.011,36.0,39.4,41.0
