station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
CSQR,20170501T000000,43.32613,-76.10445,51.1,51.5,0,73.4,996.8,7.7,11.6,116.8,,,,0.0,0.12,0.12
CSQR,20170501T000500,43.32613,-76.10445,51.3,51.6,0,73.0,996.6,9.1,12.3,116.9,,,,0.0,0.12,0.0
CSQR,20170501T001000,43.32613,-76.10445,51.5,51.8,0,72.7,996.6,9.6,13.1,118.5,,,,0.0,0.12,0.0
CSQR,20170501T001500,43.32613,-76.10445,51.5,51.7,0,72.6,996.5,9.1,12.9,116.5,,,,0.0,0.12,0.0
CSQR,20170501T002000,43.32613,-76.10445,51.4,51.7,0,72.7,996.5,8.7,12.7,115.6,,,,0.0,0.12,0.0
CSQR,20170501T002500,43.32613,-76.10445,51.2,51.5,0,73.3,996.5,7.8,10.8,116.6,,,,0.0,0.12,0.0
CSQR,20170501T003000,43.32613,-76.10445,51.4,51.6,0,73.1,996.4,9.0,12.3,118.0,,,,0.0,0.12,0.0
CSQR,20170501T003500,43.32613,-76.10445,51.4,51.6,0,73.1,996.3,6.8,11.3,114.3,,,,0.0,0.12,0.0
CSQR,20170501T004000,43.32613,-76.10445,51.4,51.7,0,73.5,996.2,8.6,12.2,122.5,,,,0.0,0.12,0.0
CSQR,20170501T004500,43.32613,-76.10445,51.6,51.8,0,73.0,996.2,8.4,11.9,122.4,,,,0.0,0.12,0.0
CSQR,20170501T005000,43.32613,-76.10445,51.7,51.9,0,73.0,996.2,7.7,13.6,126.4,,,,0.0,0.12,0.0
CSQR,20170501T005500,43.32613,-76.10445,51.9,52.0,0,73.0,996.2,7.5,12.0,126.9,,,,0.0,0.12,0.0
CSQR,20170501T010000,43.32613,-76.10445,52.1,52.2,0,72.8,996.2,7.9,11.9,118.2,,,,0.0,0.12,0.0
CSQR,20170501T010500,43.32613,-76.10445,52.3,52.4,0,72.6,996.2,7.8,12.0,121.1,,,,0.0,0.0,0.0
CSQR,20170501T011000,43.32613,-76.10445,52.5,52.6,0,72.7,996.1,8.1,12.1,117.5,,,,0.0,0.0,0.0
CSQR,20170501T011500,43.32613,-76.10445,52.5,52.6,0,72.7,996.1,7.3,11.1,120.2,,,,0.0,0.0,0.0
CSQR,20170501T012000,43.32613,-76.10445,52.6,52.7,0,73.0,996.0,7.6,10.9,110.7,,,,0.0,0.0,0.0
CSQR,20170501T012500,43.32613,-76.10445,52.5,52.7,0,73.7,996.0,6.6,9.5,113.7,,,,0.0,0.0,0.0
CSQR,20170501T013000,43.32613,-76.10445,52.5,52.7,0,73.9,995.9,5.7,11.8,119.8,,,,0.0,0.0,0.0
CSQR,20170501T013500,43.32613,-76.10445,52.7,52.8,0,73.9,995.8,7.9,12.3,127.7,,,,0.0,0.0,0.0
CSQR,20170501T014000,43.32613,-76.10445,52.8,52.9,0,73.7,995.7,7.0,10.3,122.7,,,,0.0,0.0,0.0
CSQR,20170501T014500,43.32613,-76.10445,52.8,52.9,0,74.0,995.8,3.0,10.7,119.3,,,,0.0,0.0,0.0
