station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
DUAN,20160901T000000,68.0,67.4,78,3.2,5.9,243,0,963.58,0.0,0.0,0.0,70.0,69.6,69.3
DUAN,20160901T000500,68.0,67.5,77,2.2,4.0,247,0,963.69,0.0,0.0,0.0,70.0,69.6,69.3
DUAN,20160901T001000,67.9,67.5,77,3.4,5.8,237,0,963.7,0.0,0.0,0.0,70.0,69.6,69.3
DUAN,20160901T001500,67.8,67.5,77,2.9,5.9,250,0,963.68,0.0,0.0,0.0,70.0,69.6,69.3
DUAN,20160901T002000,67.7,67.6,77,2.5,5.3,250,0,963.67,0.0,0.0,0.0,70.0,69.6,69.3
DUAN,20160901T002500,67.7,67.5,77,3.5,6.5,242,0,963.75,0.0,0.0,0.0,69.7,69.6,69.3
DUAN,20160901T003000,67.7,67.5,77,3.1,6.0,248,0,963.89,0.0,0.0,0.0,69.6,69.6,69.3
DUAN,20160901T003500,67.7,67.5,77,2.8,5.5,240,0,963.92,0.0,0.0,0.0,69.6,69.6,69.3
DUAN,20160901T004000,67.6,67.4,77,2.6,6.0,254,0,963.93,0.0,0.0,0.0,69.6,69.6,69.3
DUAN,20160901T004500,67.6,67.4,77,3.1,5.7,249,0,963.88,0.0,0.0,0.0,69.6,69.6,69.3
DUAN,20160901T005000,67.4,67.4,77,2.2,4.5,252,0,963.78,0.0,0.0,0.0,69.4,69.6,69.3
DUAN,20160901T005500,67.3,67.3,78,2.9,5.7,251,0,963.75,0.0,0.0,0.0,69.3,69.6,69.3
DUAN,20160901T010000,67.2,67.3,78,3.7,6.5,253,0,963.74,0.0,0.0,0.0,69.3,69.6,69.3
DUAN,20160901T010500,67.4,67.3,78,3.8,7.2,250,0,963.81,0.0,0.0,0.0,69.3,69.6,69.3
DUAN,20160901T011000,67.2,67.3,78,3.5,8.0,244,0,963.92,0.0,0.0,0.0,69.3,69.6,69.3
DUAN,20160901T011500,67.3,67.3,78,3.4,6.6,252,0,964.02,0.0,0.0,0.0,69.3,69.6,69.3
DUAN,20160901T012000,67.5,67.3,78,3.4,6.9,244,0,964.08,0.0,0.0,0.0,69.3,69.6,69.3
DUAN,20160901T012500,67.6,67.3,78,3.5,6.7,250,0,964.13,0.0,0.0,0.0,69.2,69.6,69.3
DUAN,20160901T013000,67.8,67.4,78,2.8,5.7,248,0,964.14,0.0,0.0,0.0,69.0,69.6,69.3
DUAN,20160901T013500,68.0,67.6,78,3.6,7.9,250,0,964.17,0.0,0.0,0.0,68.9,69.6,69.3
DUAN,20160901T014000,67.8,67.7,78,3.4,5.3,249,0,964.23,0.0,0.0,0.0,68.9,69.6,69.3
DUAN,20160901T014500,67.6,67.7,78,3.2,5.5,256,0,964.28,0.0,0.0,0.0,68.9,69.6,69.3
DUAN,20160901T015000,67.5,67.6,78,2.6,6.8,256,0,964.3,0.0,0.0,0.0,68.9,69.6,69.3
DUAN,20160901T015500,67.9,67.6,77,3.8,6.5,241,0,964.25,0.0,0.0,0.0,68.9,69.6,69.3
DUAN,20160901T020000,67.9,67.7,76,4.2,9.0,247,0,964.23,0.0,0.0,0.0,68.9,69.6,69.3
DUAN,20160901T020500,68.0,67.7,75,3.5,7.9,238,0,964.28,0.0,0.0,0.0,68.9,69.6,69.3
