station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
FAYE,20160901T000000,69.6,72.7,88,3.8,4.7,194,0,990.31,0.0,0.0,0.0,74.0,73.1,
FAYE,20160901T000500,69.0,72.8,88,4.4,5.6,201,0,990.35,0.0,0.0,0.0,74.0,73.2,
FAYE,20160901T001000,69.4,72.8,88,4.1,5.5,202,0,990.37,0.0,0.0,0.0,74.0,73.2,
FAYE,20160901T001500,69.4,72.8,87,4.4,5.8,201,0,990.37,0.0,0.0,0.0,74.0,73.2,
FAYE,20160901T002000,69.0,72.3,88,3.5,4.2,184,0,990.41,0.0,0.0,0.0,73.9,73.2,
FAYE,20160901T002500,68.6,72.1,88,4.2,5.0,180,0,990.38,0.0,0.0,0.0,73.9,73.2,
FAYE,20160901T003000,68.4,71.8,89,4.2,5.2,185,0,990.44,0.0,0.0,0.0,73.9,73.2,
FAYE,20160901T003500,68.2,71.7,89,4.7,5.6,178,0,990.44,0.0,0.0,0.0,73.9,73.3,
FAYE,20160901T004000,68.1,71.4,90,5.4,6.2,175,0,990.42,0.0,0.0,0.0,73.8,73.3,
FAYE,20160901T004500,68.5,71.3,89,5.5,6.6,176,0,990.41,0.0,0.0,0.0,73.7,73.2,
FAYE,20160901T005000,68.8,71.2,88,5.4,6.5,179,0,990.48,0.0,0.0,0.0,73.7,73.3,
FAYE,20160901T005500,70.0,71.2,85,4.9,6.4,183,0,990.54,0.0,0.0,0.0,73.6,73.3,
FAYE,20160901T010000,69.6,71.1,84,5.6,6.9,179,0,990.5,0.0,0.0,0.0,73.5,73.3,
FAYE,20160901T010500,69.7,71.0,85,5.2,6.8,183,0,990.6,0.0,0.0,0.0,73.6,73.3,
FAYE,20160901T011000,69.8,70.8,84,4.5,5.9,185,0,990.74,0.0,0.0,0.0,73.4,73.3,
FAYE,20160901T011500,68.8,70.8,85,6.0,7.5,178,0,990.66,0.0,0.0,0.0,73.3,73.3,
FAYE,20160901T012000,68.9,70.8,87,5.7,7.3,181,0,990.6,0.0,0.0,0.0,73.3,73.3,
FAYE,20160901T012500,69.5,70.7,86,5.8,8.0,181,0,990.65,0.0,0.0,0.0,73.3,73.3,
FAYE,20160901T013000,68.9,70.7,85,6.0,7.7,178,0,990.59,0.0,0.0,0.0,73.2,73.3,
FAYE,20160901T013500,69.4,70.9,86,5.5,7.1,179,0,990.66,0.0,0.0,0.0,73.1,73.3,
FAYE,20160901T014000,69.7,70.8,85,6.4,7.9,176,0,990.68,0.0,0.0,0.0,73.2,73.3,
FAYE,20160901T014500,69.6,71.1,85,6.6,8.0,178,0,990.71,0.0,0.0,0.0,73.1,73.3,
FAYE,20160901T015000,69.8,71.2,85,5.9,7.8,180,0,990.73,0.0,0.0,0.0,73.1,73.3,
FAYE,20160901T015500,70.0,71.2,84,6.4,8.2,178,0,990.69,0.0,0.0,0.0,73.1,73.3,
FAYE,20160901T020000,70.2,71.0,83,5.1,7.3,184,0,990.82,0.0,0.0,0.0,73.0,73.3,
FAYE,20160901T020500,70.1,71.1,83,5.5,6.9,180,0,990.74,0.0,0.0,0.0,73.0,73.3,
FAYE,20160901T021000,70.3,71.1,83,5.7,7.8,180,0,990.77,0.0,0.0,0.0,73.0,73.3,
FAYE,20160901T021500,69.8,71.1,83,5.7,7.1,179,0,990.73,0.0,0.0,0.0,73.0,73.3,
FAYE,20160901T022000,70.0,70.8,83,4.9,7.3,185,0,990.83,0.0,0.0,0.0,73.0,73.3,
FAYE,20160901T022500,70.1,70.9,84,6.6,8.3,178,0,990.9,0.0,0.0,0.0,72.9,73.3,
