station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
FRED,20160801T000000,73.5,73.5,89,2.2,3.1,42,62,987.49,0.0,0.698,0.698,79.3,74.9,71.8
FRED,20160801T000500,73.5,73.4,89,3.1,4.5,82,46,987.46,0.0,0.698,0.698,79.3,74.9,71.8
FRED,20160801T001000,72.9,73.3,90,3.3,4.9,102,16,987.47,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T001500,72.5,73.1,89,3.4,4.3,98,9,987.48,0.0,0.698,0.698,79.3,74.9,71.8
FRED,20160801T002000,71.9,72.9,91,3.7,5.1,116,7,987.43,0.0,0.698,0.698,79.3,75.0,71.8
FRED,20160801T002500,71.6,72.6,92,2.6,3.8,128,5,987.38,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T003000,71.5,72.2,92,0.4,2.3,126,4,987.52,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T003500,71.3,72.3,93,1.3,2.9,344,3,987.58,0.0,0.698,0.698,79.2,74.9,71.8
FRED,20160801T004000,70.8,71.9,94,2.0,2.7,0,2,987.61,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T004500,70.0,71.4,94,0.1,0.8,48,0,987.65,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T005000,69.7,71.2,95,1.5,2.0,147,0,987.63,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T005500,69.7,71.4,96,1.1,1.5,159,0,987.66,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T010000,69.4,71.5,96,1.4,3.0,177,0,987.71,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T010500,69.1,71.0,96,2.6,3.0,146,0,987.65,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T011000,69.2,70.9,97,2.7,3.5,127,0,987.62,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T011500,68.9,70.6,97,0.6,1.5,65,0,987.69,0.0,0.698,0.698,79.2,75.0,71.8
FRED,20160801T012000,68.9,70.3,97,1.2,1.6,16,0,987.69,0.0,0.698,0.698,79.1,75.0,71.8
FRED,20160801T012500,68.8,70.1,97,1.0,1.7,332,0,987.75,0.0,0.698,0.698,79.1,75.0,71.8
FRED,20160801T013000,68.4,69.8,97,0.9,1.6,284,0,987.82,0.0,0.698,0.698,79.0,75.0,71.8
FRED,20160801T013500,68.0,69.9,97,0.4,1.1,266,0,987.96,0.0,0.698,0.698,78.8,75.0,71.8
FRED,20160801T014000,67.9,70.0,97,0.5,1.8,260,0,988.0,0.0,0.698,0.698,78.7,75.0,71.8
FRED,20160801T014500,67.9,69.8,97,2.4,3.0,93,0,988.09,0.0,0.698,0.698,78.7,75.0,71.8
FRED,20160801T015000,67.7,69.5,98,3.3,3.7,89,0,988.16,0.0,0.698,0.698,78.6,75.0,71.8
FRED,20160801T015500,67.9,69.5,98,3.0,3.6,79,0,988.27,0.0,0.698,0.698,78.6,75.0,71.8
FRED,20160801T020000,67.9,69.5,98,3.4,3.8,84,0,988.23,0.0,0.698,0.698,78.6,75.0,71.8
FRED,20160801T020500,68.2,69.5,98,2.6,3.4,74,0,988.2,0.0,0.698,0.698,78.4,75.0,71.8
FRED,20160801T021000,67.9,69.4,98,1.4,1.9,84,0,988.31,0.0,0.698,0.698,78.3,75.0,71.8
FRED,20160801T021500,68.1,69.2,98,1.5,1.8,95,0,988.35,0.0,0.698,0.698,78.1,75.0,71.8
FRED,20160801T022000,67.9,69.1,98,1.1,1.4,95,0,988.38,0.0,0.698,0.698,78.1,75.0,71.8
FRED,20160801T022500,67.3,68.6,97,0.0,0.4,95,0,988.42,0.0,0.698,0.698,78.0,75.0,71.8
FRED,20160801T023000,67.0,68.6,98,0.6,1.1,95,0,988.43,0.0,0.698,0.698,78.0,75.0,71.8
FRED,20160801T023500,66.8,68.4,97,0.8,1.4,148,0,988.39,0.0,0.698,0.698,77.9,75.0,71.8
FRED,20160801T024000,67.0,68.3,98,0.5,0.9,158,0,988.39,0.0,0.698,0.698,78.0,75.0,71.8
FRED,20160801T024500,67.0,68.4,98,0.0,0.0,0,0,988.38,0.0,0.698,0.698,78.0,75.0,71.8
FRED,20160801T025000,66.9,68.3,98,1.6,2.0,116,0,988.41,0.0,0.698,0.698,77.9,75.0,71.8
FRED,20160801T025500,66.9,68.3,98,1.7,2.2,149,0,988.46,0.0,0.698,0.698,77.8,75.0,71.8
FRED,20160801T030000,67.2,68.6,98,0.3,1.2,104,0,988.47,0.0,0.698,0.698,77.9,75.0,71.8
FRED,20160801T030500,67.1,68.9,98,1.4,2.4,111,0,988.47,0.0,0.698,0.698,77.8,75.0,71.8
FRED,20160801T031000,67.1,68.4,98,2.6,3.6,125,0,988.44,0.0,0.698,0.698,77.8,75.0,71.8
FRED,20160801T031500,67.1,68.4,98,2.9,3.5,142,0,988.4,0.0,0.698,0.698,77.8,75.0,71.8
FRED,20160801T032000,67.0,68.1,98,1.1,2.4,119,0,988.37,0.0,0.698,0.698,77.8,75.0,71.8
FRED,20160801T032500,67.0,68.0,98,0.6,1.7,236,0,988.51,0.0,0.698,0.698,77.7,75.0,71.8
FRED,20160801T033000,67.2,68.3,98,1.6,2.2,186,0,988.56,0.0,0.698,0.698,77.5,75.0,71.8
FRED,20160801T033500,66.9,68.0,98,0.0,0.0,0,0,988.58,0.0,0.698,0.698,77.5,75.0,71.8
FRED,20160801T034000,66.5,68.0,98,0.6,1.7,108,0,988.54,0.0,0.698,0.698,77.4,75.0,71.8
FRED,20160801T034500,66.4,67.9,98,1.9,2.3,103,0,988.49,0.0,0.698,0.698,77.2,75.0,71.8
