station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
HERK,20160810T011000,,,,,,,,,,,,,,
HERK,20160810T011500,71.9,67.1,71,0.4,2.5,306,0,994.16,,,,67.3,67.3,67.1
HERK,20160810T012000,71.5,66.8,70,1.7,2.7,304,0,994.25,,,,67.3,67.4,67.2
HERK,20160810T012500,72.5,66.3,72,1.3,2.0,332,0,994.24,,,,67.4,67.5,67.3
HERK,20160810T013000,72.2,66.9,71,0.9,2.9,6,0,994.17,,,,67.5,67.5,67.4
HERK,20160810T013500,71.7,67.0,71,0.6,3.3,63,0,994.2,,,,67.5,67.6,67.4
HERK,20160810T014000,71.9,67.5,70,0.9,3.5,88,0,994.29,,,,67.5,67.7,67.5
HERK,20160810T014500,72.7,67.4,69,2.1,3.7,41,0,994.37,,,,67.6,67.7,67.5
HERK,20160810T015000,71.3,66.8,71,1.9,3.8,288,0,994.49,,,,67.6,67.8,67.5
HERK,20160810T015500,72.3,66.1,72,1.4,3.7,333,0,994.47,,,,67.6,67.8,67.6
HERK,20160810T020000,71.7,66.2,73,2.7,3.7,307,0,994.57,,,,67.6,67.8,67.6
HERK,20160810T020500,72.0,66.4,73,1.3,3.4,344,0,994.61,,,,67.6,67.8,67.7
HERK,20160810T021000,73.1,68.3,69,1.4,4.6,30,0,994.61,,,,67.6,67.8,67.8
HERK,20160810T021500,73.3,69.2,69,1.5,3.7,50,0,994.66,,,,67.6,67.8,67.8
HERK,20160810T022000,73.5,70.2,65,1.6,4.7,48,0,994.62,,,,67.6,67.8,67.8
HERK,20160810T022500,73.4,69.2,66,3.1,4.8,28,0,994.59,,,,67.7,67.8,67.8
HERK,20160810T023000,74.0,72.2,62,0.9,3.4,69,0,994.63,,,,67.8,68.0,67.8
HERK,20160810T023500,73.7,71.9,61,3.5,6.1,57,0,994.54,,,,67.7,67.9,67.8
HERK,20160810T024000,74.1,72.0,60,3.0,4.6,62,0,994.54,,,,67.6,68.0,67.8
HERK,20160810T024500,73.8,71.7,60,2.8,4.0,73,0,994.56,,,,67.7,68.1,67.8
HERK,20160810T025000,73.9,72.8,59,2.7,4.7,54,0,994.54,,,,67.7,68.1,67.8
HERK,20160810T025500,73.7,71.6,62,1.5,3.8,36,0,994.59,,,,67.7,68.1,67.8
HERK,20160810T030000,73.3,70.8,64,1.5,4.6,39,0,994.62,,,,67.8,68.2,67.8
HERK,20160810T030500,73.9,72.2,62,1.8,3.8,59,0,994.55,,,,67.8,68.2,67.8
HERK,20160810T031000,73.9,71.6,63,1.5,3.7,60,0,994.44,,,,67.8,68.2,67.8
HERK,20160810T031500,73.5,71.5,63,1.8,3.3,72,0,994.37,,,,67.8,68.2,67.9
HERK,20160810T032000,72.8,70.6,66,0.3,1.2,90,0,994.39,,,,67.8,68.2,67.9
HERK,20160810T032500,73.4,72.2,64,1.1,2.5,52,0,994.46,,,,67.8,68.2,67.9
HERK,20160810T033000,73.0,71.0,67,0.2,1.5,23,0,994.49,,,,67.8,68.2,67.9
HERK,20160810T033500,73.2,71.1,67,0.3,2.1,20,0,994.51,,,,67.9,68.2,67.9
HERK,20160810T034000,73.2,70.4,68,1.2,2.6,11,0,994.55,,,,67.9,68.2,68.0
HERK,20160810T034500,73.1,70.8,69,1.1,2.6,18,0,994.56,,,,67.9,68.3,68.0
HERK,20160810T035000,73.5,70.9,67,2.7,4.7,67,0,994.53,,,,68.0,68.3,67.9
HERK,20160810T035500,73.1,71.5,68,2.1,4.5,70,0,994.57,,,,68.0,68.4,68.0
HERK,20160810T040000,73.7,72.5,65,3.7,5.6,55,0,994.61,,,,67.9,68.3,68.0
