station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
JOHN,20160401T000000,64.3,64.9,53,10.3,14.2,180,0,977.49,0.0,0.0,,,,
JOHN,20160401T000500,64.1,64.8,53,10.3,15.5,185,0,977.53,0.0,0.0,,,,
JOHN,20160401T001000,64.2,64.8,53,9.2,14.2,181,0,977.45,0.0,0.0,,,,
JOHN,20160401T001500,64.0,64.7,53,7.9,11.2,180,0,977.46,0.0,0.0,,,,
JOHN,20160401T002000,63.9,64.5,54,6.9,12.1,176,0,977.41,0.0,0.0,,,,
JOHN,20160401T002500,63.9,64.5,54,7.4,10.9,180,0,977.34,0.0,0.0,,,,
JOHN,20160401T003000,63.8,64.4,54,5.7,10.4,174,0,977.36,0.0,0.0,,,,
JOHN,20160401T003500,63.8,64.5,54,5.9,10.0,174,0,977.42,0.0,0.0,,,,
JOHN,20160401T004000,63.8,64.6,54,7.8,10.8,181,0,977.53,0.0,0.0,,,,
JOHN,20160401T004500,63.7,64.5,55,6.3,9.1,180,0,977.56,0.0,0.0,,,,
JOHN,20160401T005000,63.6,64.5,55,6.8,9.4,180,0,977.62,0.0,0.0,,,,
JOHN,20160401T005500,63.7,64.5,55,7.9,12.6,179,0,977.61,0.0,0.0,,,,
JOHN,20160401T010000,63.7,64.6,55,7.3,10.8,181,0,977.63,0.0,0.0,,,,
JOHN,20160401T010500,63.6,64.4,55,6.9,9.7,185,0,977.6,0.0,0.0,,,,
JOHN,20160401T011000,63.2,64.1,56,6.3,8.7,186,0,977.57,0.0,0.0,,,,
JOHN,20160401T011500,63.2,64.1,56,7.4,10.3,183,0,977.47,0.0,0.0,,,,
JOHN,20160401T012000,63.3,64.1,56,7.1,9.7,182,0,977.37,0.0,0.0,,,,
JOHN,20160401T012500,63.1,64.0,56,6.4,8.9,185,0,977.34,0.0,0.0,,,,
JOHN,20160401T013000,62.9,63.8,56,6.1,8.6,187,0,977.28,0.0,0.0,,,,
JOHN,20160401T013500,63.4,64.3,56,7.1,9.6,182,0,977.21,0.0,0.0,,,,
JOHN,20160401T014000,63.5,64.3,56,7.2,10.9,189,0,977.24,0.0,0.0,,,,
JOHN,20160401T014500,63.5,64.3,56,6.8,10.9,192,0,977.25,0.0,0.0,,,,
JOHN,20160401T015000,63.5,64.3,56,6.9,10.4,197,0,977.28,0.0,0.0,,,,
JOHN,20160401T015500,63.4,64.2,56,7.1,13.8,194,0,977.23,0.0,0.0,,,,
JOHN,20160401T020000,63.7,64.4,56,6.1,9.4,193,0,977.15,0.0,0.0,,,,
JOHN,20160401T020500,63.2,64.2,57,4.9,8.5,192,0,977.08,0.0,0.0,,,,
JOHN,20160401T021000,63.6,64.6,58,9.3,13.2,201,0,977.01,0.0,0.0,,,,
JOHN,20160401T021500,63.6,64.6,59,8.6,13.4,202,0,976.91,0.0,0.0,,,,
JOHN,20160401T022000,64.4,65.2,57,12.4,22.9,201,0,976.79,0.0,0.0,,,,
JOHN,20160401T022500,64.8,65.5,56,12.3,20.7,203,0,976.65,0.0,0.0,,,,
JOHN,20160401T023000,65.1,65.7,56,15.7,24.3,206,0,976.62,0.0,0.0,,,,
JOHN,20160401T023500,65.1,65.7,55,15.0,21.3,204,0,976.57,0.0,0.0,,,,
JOHN,20160401T024000,65.0,65.6,56,13.1,20.9,206,0,976.57,0.0,0.0,,,,
