station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
JORD,20151117T214500,46.4,46.8,50,5.4,8.3,81,3,1014.63,,,,47.2,47.5,49.3
JORD,20151117T215000,46.0,46.7,50,4.2,6.9,83,2,1014.68,,,,47.3,47.5,49.3
JORD,20151117T215500,45.3,46.3,51,3.7,5.8,90,1,1014.63,,,,47.3,47.7,49.3
JORD,20151117T220000,45.3,46.2,51,4.3,6.2,94,0,1014.68,,,,47.3,47.8,49.4
JORD,20151117T220500,45.0,46.1,51,3.9,5.6,77,0,1014.75,,,,47.2,47.8,49.4
JORD,20151117T221000,44.4,45.8,52,3.2,5.0,85,0,1014.78,,,,47.2,47.8,49.4
JORD,20151117T221500,44.0,45.5,53,3.2,4.8,98,0,1014.7,,,,47.1,47.8,49.4
JORD,20151117T222000,43.4,44.8,55,2.4,3.7,120,0,1014.68,,,,47.1,47.8,49.4
JORD,20151117T222500,43.4,44.6,56,2.1,3.6,122,0,1014.68,,,,47.1,47.8,49.4
JORD,20151117T223000,43.7,44.5,55,1.5,4.2,116,0,1014.65,,,,47.1,47.8,49.4
JORD,20151117T223500,42.6,44.2,56,2.3,4.1,102,0,1014.6,,,,47.1,47.8,49.4
JORD,20151117T224000,42.7,44.1,58,2.3,4.7,120,0,1014.59,,,,47.1,47.8,49.4
JORD,20151117T224500,42.6,43.6,59,2.2,3.1,129,0,1014.57,,,,47.0,47.8,49.4
JORD,20151117T225000,41.7,43.5,59,2.0,2.8,134,0,1014.57,,,,46.9,47.8,49.4
JORD,20151117T225500,40.5,43.5,62,2.2,3.4,128,0,1014.51,,,,46.9,47.8,49.4
JORD,20151117T230000,39.6,43.2,64,2.1,3.1,133,0,1014.52,,,,46.9,47.8,49.4
JORD,20151117T230500,39.4,42.4,66,1.9,2.9,106,0,1014.51,,,,46.8,47.8,49.4
JORD,20151117T231000,38.4,41.3,67,0.9,1.6,109,0,1014.53,,,,46.8,47.8,49.4
JORD,20151117T231500,38.4,41.0,68,0.8,1.7,94,0,1014.52,,,,46.8,47.8,49.4
JORD,20151117T232000,38.0,40.4,70,1.0,1.4,90,0,1014.55,,,,46.7,47.8,49.4
JORD,20151117T232500,37.5,39.6,70,1.6,2.1,114,0,1014.59,,,,46.7,47.9,49.4
JORD,20151117T233000,37.1,39.4,72,1.4,3.6,92,0,1014.55,,,,46.6,47.9,49.4
JORD,20151117T233500,37.0,39.3,72,0.7,2.0,97,0,1014.57,,,,46.6,47.9,49.4
JORD,20151117T234000,36.9,39.9,74,0.8,1.9,252,0,1014.64,,,,46.6,47.9,49.4
JORD,20151117T234500,36.3,39.8,79,0.6,1.8,256,0,1014.72,,,,46.4,47.9,49.4
JORD,20151117T235000,35.8,40.1,80,0.0,0.0,0,0,1014.7,,,,46.4,47.9,49.4
JORD,20151117T235500,35.7,39.3,80,0.0,0.0,0,0,1014.65,,,,46.4,47.9,49.4
JORD,20151118T000000,35.7,39.0,80,0.5,1.8,216,0,1014.66,,,,46.3,47.9,49.4
JORD,20151118T000500,35.9,39.7,80,0.0,0.0,0,0,1014.73,0.0,,,46.2,47.9,49.4
JORD,20151118T001000,35.2,39.2,78,0.4,1.1,157,0,1014.81,0.0,,,46.0,47.9,49.4
JORD,20151118T001500,34.4,38.4,79,0.7,2.3,115,0,1014.73,0.0,,,46.0,47.9,49.4
JORD,20151118T002000,34.7,37.5,81,1.1,2.3,109,0,1014.56,0.0,,,46.0,47.9,49.4
