station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
JORD,20170101T000000,43.0698,-76.47006,38.7,38.9,0,77.9,991.6,10.3,14.5,208.6,36.3,37.6,39.0,0.0,0.06,0.0
JORD,20170101T000500,43.0698,-76.47006,38.8,38.9,0,78.0,991.5,11.2,17.8,196.8,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T001000,43.0698,-76.47006,38.9,39.0,0,77.5,991.5,10.8,18.3,199.3,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T001500,43.0698,-76.47006,39.0,39.1,0,77.0,991.5,11.5,17.0,197.5,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T002000,43.0698,-76.47006,39.0,39.1,0,77.3,991.5,11.9,17.3,203.4,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T002500,43.0698,-76.47006,38.9,39.1,0,77.5,991.6,9.9,15.6,210.1,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T003000,43.0698,-76.47006,38.9,39.1,0,77.4,991.6,11.1,18.3,200.8,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T003500,43.0698,-76.47006,38.9,39.1,0,77.3,991.6,10.1,15.5,194.0,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T004000,43.0698,-76.47006,39.0,39.2,0,77.1,991.6,11.9,20.2,195.3,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T004500,43.0698,-76.47006,39.2,39.4,0,76.7,991.6,11.3,17.8,197.0,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T005000,43.0698,-76.47006,39.2,39.4,0,76.5,991.7,11.0,19.9,194.4,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T005500,43.0698,-76.47006,39.3,39.4,0,76.5,991.8,10.0,16.6,203.6,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T010000,43.0698,-76.47006,39.2,39.4,0,76.8,992.1,12.6,21.0,207.7,36.3,37.6,39.0,0.0,0.0,0.0
JORD,20170101T010500,43.0698,-76.47006,39.0,39.1,0,79.3,992.5,12.4,20.0,217.4,36.3,37.6,39.0,0.01,0.01,0.01
JORD,20170101T011000,43.0698,-76.47006,38.2,38.2,0,83.3,993.0,14.6,30.3,234.9,36.3,37.6,39.0,0.0,0.01,0.01
JORD,20170101T011500,43.0698,-76.47006,37.7,37.8,0,84.3,993.3,12.7,19.1,265.5,36.3,37.6,39.0,0.0,0.01,0.01
JORD,20170101T012000,43.0698,-76.47006,37.4,37.5,0,83.2,993.5,13.0,27.8,278.1,36.3,37.6,39.0,0.0,0.01,0.01
JORD,20170101T012500,43.0698,-76.47006,37.0,37.0,0,81.3,993.6,10.3,17.5,270.2,36.3,37.6,39.0,0.0,0.01,0.01
JORD,20170101T013000,43.0698,-76.47006,36.8,36.8,0,79.0,993.9,11.5,17.7,270.2,36.3,37.6,39.0,0.0,0.01,0.01
