station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
KIND,20160830T173000,77.6,76.0,54,5.6,9.4,136,827,1011.22,,,,89.4,79.1,76.3
KIND,20160830T173500,77.6,76.3,52,4.0,8.5,171,824,1011.18,,,,88.0,80.5,77.3
KIND,20160830T174000,77.7,76.2,53,3.5,9.5,154,822,1011.16,,,,87.0,81.0,77.9
KIND,20160830T174500,77.5,76.3,51,3.5,7.5,217,812,1011.09,,,,86.6,81.6,78.1
KIND,20160830T175000,77.6,76.5,51,5.3,8.2,193,790,1011.0,,,,86.2,81.6,78.1
KIND,20160830T175500,77.9,76.6,51,2.9,5.9,181,792,1010.92,,,,86.2,81.8,78.1
KIND,20160830T180000,78.3,77.2,51,2.9,8.7,204,791,1010.84,,,,86.2,81.6,78.1
KIND,20160830T180500,78.5,77.2,52,5.4,9.6,174,796,1010.7,,,,86.2,81.3,78.1
KIND,20160830T181000,78.1,76.7,51,3.6,6.9,156,806,1010.6,,,,86.1,81.4,78.0
KIND,20160830T181500,78.5,77.1,52,7.5,12.1,160,839,1010.41,,,,86.1,81.2,77.8
KIND,20160830T182000,78.9,77.5,51,5.2,9.6,200,821,1010.37,,,,86.1,81.0,77.7
KIND,20160830T182500,78.4,77.2,50,2.9,6.4,214,784,1010.36,,,,86.1,81.0,77.6
KIND,20160830T183000,78.5,77.1,50,2.1,4.5,100,736,1010.31,,,,86.2,81.0,77.5
KIND,20160830T183500,79.2,78.1,50,5.0,9.5,145,811,1010.22,,,,86.1,81.0,77.4
KIND,20160830T184000,79.5,78.2,50,4.7,6.6,157,741,1010.23,,,,86.1,80.8,77.2
KIND,20160830T184500,79.7,78.3,50,4.1,8.0,130,635,1010.21,,,,86.2,80.9,77.2
KIND,20160830T185000,79.6,78.5,52,5.9,8.5,148,508,1010.13,,,,86.2,80.7,77.1
KIND,20160830T185500,78.9,78.0,51,5.3,9.5,132,533,1010.02,,,,86.2,80.6,77.1
KIND,20160830T190000,78.8,77.8,51,4.6,7.5,116,563,1009.91,,,,86.1,80.5,76.9
KIND,20160830T190500,79.7,78.6,51,4.6,7.9,168,772,1009.95,,,,86.1,80.5,76.8
KIND,20160830T191000,79.3,78.3,46,1.4,4.5,251,779,1009.9,,,,86.0,80.4,76.8
KIND,20160830T191500,80.0,78.8,49,1.8,9.7,117,646,1009.81,,,,86.0,80.3,76.8
KIND,20160830T192000,80.3,78.9,50,6.4,13.8,164,691,1009.67,,,,86.0,80.3,76.7
KIND,20160830T192500,80.3,79.0,49,5.7,8.8,169,682,1009.58,,,,86.0,80.3,76.6
KIND,20160830T193000,79.5,78.6,47,2.5,5.2,176,587,1009.48,,,,86.0,80.2,76.5
KIND,20160830T193500,79.6,78.8,49,4.1,7.7,179,620,1009.36,,,,85.9,80.2,76.5
KIND,20160830T194000,80.4,79.2,49,2.9,6.4,152,596,1009.27,,,,85.8,80.1,76.5
KIND,20160830T194500,80.6,79.5,48,1.8,3.6,143,588,1009.22,,,,85.8,80.1,76.5
