station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
OPPE,20160729T172500,,,,,,,,,,,,,,
OPPE,20160729T173000,,,,,,,,,,,,,,
OPPE,20160729T173500,,,,,,,,,,,,,,
OPPE,20160729T174000,77.2,76.6,61,5.0,8.5,258,189,970.8,,,,83.4,81.1,80.1
OPPE,20160729T174500,76.8,76.3,64,3.2,9.7,283,173,970.93,,,,83.0,81.1,79.9
OPPE,20160729T175000,72.8,72.4,75,4.3,8.0,350,116,971.1,,,,83.0,81.0,79.4
OPPE,20160729T175500,69.7,69.3,89,4.6,11.5,357,108,971.23,,,,82.9,81.0,79.2
OPPE,20160729T180000,68.9,68.6,91,5.7,10.0,24,109,971.23,,,,82.9,81.0,78.8
OPPE,20160729T180500,68.6,68.3,88,5.0,9.4,37,128,971.24,,,,82.9,81.0,78.5
OPPE,20160729T181000,67.9,67.5,91,6.5,11.5,43,153,971.25,,,,82.9,81.0,78.1
OPPE,20160729T181500,67.7,67.3,90,6.0,12.9,78,182,971.11,,,,82.9,80.9,78.0
OPPE,20160729T182000,67.7,67.3,91,4.1,6.8,96,213,971.04,,,,82.7,80.9,77.8
OPPE,20160729T182500,68.8,68.5,89,5.0,7.2,100,266,970.91,,,,82.7,80.8,77.4
OPPE,20160729T183000,69.7,69.2,86,3.1,5.0,91,325,970.9,,,,82.6,80.8,77.1
OPPE,20160729T183500,70.6,69.9,85,2.1,3.7,115,364,970.9,,,,82.4,80.7,77.0
OPPE,20160729T184000,71.3,70.5,81,3.5,5.1,106,388,970.85,,,,82.4,80.6,76.8
OPPE,20160729T184500,71.7,70.7,84,3.6,5.2,88,879,970.88,,,,82.4,80.4,76.7
OPPE,20160729T185000,71.9,71.0,82,3.4,6.3,68,304,970.88,,,,82.3,80.4,76.6
OPPE,20160729T185500,71.5,70.6,85,3.2,4.3,84,302,970.76,,,,82.2,80.4,76.4
OPPE,20160729T190000,71.9,71.1,85,3.1,5.6,88,305,970.69,,,,82.2,80.4,76.2
OPPE,20160729T190500,72.1,71.3,86,3.5,5.1,64,245,970.71,,,,82.1,80.2,76.1
OPPE,20160729T191000,72.3,71.4,85,3.6,5.1,60,302,970.66,,,,82.1,80.2,75.9
OPPE,20160729T191500,72.6,71.9,83,3.3,5.2,66,205,970.6,,,,82.0,80.2,75.7
OPPE,20160729T192000,72.7,72.0,83,3.4,4.8,63,254,970.58,,,,82.1,80.1,75.7
OPPE,20160729T192500,73.3,72.6,81,2.3,3.0,67,545,970.58,,,,82.1,80.1,75.5
OPPE,20160729T193000,75.6,74.6,75,1.6,2.6,102,595,970.63,,,,82.0,80.1,75.5
OPPE,20160729T193500,76.9,76.0,64,1.6,2.5,73,624,970.62,,,,82.0,80.1,75.3
OPPE,20160729T194000,78.0,76.6,62,1.2,2.4,102,758,970.56,,,,82.0,80.0,75.3
OPPE,20160729T194500,78.4,77.2,62,1.4,2.3,68,737,970.55,,,,82.0,80.0,75.0
OPPE,20160729T195000,78.8,77.3,65,2.2,4.2,56,726,970.53,,,,82.0,79.9,74.9
OPPE,20160729T195500,78.7,77.4,65,1.0,2.6,64,712,970.57,,,,82.0,79.9,74.9
OPPE,20160729T200000,79.1,78.5,64,0.4,1.5,215,698,970.57,,,,82.0,79.7,74.8
OPPE,20160729T200500,79.5,78.9,61,0.9,2.3,207,667,970.53,,,,82.1,79.8,74.7
OPPE,20160729T201000,80.3,78.9,61,1.7,4.3,51,667,970.49,,,,82.2,79.6,74.6
OPPE,20160729T201500,79.5,78.6,58,2.1,3.4,355,660,970.48,,,,82.3,79.5,74.6
OPPE,20160729T202000,80.1,78.9,57,1.1,2.7,46,645,970.45,,,,82.3,79.5,74.6
OPPE,20160729T202500,79.9,78.9,55,0.3,2.5,48,630,970.46,,,,82.4,79.5,74.5
OPPE,20160729T203000,80.6,79.3,57,0.7,3.4,223,607,970.46,,,,82.4,79.5,74.4
OPPE,20160729T203500,80.6,79.7,56,0.9,3.1,343,430,970.5,,,,82.7,79.4,74.4
OPPE,20160729T204000,80.7,79.2,56,0.4,1.6,75,580,970.5,,,,82.7,79.4,74.2
OPPE,20160729T204500,80.2,79.5,55,1.9,3.5,342,342,970.47,,,,82.9,79.3,74.2
OPPE,20160729T205000,80.4,79.5,55,1.3,3.4,20,599,970.47,,,,82.9,79.3,74.1
OPPE,20160729T205500,80.7,79.3,52,1.6,2.9,69,553,970.52,,,,82.9,79.2,74.1
OPPE,20160729T210000,80.6,79.4,55,0.6,2.5,24,418,970.6,,,,82.9,79.2,74.0
OPPE,20160729T210500,80.7,79.6,53,1.0,2.2,17,556,970.63,,,,83.0,79.2,74.0
OPPE,20160729T211000,81.1,80.2,52,1.6,3.4,353,526,970.66,,,,83.0,79.2,73.9
OPPE,20160729T211500,81.1,80.1,53,1.9,3.4,7,510,970.68,,,,83.1,79.1,73.9
OPPE,20160729T212000,80.8,80.1,52,0.9,3.1,320,494,970.71,,,,83.1,79.2,73.9
OPPE,20160729T212500,81.2,80.5,51,1.9,5.1,267,477,970.72,,,,83.2,79.0,73.8
OPPE,20160729T213000,81.2,80.5,52,2.5,5.6,288,463,970.76,,,,83.4,79.0,73.8
OPPE,20160729T213500,81.9,80.9,54,1.5,3.4,292,448,970.78,,,,83.4,79.0,73.7
OPPE,20160729T214000,81.9,81.1,52,0.6,2.4,288,432,970.77,,,,83.4,78.9,73.6
OPPE,20160729T214500,81.5,80.8,50,2.6,5.4,304,420,970.74,,,,83.5,78.9,73.6
OPPE,20160729T215000,81.3,80.6,50,2.5,5.9,302,407,970.74,,,,83.5,78.7,73.5
OPPE,20160729T215500,80.9,80.4,49,2.6,6.4,293,170,970.78,,,,83.5,78.7,73.3
OPPE,20160729T220000,80.4,80.0,50,2.0,6.4,321,365,970.77,,,,83.5,78.7,73.3
OPPE,20160729T220500,81.4,80.7,48,2.3,7.7,303,373,970.74,,,,83.5,78.6,73.3
OPPE,20160729T221000,81.2,80.6,47,2.0,5.1,301,351,970.83,,,,83.5,78.6,73.3
OPPE,20160729T221500,81.1,80.4,44,2.9,6.6,326,327,970.88,,,,83.5,78.6,73.2
OPPE,20160729T222000,80.7,80.2,45,2.3,6.4,306,308,970.92,,,,83.5,78.6,73.2
OPPE,20160729T222500,80.6,80.1,44,1.9,7.1,299,292,970.99,,,,83.5,78.4,73.2
OPPE,20160729T223000,80.7,80.0,44,1.8,4.7,303,275,971.0,,,,83.5,78.3,73.2
OPPE,20160729T223500,80.3,79.9,44,1.8,3.7,326,260,970.98,,,,83.5,78.3,73.1
OPPE,20160729T224000,80.1,79.7,45,1.1,3.8,335,245,970.99,,,,83.4,78.3,73.1
OPPE,20160729T224500,80.2,79.7,45,2.1,5.2,315,232,970.97,,,,83.3,78.3,73.0
OPPE,20160729T225000,79.7,79.3,46,1.8,5.0,336,217,970.95,,,,83.3,78.3,73.0
OPPE,20160729T225500,79.6,79.1,46,1.2,4.2,337,196,970.95,,,,83.2,78.2,73.0
OPPE,20160729T230000,79.3,78.8,47,0.8,3.4,351,189,970.97,,,,83.2,78.1,73.0
OPPE,20160729T230500,78.8,78.7,48,1.3,3.6,347,174,970.99,,,,83.0,78.1,72.9
OPPE,20160729T231000,78.4,78.3,49,0.7,3.4,349,132,971.01,,,,82.9,78.1,72.9
OPPE,20160729T231500,78.0,78.0,50,0.4,1.7,342,113,971.04,,,,82.9,78.1,72.8
OPPE,20160729T232000,77.5,77.7,50,0.8,2.3,359,129,971.08,,,,82.9,78.1,72.9
OPPE,20160729T232500,76.9,77.5,52,0.5,2.6,348,87,971.11,,,,82.9,78.1,72.8
OPPE,20160729T233000,76.9,77.2,52,0.9,2.3,341,47,971.17,,,,82.8,78.1,72.8
OPPE,20160729T233500,76.1,76.8,54,0.8,2.6,349,27,971.24,,,,82.7,78.1,72.8
OPPE,20160729T234000,75.8,76.3,56,0.3,1.5,18,26,971.32,,,,82.6,78.1,72.7
OPPE,20160729T234500,74.8,75.6,59,0.6,1.5,39,23,971.4,,,,82.4,78.1,72.7
OPPE,20160729T235000,73.5,75.3,63,1.2,2.5,35,20,971.39,,,,82.4,78.1,72.6
OPPE,20160729T235500,72.4,75.0,65,1.8,2.6,27,19,971.37,,,,82.3,78.1,72.6
OPPE,20160730T000000,72.2,74.7,67,1.7,3.1,29,18,971.39,,,,82.2,78.1,72.6
OPPE,20160730T000500,72.5,74.7,64,1.9,3.0,29,15,971.43,,,,82.1,78.1,72.6
OPPE,20160730T001000,71.7,74.5,64,1.9,3.1,30,13,971.43,,,,82.0,78.0,72.5
OPPE,20160730T001500,70.8,73.8,67,1.5,2.9,22,12,971.46,,,,82.0,78.1,72.6
OPPE,20160730T002000,70.9,72.9,69,1.0,3.4,20,9,971.51,,,,82.0,78.0,72.6
OPPE,20160730T002500,70.2,72.4,73,1.5,2.6,32,4,971.58,,,,81.9,78.0,72.5
OPPE,20160730T003000,69.0,71.4,80,2.4,3.9,39,3,971.6,,,,81.6,77.9,72.5
OPPE,20160730T003500,68.9,71.4,80,2.5,3.7,36,3,971.6,,,,81.5,77.9,72.5
OPPE,20160730T004000,68.6,71.1,78,2.1,3.4,33,1,971.67,,,,81.4,77.9,72.5
OPPE,20160730T004500,69.4,71.4,75,0.9,3.3,7,0,971.76,,,,81.1,77.9,72.5
OPPE,20160730T005000,69.7,71.1,73,1.0,2.3,31,0,971.89,,,,81.0,77.9,72.4
OPPE,20160730T005500,67.5,69.8,78,2.3,4.0,42,0,971.98,,,,81.0,77.9,72.4
OPPE,20160730T010000,67.0,69.0,82,3.9,6.5,41,0,972.08,,,,80.9,77.8,72.3
OPPE,20160730T010500,67.5,69.5,79,3.7,6.0,26,0,972.16,,,,80.8,77.7,72.3
OPPE,20160730T011000,66.8,68.9,80,2.3,5.8,26,0,972.28,,,,80.5,77.7,72.3
OPPE,20160730T011500,66.8,68.8,78,3.1,4.2,39,0,972.33,,,,80.4,77.7,72.3
OPPE,20160730T012000,66.6,69.2,78,3.1,5.1,29,0,972.33,,,,80.3,77.7,72.3
OPPE,20160730T012500,66.7,69.0,79,3.4,4.8,34,0,972.4,,,,80.1,77.7,72.3
OPPE,20160730T013000,66.5,69.2,78,4.1,7.2,35,0,972.47,,,,80.1,77.7,72.3
OPPE,20160730T013500,66.0,69.0,78,4.3,6.8,28,0,972.54,,,,80.1,77.6,72.2
OPPE,20160730T014000,65.3,68.4,81,3.9,5.7,31,0,972.6,,,,80.0,77.6,72.2
OPPE,20160730T014500,66.0,68.5,78,4.4,6.7,28,0,972.65,,,,79.8,77.5,72.1
