station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
RUSH,20160712T182000,,,,,,,,,,,,,,
RUSH,20160712T182500,,,,,,,,,,,,,,
RUSH,20160712T183000,,,,,,,,,,,,,,
RUSH,20160712T183500,,,,,,,,,,,,,,
RUSH,20160712T184000,89.9,87.4,38,8.4,13.6,196,725,993.83,,,,89.1,84.7,84.2
RUSH,20160712T184500,90.4,88.0,38,7.4,12.3,233,575,993.71,,,,89.0,85.1,83.2
RUSH,20160712T185000,88.1,86.8,39,6.1,11.5,180,293,993.64,,,,88.8,85.0,82.5
RUSH,20160712T185500,87.7,86.5,40,5.5,9.2,153,572,993.54,,,,88.6,84.9,81.9
RUSH,20160712T190000,89.5,88.1,39,4.4,8.9,184,702,993.46,,,,88.5,84.6,81.3
RUSH,20160712T190500,90.2,88.5,38,5.4,8.6,216,800,993.39,,,,88.4,84.5,80.8
RUSH,20160712T191000,91.3,89.1,36,7.4,14.7,229,870,993.44,,,,88.2,84.3,80.2
RUSH,20160712T191500,90.3,87.8,37,6.9,13.2,247,475,993.38,,,,88.0,84.0,79.9
RUSH,20160712T192000,89.6,87.7,37,6.1,11.7,207,588,993.29,,,,87.9,84.0,79.6
RUSH,20160712T192500,89.5,88.1,37,2.6,6.0,204,558,993.13,,,,87.9,83.7,79.3
RUSH,20160712T193000,88.6,87.6,39,5.1,11.3,212,241,993.14,,,,87.7,83.5,79.1
RUSH,20160712T193500,88.1,87.3,39,5.1,9.4,194,474,993.05,,,,87.4,83.5,78.8
RUSH,20160712T194000,90.3,88.7,38,5.4,9.1,157,893,992.89,,,,87.4,83.2,78.5
RUSH,20160712T194500,90.0,88.5,37,4.4,8.9,179,313,992.87,,,,87.3,83.0,78.2
RUSH,20160712T195000,88.0,87.4,39,5.8,7.9,204,194,992.91,,,,87.3,82.9,78.1
RUSH,20160712T195500,88.5,87.7,39,5.5,9.9,218,572,992.83,,,,87.3,82.9,77.9
RUSH,20160712T200000,91.2,89.4,37,6.8,13.3,212,821,992.75,,,,87.2,82.7,77.8
RUSH,20160712T200500,91.5,89.5,35,6.3,10.9,211,789,992.63,,,,87.0,82.5,77.6
RUSH,20160712T201000,91.8,89.4,35,8.1,13.0,211,805,992.57,,,,86.9,82.4,77.5
RUSH,20160712T201500,91.3,89.3,35,6.5,11.6,235,521,992.56,,,,86.9,82.3,77.2
RUSH,20160712T202000,90.0,88.6,37,7.4,13.0,196,606,992.46,,,,86.8,82.2,77.1
RUSH,20160712T202500,91.3,89.7,35,8.1,13.1,213,640,992.42,,,,86.8,82.2,77.1
RUSH,20160712T203000,90.6,89.0,36,8.0,13.2,238,420,992.45,,,,86.7,82.1,76.9
RUSH,20160712T203500,90.1,88.8,37,3.9,9.4,225,675,992.44,,,,86.7,82.0,76.8
RUSH,20160712T204000,91.1,89.5,35,4.9,12.2,236,462,992.39,,,,86.7,82.0,76.7
RUSH,20160712T204500,89.8,88.7,36,6.6,11.3,231,315,992.38,,,,86.6,81.9,76.6
RUSH,20160712T205000,89.5,88.8,37,4.1,7.5,215,273,992.35,,,,86.5,81.8,76.6
RUSH,20160712T205500,89.3,88.6,38,4.5,7.7,224,240,992.41,,,,86.5,81.8,76.5
RUSH,20160712T210000,89.3,88.5,38,4.4,9.2,220,364,992.37,,,,86.4,81.5,76.4
RUSH,20160712T210500,89.9,89.1,37,5.4,9.1,227,310,992.27,,,,86.5,81.5,76.4
RUSH,20160712T211000,90.9,89.5,37,6.9,11.3,229,642,992.26,,,,86.4,81.5,76.2
