station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
SBRI,20160501T000000,53.3,53.4,62,6.5,9.9,167,2,979.31,0.0,0.009,0.009,,,
SBRI,20160501T000500,53.2,53.2,62,7.1,11.6,156,1,979.17,0.0,0.009,0.009,,,
SBRI,20160501T001000,53.0,52.9,62,6.7,12.0,141,1,979.07,0.0,0.009,0.009,,,
SBRI,20160501T001500,52.3,52.4,64,5.4,7.7,145,1,979.04,0.0,0.009,0.009,,,
SBRI,20160501T002000,52.2,52.4,64,6.7,9.6,152,0,979.03,0.0,0.009,0.009,,,
SBRI,20160501T002500,52.2,52.3,64,6.7,9.4,160,0,978.98,0.0,0.009,0.009,,,
SBRI,20160501T003000,52.1,52.2,64,6.6,10.1,159,0,979.01,0.0,0.009,0.009,,,
SBRI,20160501T003500,52.2,52.3,64,7.5,10.9,164,0,979.04,0.0,0.009,0.009,,,
SBRI,20160501T004000,52.1,52.4,63,6.8,9.6,157,0,978.98,0.0,0.009,0.009,,,
SBRI,20160501T004500,52.1,52.2,63,6.6,10.1,158,0,978.99,0.0,0.009,0.009,,,
SBRI,20160501T005000,52.0,52.2,63,6.5,9.4,158,0,979.03,0.0,0.009,0.009,,,
SBRI,20160501T005500,51.7,51.9,64,5.0,8.4,149,0,979.04,0.0,0.009,0.009,,,
SBRI,20160501T010000,51.6,51.9,64,5.6,8.2,157,0,978.98,0.0,0.009,0.009,,,
SBRI,20160501T010500,51.8,51.9,64,7.7,11.0,158,0,978.89,0.0,0.009,0.009,,,
SBRI,20160501T011000,51.6,51.8,64,6.2,9.3,158,0,978.95,0.0,0.009,0.009,,,
SBRI,20160501T011500,51.6,51.8,64,6.3,10.1,157,0,979.04,0.0,0.009,0.009,,,
SBRI,20160501T012000,51.3,51.5,65,6.2,8.5,151,0,979.0,0.0,0.009,0.009,,,
SBRI,20160501T012500,51.3,51.4,65,7.0,9.8,147,0,978.93,0.0,0.009,0.009,,,
SBRI,20160501T013000,51.1,51.2,66,7.0,11.2,148,0,978.9,0.0,0.009,0.009,,,
SBRI,20160501T013500,51.3,51.4,65,9.3,12.8,155,0,978.83,0.0,0.009,0.009,,,
SBRI,20160501T014000,51.3,51.4,65,7.8,13.2,156,0,978.83,0.0,0.009,0.009,,,
SBRI,20160501T014500,51.2,51.3,66,7.7,11.1,149,0,978.86,0.0,0.009,0.009,,,
SBRI,20160501T015000,51.1,51.2,66,7.6,11.4,152,0,978.83,0.0,0.009,0.009,,,
SBRI,20160501T015500,51.1,51.1,66,7.2,11.8,160,0,978.8,0.0,0.009,0.009,,,
SBRI,20160501T020000,51.1,51.2,66,7.5,11.3,156,0,978.79,0.0,0.009,0.009,,,
SBRI,20160501T020500,51.0,51.1,67,6.9,10.8,161,0,978.78,0.0,0.009,0.009,,,
SBRI,20160501T021000,50.9,51.0,67,5.5,8.3,168,0,978.77,0.0,0.009,0.009,,,
SBRI,20160501T021500,51.0,51.0,67,6.3,10.8,171,0,978.76,0.0,0.009,0.009,,,
SBRI,20160501T022000,50.9,50.9,67,5.7,8.9,168,0,978.79,0.0,0.009,0.009,,,
SBRI,20160501T022500,50.8,50.9,67,5.8,8.9,167,0,978.79,0.0,0.009,0.009,,,
SBRI,20160501T023000,50.9,51.0,67,5.9,10.3,168,0,978.77,0.0,0.009,0.009,,,
SBRI,20160501T023500,50.8,50.9,67,6.6,10.4,158,0,978.76,0.0,0.009,0.009,,,
SBRI,20160501T024000,51.0,51.0,67,8.7,11.8,162,0,978.8,0.0,0.009,0.009,,,
SBRI,20160501T024500,50.9,50.9,67,6.0,9.6,167,0,978.81,0.0,0.009,0.009,,,
SBRI,20160501T025000,50.9,51.0,67,7.7,11.1,166,0,978.77,0.0,0.009,0.009,,,
SBRI,20160501T025500,50.9,50.9,67,6.4,9.4,162,0,978.63,0.0,0.009,0.009,,,
SBRI,20160501T030000,51.0,51.0,66,7.8,12.7,173,0,978.63,0.0,0.009,0.009,,,
SBRI,20160501T030500,51.0,51.0,67,6.4,10.8,168,0,978.64,0.0,0.009,0.009,,,
SBRI,20160501T031000,51.0,50.9,67,7.0,11.8,168,0,978.59,0.0,0.009,0.009,,,
SBRI,20160501T031500,50.9,50.9,67,7.1,10.1,166,0,978.51,0.0,0.009,0.009,,,
SBRI,20160501T032000,50.9,50.9,67,7.9,13.2,169,0,978.39,0.0,0.009,0.009,,,
SBRI,20160501T032500,50.9,50.8,67,6.9,10.8,169,0,978.35,0.0,0.009,0.009,,,
SBRI,20160501T033000,50.7,50.8,67,6.7,10.0,164,0,978.26,0.0,0.009,0.009,,,
SBRI,20160501T033500,50.5,50.6,68,5.1,7.0,161,0,978.21,0.0,0.009,0.009,,,
SBRI,20160501T034000,50.4,50.5,68,4.4,6.5,157,0,978.15,0.0,0.009,0.009,,,
SBRI,20160501T034500,50.2,50.3,69,4.0,5.9,147,0,978.02,0.0,0.009,0.009,,,
SBRI,20160501T035000,50.1,50.2,69,4.4,7.5,146,0,977.9,0.0,0.009,0.009,,,
SBRI,20160501T035500,50.1,50.2,69,4.2,7.2,142,0,977.88,0.0,0.009,0.009,,,
SBRI,20160501T040000,50.2,50.3,69,5.3,8.0,140,0,977.84,0.0,0.009,0.009,,,
SBRI,20160501T040500,50.2,50.3,68,4.3,6.6,135,0,977.84,0.0,0.009,0.0,,,
SBRI,20160501T041000,49.9,50.1,70,3.5,5.0,144,0,977.8,0.0,0.009,0.0,,,
SBRI,20160501T041500,49.9,50.1,69,3.2,4.5,132,0,977.76,0.0,0.009,0.0,,,
SBRI,20160501T042000,49.9,49.9,70,2.6,4.7,135,0,977.75,0.0,0.009,0.0,,,
SBRI,20160501T042500,49.8,49.9,70,3.1,4.6,132,0,977.69,0.0,0.009,0.0,,,
SBRI,20160501T043000,49.6,49.8,71,2.7,3.9,145,0,977.65,0.0,0.009,0.0,,,
SBRI,20160501T043500,49.5,49.7,71,2.7,3.7,145,0,977.6,0.0,0.009,0.0,,,
SBRI,20160501T044000,49.5,49.7,72,3.2,4.3,142,0,977.54,0.0,0.009,0.0,,,
SBRI,20160501T044500,49.6,49.7,71,4.0,5.6,130,0,977.42,0.0,0.009,0.0,,,
SBRI,20160501T045000,49.7,49.7,71,3.7,5.2,127,0,977.37,0.0,0.009,0.0,,,
SBRI,20160501T045500,49.6,49.6,71,3.0,4.1,149,0,977.33,0.0,0.009,0.0,,,
SBRI,20160501T050000,49.5,49.6,71,3.3,6.2,141,0,977.3,0.0,0.009,0.0,,,
SBRI,20160501T050500,49.7,49.7,71,3.8,5.9,132,0,977.29,0.0,0.0,0.0,,,
SBRI,20160501T051000,49.5,49.6,72,3.8,6.4,141,0,977.25,0.0,0.0,0.0,,,
SBRI,20160501T051500,49.6,49.6,71,2.9,5.0,134,0,977.19,0.0,0.0,0.0,,,
SBRI,20160501T052000,49.4,49.5,72,2.6,4.2,143,0,977.19,0.0,0.0,0.0,,,
SBRI,20160501T052500,49.4,49.5,72,3.8,5.3,124,0,977.13,0.0,0.0,0.0,,,
SBRI,20160501T053000,49.2,49.3,73,3.0,4.4,139,0,977.06,0.0,0.0,0.0,,,
SBRI,20160501T053500,49.0,49.1,75,3.9,5.5,149,0,977.06,0.0,0.0,0.0,,,
