station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
SBRI,20161201T000000,42.75217,-77.35931,48.1,48.0,0,85.9,956.5,15.1,23.7,281.5,48.4,45.9,45.7,0.01,0.32,0.24
SBRI,20161201T000500,42.75217,-77.35931,48.0,47.9,0,86.1,956.5,16.1,25.9,284.2,48.3,45.9,45.7,0.01,0.01,0.26
SBRI,20161201T001000,42.75217,-77.35931,48.0,47.9,0,85.4,956.7,18.4,30.9,273.9,48.2,45.9,45.7,0.01,0.02,0.27
SBRI,20161201T001500,42.75217,-77.35931,48.0,47.8,0,85.1,956.9,20.4,29.5,281.3,48.2,46.0,45.7,0.01,0.04,0.28
SBRI,20161201T002000,42.75217,-77.35931,47.8,47.6,0,84.8,957.0,17.6,29.0,275.4,48.1,46.0,45.7,0.02,0.06,0.3
SBRI,20161201T002500,42.75217,-77.35931,47.6,47.4,0,85.5,957.2,18.6,30.0,279.2,48.0,46.0,45.7,0.01,0.07,0.31
SBRI,20161201T003000,42.75217,-77.35931,47.4,47.2,0,85.7,957.3,17.5,28.3,274.8,48.0,46.0,45.7,0.02,0.09,0.33
SBRI,20161201T003500,42.75217,-77.35931,47.2,47.1,0,82.9,957.5,21.8,33.0,276.4,48.0,46.0,45.7,0.02,0.11,0.35
SBRI,20161201T004000,42.75217,-77.35931,46.9,46.8,0,84.3,957.6,17.9,29.8,270.2,47.9,46.0,45.7,0.03,0.14,0.38
SBRI,20161201T004500,42.75217,-77.35931,46.9,46.8,0,83.7,957.7,19.2,28.3,270.2,47.8,46.0,45.7,0.01,0.15,0.39
SBRI,20161201T005000,42.75217,-77.35931,46.8,46.7,0,84.3,957.8,16.5,30.4,265.6,47.8,46.0,45.7,0.0,0.16,0.4
SBRI,20161201T005500,42.75217,-77.35931,46.9,46.8,0,84.4,957.9,11.2,19.4,258.1,47.5,46.0,45.7,0.0,0.16,0.4
SBRI,20161201T010000,42.75217,-77.35931,47.0,46.9,0,82.4,957.8,13.3,23.9,262.7,47.5,46.0,45.8,0.0,0.16,0.4
SBRI,20161201T010500,42.75217,-77.35931,46.7,46.7,0,83.8,957.6,11.4,18.4,275.0,47.5,46.1,45.8,0.0,0.16,0.4
SBRI,20161201T011000,42.75217,-77.35931,46.7,46.6,0,84.0,957.5,12.1,17.5,275.5,47.4,46.1,45.8,0.0,0.16,0.4
SBRI,20161201T011500,42.75217,-77.35931,46.4,46.4,0,85.4,957.5,8.0,15.6,264.5,47.3,46.1,45.8,0.01,0.16,0.41
SBRI,20161201T012000,42.75217,-77.35931,46.4,46.5,0,85.6,957.2,6.0,10.9,268.8,47.3,46.1,45.8,0.0,0.16,0.41
SBRI,20161201T012500,42.75217,-77.35931,46.4,46.4,0,85.7,957.2,8.5,19.4,248.8,47.3,46.2,45.9,0.0,0.16,0.41
SBRI,20161201T013000,42.75217,-77.35931,46.4,46.4,0,84.1,957.4,10.7,19.1,255.4,47.2,46.2,45.9,0.0,0.16,0.41
SBRI,20161201T013500,42.75217,-77.35931,46.6,46.5,0,83.4,957.8,10.2,16.5,239.4,47.1,46.3,45.9,0.0,0.16,0.41
SBRI,20161201T014000,42.75217,-77.35931,46.5,46.4,0,82.7,957.8,11.1,20.5,243.7,47.1,46.3,45.8,0.0,0.16,0.41
SBRI,20161201T014500,42.75217,-77.35931,46.4,46.3,0,81.3,958.0,14.8,24.9,256.2,47.1,46.3,45.9,0.0,0.16,0.41
SBRI,20161201T015000,42.75217,-77.35931,46.1,46.0,0,80.7,957.9,15.0,28.1,259.7,47.1,46.3,45.8,0.0,0.16,0.41
SBRI,20161201T015500,42.75217,-77.35931,45.8,45.9,0,80.0,958.0,14.1,24.5,258.4,47.1,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T020000,42.75217,-77.35931,45.6,45.8,0,79.3,958.1,15.4,29.5,253.5,47.0,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T020500,42.75217,-77.35931,45.8,45.9,0,77.9,958.2,18.2,26.2,254.7,46.9,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T021000,42.75217,-77.35931,45.6,45.8,0,78.5,958.2,12.3,20.5,241.6,46.9,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T021500,42.75217,-77.35931,45.4,45.5,0,78.9,958.3,12.3,20.9,248.4,46.8,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T022000,42.75217,-77.35931,45.5,45.6,0,78.0,958.5,11.0,21.0,246.4,46.8,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T022500,42.75217,-77.35931,45.5,45.7,0,77.3,958.5,14.4,25.2,252.1,46.7,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T023000,42.75217,-77.35931,45.5,45.7,0,77.1,958.6,16.8,27.3,256.6,46.6,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T023500,42.75217,-77.35931,45.5,45.7,0,77.1,958.6,13.1,23.2,255.6,46.5,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T024000,42.75217,-77.35931,45.7,45.8,0,76.7,958.6,17.9,28.6,250.5,46.4,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T024500,42.75217,-77.35931,45.7,45.7,0,76.2,958.6,15.7,32.1,254.4,46.4,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T025000,42.75217,-77.35931,45.6,45.7,0,75.4,958.6,17.9,32.4,257.7,46.2,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T025500,42.75217,-77.35931,45.4,45.5,0,76.9,958.6,14.9,25.9,258.1,46.0,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T030000,42.75217,-77.35931,45.2,45.3,0,77.7,958.6,11.2,18.9,261.8,46.0,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T030500,42.75217,-77.35931,45.3,45.4,0,75.3,958.6,16.4,24.7,260.3,46.0,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T031000,42.75217,-77.35931,45.1,45.2,0,74.7,958.6,16.3,29.7,259.5,45.9,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T031500,42.75217,-77.35931,45.1,45.2,0,75.7,958.6,16.2,24.3,267.9,45.9,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T032000,42.75217,-77.35931,45.1,45.1,0,76.0,958.7,14.8,21.3,267.7,45.9,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T032500,42.75217,-77.35931,45.2,45.2,0,74.1,958.8,19.6,28.9,255.0,45.8,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T033000,42.75217,-77.35931,44.9,44.9,0,73.0,958.8,17.2,28.7,272.1,45.7,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T033500,42.75217,-77.35931,44.5,44.6,0,70.3,958.8,17.9,36.4,263.9,45.7,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T034000,42.75217,-77.35931,43.9,44.1,0,70.7,958.8,17.4,26.3,275.2,45.7,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T034500,42.75217,-77.35931,43.7,43.8,0,71.3,958.9,16.2,25.4,256.1,45.6,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T035000,42.75217,-77.35931,43.4,43.6,0,71.9,958.9,14.9,27.4,251.7,45.5,46.4,45.9,0.0,0.16,0.41
SBRI,20161201T035500,42.75217,-77.35931,43.3,43.5,0,71.0,959.0,17.4,30.1,250.7,45.5,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T040000,42.75217,-77.35931,43.3,43.5,0,69.8,959.1,17.2,26.2,253.8,45.4,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T040500,42.75217,-77.35931,43.2,43.3,0,68.6,959.2,16.9,30.2,249.8,45.3,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T041000,42.75217,-77.35931,43.0,43.1,0,69.0,959.3,13.0,26.6,248.7,45.3,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T041500,42.75217,-77.35931,43.2,43.2,0,68.8,959.3,17.6,33.4,247.9,45.1,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T042000,42.75217,-77.35931,43.3,43.3,0,68.0,959.3,22.0,33.0,245.8,45.1,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T042500,42.75217,-77.35931,43.2,43.2,0,68.0,959.3,16.7,27.4,251.5,45.0,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T043000,42.75217,-77.35931,43.1,43.0,0,68.4,959.3,15.4,25.0,255.3,45.0,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T043500,42.75217,-77.35931,43.0,43.0,0,68.4,959.3,15.6,24.0,261.5,45.0,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T044000,42.75217,-77.35931,42.9,42.9,0,68.7,959.3,12.0,22.4,251.8,44.9,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T044500,42.75217,-77.35931,42.9,42.8,0,69.5,959.4,14.1,32.8,263.4,44.8,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T045000,42.75217,-77.35931,43.0,42.9,0,68.4,959.4,14.7,37.5,250.0,44.8,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T045500,42.75217,-77.35931,42.8,42.7,0,69.5,959.4,14.3,25.7,260.8,44.8,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T050000,42.75217,-77.35931,42.8,42.7,0,68.9,959.5,14.5,22.7,257.3,44.8,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T050500,42.75217,-77.35931,42.8,42.7,0,68.7,959.4,15.3,26.7,261.1,44.7,46.4,46.0,0.0,0.16,0.41
SBRI,20161201T051000,42.75217,-77.35931,42.8,42.8,0,67.6,959.5,16.3,32.2,244.9,44.7,46.4,46.0,0.0,0.16,0.41
