station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
SCHA,20160901T000000,70.1,71.5,91,0.0,0.0,0,0,999.59,,,,74.6,73.6,72.7
SCHA,20160901T000500,70.1,71.2,92,0.0,0.0,0,0,999.7,,,,74.4,73.2,73.1
SCHA,20160901T001000,69.9,71.4,92,0.0,0.6,75,0,999.72,,,,74.1,73.4,73.1
SCHA,20160901T001500,69.5,71.1,92,0.2,1.5,96,0,999.75,,,,74.5,73.0,73.3
SCHA,20160901T002000,69.3,71.0,93,1.2,1.9,78,0,999.73,,,,74.4,73.4,72.9
SCHA,20160901T002500,69.1,70.5,94,0.6,1.9,83,0,999.71,,,,74.2,73.6,73.0
SCHA,20160901T003000,69.2,70.4,94,0.0,0.0,0,0,999.84,,,,74.1,73.3,73.3
SCHA,20160901T003500,69.2,70.2,94,0.0,0.0,0,0,999.86,,,,74.0,73.1,73.3
SCHA,20160901T004000,69.2,70.5,94,0.2,1.2,8,0,999.81,,,,74.1,73.6,73.2
SCHA,20160901T004500,69.3,70.7,93,0.1,0.7,63,0,999.82,,,,73.9,73.7,73.1
SCHA,20160901T005000,68.9,70.5,93,0.0,0.0,0,0,999.92,,,,74.1,73.6,72.9
SCHA,20160901T005500,68.9,70.7,93,0.3,0.8,320,0,999.9,,,,74.1,73.2,73.3
SCHA,20160901T010000,69.2,70.9,93,0.1,0.9,249,0,999.9,,,,74.1,73.4,72.8
SCHA,20160901T010500,68.7,71.0,93,0.0,0.0,0,0,999.93,,,,73.9,73.2,73.3
SCHA,20160901T011000,69.0,71.1,92,0.0,0.0,0,0,999.89,,,,73.7,73.6,73.0
SCHA,20160901T011500,68.8,70.8,92,1.1,2.0,91,0,999.74,,,,73.8,73.6,72.9
SCHA,20160901T012000,68.6,70.6,92,1.0,2.0,71,0,999.68,,,,73.8,73.6,73.2
SCHA,20160901T012500,68.6,70.5,93,0.0,0.0,0,0,999.78,,,,73.5,73.5,72.8
SCHA,20160901T013000,68.7,70.7,93,0.2,1.5,225,0,999.87,,,,73.9,73.2,73.0
SCHA,20160901T013500,69.0,71.4,93,0.6,1.8,205,0,999.93,,,,73.5,73.4,73.4
SCHA,20160901T014000,69.3,71.4,92,0.6,1.8,233,0,1000.0,,,,73.7,73.4,72.8
SCHA,20160901T014500,69.6,71.5,91,0.6,1.8,229,0,1000.08,,,,73.7,73.2,73.0
SCHA,20160901T015000,69.7,71.1,91,0.3,2.3,182,0,1000.15,,,,73.4,73.5,73.1
SCHA,20160901T015500,70.1,71.2,91,0.3,1.7,263,0,1000.24,,,,73.4,73.2,73.1
SCHA,20160901T020000,70.2,71.2,91,0.4,1.7,247,0,1000.23,,,,73.4,73.4,73.2
SCHA,20160901T020500,70.5,71.4,89,0.9,2.0,254,0,1000.29,,,,73.8,73.3,73.1
SCHA,20160901T021000,71.0,71.6,88,0.9,2.4,235,0,1000.3,,,,73.4,73.4,73.1
SCHA,20160901T021500,71.0,71.6,87,0.3,1.5,224,0,1000.27,,,,73.6,73.2,73.2
SCHA,20160901T022000,71.0,71.4,87,0.6,2.4,223,0,1000.26,,,,73.6,73.1,73.1
SCHA,20160901T022500,71.2,71.4,86,0.8,2.9,224,0,1000.19,,,,73.5,73.3,73.2
SCHA,20160901T023000,71.1,71.5,86,0.9,2.4,195,0,1000.13,,,,73.3,73.4,73.0
SCHA,20160901T023500,70.8,71.4,86,1.4,3.5,204,0,1000.08,,,,73.5,73.3,73.0
SCHA,20160901T024000,71.0,71.4,87,1.0,2.8,213,0,1000.06,,,,73.2,73.5,73.0
SCHA,20160901T024500,71.4,71.8,86,1.1,3.3,222,0,1000.02,,,,73.3,73.2,72.9
SCHA,20160901T025000,71.6,72.0,84,1.4,3.8,232,0,1000.03,,,,73.2,73.4,73.0
SCHA,20160901T025500,71.9,72.1,83,2.0,3.7,240,0,1000.0,,,,73.4,73.6,73.2
SCHA,20160901T030000,71.7,72.1,83,1.9,3.6,228,0,999.99,,,,73.3,73.3,73.1
SCHA,20160901T030500,71.3,72.0,84,1.1,2.5,210,0,999.95,,,,73.2,73.4,73.1
SCHA,20160901T031000,71.5,72.0,83,1.5,3.7,216,0,999.95,,,,73.2,73.5,73.2
SCHA,20160901T031500,71.5,71.8,83,1.6,4.1,225,0,999.93,,,,73.4,73.5,73.2
SCHA,20160901T032000,71.3,71.6,83,1.3,3.7,247,0,999.93,,,,73.2,73.4,73.2
SCHA,20160901T032500,71.5,71.8,82,1.3,4.2,229,0,999.89,,,,73.2,73.6,73.2
SCHA,20160901T033000,71.5,71.9,81,1.7,3.7,245,0,999.83,,,,73.2,73.2,73.2
SCHA,20160901T033500,71.5,72.0,80,1.7,3.3,251,0,999.81,,,,73.3,73.4,73.1
SCHA,20160901T034000,71.7,72.1,78,1.9,4.3,245,0,999.8,,,,73.1,73.4,73.2
SCHA,20160901T034500,71.7,72.1,77,1.8,4.0,248,0,999.76,,,,73.1,73.1,73.4
SCHA,20160901T035000,71.6,72.0,77,2.0,4.5,243,0,999.72,,,,73.2,73.4,73.3
SCHA,20160901T035500,71.5,72.0,76,2.0,4.0,241,0,999.7,,,,73.2,73.3,73.1
SCHA,20160901T040000,71.5,72.1,77,2.0,3.4,255,0,999.77,,,,73.3,73.2,73.3
SCHA,20160901T040500,71.4,72.0,77,2.6,3.8,245,0,999.81,,,,73.1,73.3,73.2
SCHA,20160901T041000,71.4,71.8,78,1.0,3.1,243,0,999.79,,,,72.9,73.1,73.0
SCHA,20160901T041500,71.4,71.8,78,2.1,4.7,245,0,999.81,,,,73.1,73.2,73.2
SCHA,20160901T042000,71.6,71.9,77,1.8,4.2,225,0,999.77,,,,73.4,73.5,73.1
SCHA,20160901T042500,71.2,71.7,78,0.7,2.8,245,0,999.68,,,,73.0,73.2,73.4
SCHA,20160901T043000,71.3,71.7,78,1.4,3.9,240,0,999.68,,,,73.1,73.2,73.2
SCHA,20160901T043500,71.2,71.6,78,1.5,3.6,240,0,999.68,,,,73.0,73.2,73.0
SCHA,20160901T044000,71.4,71.7,78,2.4,4.1,243,0,999.74,,,,73.1,73.2,73.0
SCHA,20160901T044500,71.5,71.9,77,2.6,4.5,245,0,999.75,,,,73.0,73.3,73.1
SCHA,20160901T045000,71.5,72.0,76,2.3,4.7,249,0,999.77,,,,73.0,73.2,73.1
SCHA,20160901T045500,71.6,71.9,76,2.4,6.0,244,0,999.7,,,,72.9,73.3,73.2
SCHA,20160901T050000,71.6,72.0,75,2.4,4.2,232,0,999.68,,,,72.9,73.1,73.4
