station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
SPRA,20160501T000000,52.5,58.0,66,4.9,5.5,175,5,997.27,,,,57.4,51.4,48.0
SPRA,20160501T000500,52.9,57.9,63,4.9,5.3,168,2,997.21,,,,57.2,51.4,48.0
SPRA,20160501T001000,52.6,57.7,59,4.7,5.3,163,1,997.28,,,,56.9,51.4,48.0
SPRA,20160501T001500,51.2,57.6,60,4.9,5.6,162,0,997.26,,,,56.7,51.4,48.0
SPRA,20160501T002000,50.3,57.4,63,5.2,5.7,166,0,997.31,,,,56.6,51.4,48.0
SPRA,20160501T002500,49.2,57.3,66,4.7,5.1,164,0,997.37,,,,56.3,51.4,48.0
SPRA,20160501T003000,49.3,57.3,68,5.2,5.8,170,0,997.4,,,,56.2,51.4,48.0
SPRA,20160501T003500,49.5,56.9,72,6.0,6.5,173,0,997.43,,,,56.0,51.4,48.0
SPRA,20160501T004000,50.0,56.7,73,6.3,6.6,176,0,997.49,,,,55.9,51.4,48.0
SPRA,20160501T004500,49.7,56.3,73,6.3,6.7,175,0,997.53,,,,55.6,51.4,48.0
SPRA,20160501T005000,49.3,56.1,74,6.3,6.8,172,0,997.57,,,,55.4,51.4,48.0
SPRA,20160501T005500,49.6,56.0,73,6.7,7.5,171,0,997.6,,,,55.2,51.4,48.0
SPRA,20160501T010000,50.2,56.0,73,6.9,7.5,173,0,997.67,,,,55.0,51.4,48.0
SPRA,20160501T010500,50.0,55.9,73,6.9,7.5,177,0,997.74,,,,54.9,51.4,48.0
SPRA,20160501T011000,49.7,55.6,74,6.9,7.5,178,0,997.76,,,,54.8,51.4,48.0
SPRA,20160501T011500,49.9,55.4,74,7.5,8.3,172,0,997.73,,,,54.6,51.5,48.0
SPRA,20160501T012000,50.4,55.2,73,8.4,8.8,169,0,997.66,,,,54.3,51.4,48.0
SPRA,20160501T012500,51.2,55.1,70,7.8,8.5,166,0,997.57,,,,54.3,51.4,48.0
SPRA,20160501T013000,51.2,54.8,69,7.4,8.2,165,0,997.5,,,,54.1,51.5,48.0
SPRA,20160501T013500,51.0,54.8,70,7.0,7.7,167,0,997.44,,,,53.8,51.5,48.0
SPRA,20160501T014000,50.7,54.8,70,7.2,7.7,172,0,997.42,,,,53.8,51.5,48.0
SPRA,20160501T014500,50.3,54.7,72,7.1,7.7,174,0,997.41,,,,53.7,51.5,48.0
SPRA,20160501T015000,50.7,54.3,72,6.6,7.3,180,0,997.44,,,,53.6,51.5,48.0
SPRA,20160501T015500,50.5,54.0,72,6.2,6.9,181,0,997.4,,,,53.5,51.6,48.0
SPRA,20160501T020000,50.3,53.9,72,6.8,7.7,182,0,997.45,,,,53.4,51.5,48.0
SPRA,20160501T020500,50.5,53.8,71,7.5,8.2,180,0,997.47,,,,53.4,51.6,48.0
SPRA,20160501T021000,50.0,53.7,72,7.6,8.2,176,0,997.4,,,,53.1,51.6,48.0
SPRA,20160501T021500,50.0,53.7,73,7.4,7.9,177,0,997.45,,,,53.1,51.6,48.0
SPRA,20160501T022000,49.7,53.6,73,7.6,8.1,176,0,997.5,,,,52.9,51.5,48.0
SPRA,20160501T022500,49.5,53.6,73,7.9,8.6,174,0,997.5,,,,52.9,51.6,48.1
SPRA,20160501T023000,49.4,53.6,73,7.8,8.2,170,0,997.43,,,,52.9,51.5,48.1
SPRA,20160501T023500,49.4,53.6,72,7.9,8.3,173,0,997.51,,,,52.7,51.6,48.1
SPRA,20160501T024000,49.4,53.6,73,7.3,7.7,174,0,997.48,,,,52.7,51.5,48.2
SPRA,20160501T024500,49.4,53.6,73,7.4,7.8,171,0,997.43,,,,52.3,51.5,48.2
SPRA,20160501T025000,49.6,53.4,73,7.6,8.1,170,0,997.4,,,,52.3,51.5,48.2
SPRA,20160501T025500,49.6,53.3,73,7.3,7.8,169,0,997.44,,,,52.3,51.5,48.2
SPRA,20160501T030000,49.5,53.3,72,7.1,7.5,171,0,997.46,,,,52.2,51.5,48.2
SPRA,20160501T030500,49.2,53.2,73,7.3,7.8,171,0,997.46,,,,52.2,51.4,48.2
SPRA,20160501T031000,49.0,53.0,74,7.5,7.8,172,0,997.46,,,,52.1,51.4,48.2
SPRA,20160501T031500,48.9,53.0,74,7.3,7.7,170,0,997.48,,,,52.0,51.4,48.2
SPRA,20160501T032000,48.8,52.8,73,6.8,7.2,169,0,997.52,,,,52.0,51.5,48.2
SPRA,20160501T032500,48.8,52.8,73,6.5,6.9,168,0,997.5,,,,51.9,51.4,48.2
SPRA,20160501T033000,48.9,52.5,73,6.0,6.8,165,0,997.49,,,,51.8,51.4,48.2
SPRA,20160501T033500,48.7,52.5,70,5.4,6.4,160,0,997.48,,,,51.8,51.4,48.2
SPRA,20160501T034000,48.6,52.7,68,4.7,5.6,159,0,997.48,,,,51.6,51.4,48.2
SPRA,20160501T034500,48.4,52.6,69,4.4,5.2,156,0,997.45,,,,51.4,51.4,48.2
SPRA,20160501T035000,48.9,52.4,69,4.9,5.6,151,0,997.4,,,,51.4,51.4,48.2
SPRA,20160501T035500,49.1,52.4,69,4.6,5.0,151,0,997.43,,,,51.4,51.4,48.2
SPRA,20160501T040000,46.8,51.6,73,3.6,4.6,145,0,997.42,,,,51.3,51.4,48.2
SPRA,20160501T040500,46.9,50.1,78,2.5,3.5,136,0,997.33,,,,51.3,51.4,48.2
SPRA,20160501T041000,47.0,50.3,80,3.1,4.5,142,0,997.25,,,,51.3,51.4,48.2
SPRA,20160501T041500,47.0,51.4,81,3.5,4.7,143,0,997.25,,,,51.3,51.4,48.2
SPRA,20160501T042000,46.5,50.8,82,2.8,3.7,141,0,997.3,,,,51.2,51.4,48.2
SPRA,20160501T042500,46.8,49.0,82,0.7,2.1,146,0,997.33,,,,51.1,51.4,48.2
SPRA,20160501T043000,46.3,48.8,83,0.7,1.2,290,0,997.41,,,,51.1,51.4,48.2
SPRA,20160501T043500,47.0,48.6,83,0.2,0.8,243,0,997.44,,,,51.1,51.4,48.2
SPRA,20160501T044000,47.4,48.5,82,0.1,0.7,251,0,997.43,,,,51.1,51.4,48.2
SPRA,20160501T044500,46.5,47.9,82,0.7,1.3,199,0,997.44,,,,51.1,51.4,48.2
SPRA,20160501T045000,46.7,48.2,81,0.7,2.1,169,0,997.42,,,,51.0,51.4,48.2
SPRA,20160501T045500,46.5,48.5,82,0.7,1.5,145,0,997.41,,,,50.7,51.4,48.2
SPRA,20160501T050000,46.2,49.0,82,1.4,2.3,98,0,997.34,,,,50.7,51.4,48.2
SPRA,20160501T050500,46.3,49.3,83,2.1,3.4,66,0,997.29,,,,50.7,51.4,48.2
SPRA,20160501T051000,46.2,48.3,84,2.6,3.7,44,0,997.3,,,,50.7,51.4,48.2
SPRA,20160501T051500,46.4,48.6,84,3.8,4.3,40,0,997.33,,,,50.7,51.3,48.2
SPRA,20160501T052000,46.6,48.7,82,3.8,4.5,65,0,997.33,,,,50.6,51.3,48.2
SPRA,20160501T052500,46.8,49.0,82,3.2,4.1,82,0,997.35,,,,50.5,51.3,48.2
SPRA,20160501T053000,47.4,49.0,79,2.8,4.3,101,0,997.32,,,,50.5,51.3,48.2
SPRA,20160501T053500,48.1,49.5,77,3.1,4.6,99,0,997.28,,,,50.5,51.3,48.3
SPRA,20160501T054000,48.2,49.6,76,2.9,4.2,102,0,997.23,,,,50.5,51.3,48.3
SPRA,20160501T054500,48.3,49.6,75,2.4,4.4,107,0,997.2,,,,50.5,51.3,48.3
SPRA,20160501T055000,48.1,49.7,77,1.8,2.8,105,0,997.23,,,,50.5,51.3,48.4
SPRA,20160501T055500,47.2,49.4,77,1.4,2.5,99,0,997.2,,,,50.5,51.3,48.4
SPRA,20160501T060000,47.2,49.4,79,1.5,2.6,103,0,997.17,,,,50.4,51.3,48.4
SPRA,20160501T060500,47.8,49.8,78,3.1,5.1,98,0,997.14,,,,50.4,51.3,48.4
SPRA,20160501T061000,48.8,49.9,74,3.0,4.7,104,0,997.1,,,,50.4,51.3,48.4
SPRA,20160501T061500,48.8,49.6,74,3.3,4.7,100,0,997.07,,,,50.4,51.3,48.4
SPRA,20160501T062000,48.4,49.6,75,3.7,4.4,95,0,997.11,,,,50.4,51.3,48.4
SPRA,20160501T062500,48.3,49.6,75,3.5,4.4,87,0,997.1,,,,50.4,51.2,48.4
SPRA,20160501T063000,48.2,49.3,75,2.9,3.4,91,0,997.11,,,,50.4,51.2,48.4
SPRA,20160501T063500,48.1,49.2,75,2.8,3.5,88,0,997.08,,,,50.3,51.1,48.4
SPRA,20160501T064000,47.9,49.1,77,2.2,3.6,106,0,997.07,,,,50.2,51.1,48.4
SPRA,20160501T064500,47.7,48.9,78,2.1,3.9,97,0,997.02,,,,50.2,51.1,48.4
SPRA,20160501T065000,48.1,48.8,77,3.1,4.3,100,0,996.99,,,,50.2,51.1,48.4
SPRA,20160501T065500,48.3,48.9,74,2.9,5.2,106,0,996.96,,,,50.2,51.1,48.4
SPRA,20160501T070000,48.1,48.9,74,2.8,4.7,114,0,996.99,,,,50.2,51.1,48.4
SPRA,20160501T070500,47.9,48.9,75,2.6,3.9,113,0,997.01,,,,50.2,51.1,48.4
SPRA,20160501T071000,48.4,48.9,71,4.0,4.9,98,0,996.95,,,,50.2,51.1,48.4
SPRA,20160501T071500,47.7,48.8,72,4.2,4.8,86,0,996.89,,,,50.2,51.1,48.4
SPRA,20160501T072000,47.6,48.6,73,2.9,4.5,102,0,996.88,,,,50.2,51.1,48.4
SPRA,20160501T072500,47.7,48.6,72,3.9,5.0,94,0,996.82,,,,50.2,51.1,48.4
SPRA,20160501T073000,47.8,48.5,71,3.0,5.0,95,0,996.8,,,,50.2,51.1,48.4
SPRA,20160501T073500,48.0,48.4,69,3.2,6.1,88,0,996.75,,,,49.9,51.1,48.4
SPRA,20160501T074000,47.8,48.3,68,2.9,4.6,88,0,996.73,,,,49.8,51.1,48.4
SPRA,20160501T074500,47.8,48.3,66,3.4,5.6,92,0,996.78,,,,49.8,51.1,48.4
SPRA,20160501T075000,47.7,48.2,65,2.6,5.2,85,0,996.82,,,,49.8,51.1,48.4
SPRA,20160501T075500,47.5,48.0,65,2.6,3.6,88,0,996.8,,,,49.8,51.1,48.4
SPRA,20160501T080000,47.4,47.9,66,2.3,3.9,107,0,996.83,,,,49.8,51.0,48.4
SPRA,20160501T080500,47.7,48.0,64,2.3,4.2,106,0,996.85,,,,49.8,51.0,48.4
SPRA,20160501T081000,47.5,47.9,64,2.4,3.6,109,0,996.83,,,,49.8,50.8,48.4
SPRA,20160501T081500,47.3,47.8,65,2.2,3.7,115,0,996.87,,,,49.6,50.7,48.4
SPRA,20160501T082000,47.3,47.8,65,2.6,4.0,114,0,996.91,,,,49.6,50.7,48.4
SPRA,20160501T082500,47.0,47.7,65,1.9,3.4,115,0,996.93,,,,49.6,50.7,48.4
SPRA,20160501T083000,46.7,47.6,67,1.5,2.6,121,0,996.89,,,,49.6,50.7,48.4
SPRA,20160501T083500,47.3,47.8,61,3.4,6.1,95,0,996.85,,,,49.6,50.7,48.4
SPRA,20160501T084000,47.2,47.8,60,1.8,4.0,105,0,996.91,,,,49.6,50.7,48.4
SPRA,20160501T084500,47.2,47.8,58,2.4,4.7,97,0,996.98,,,,49.6,50.7,48.4
SPRA,20160501T085000,47.3,47.9,56,3.3,5.5,88,0,997.02,,,,49.6,50.7,48.4
SPRA,20160501T085500,47.5,48.0,53,3.4,7.0,91,0,997.02,,,,49.6,50.7,48.4
SPRA,20160501T090000,47.3,48.0,53,4.6,6.6,85,0,996.98,,,,49.5,50.7,48.4
SPRA,20160501T090500,47.3,47.9,53,4.7,6.6,82,0,996.96,,,,49.5,50.7,48.4
SPRA,20160501T091000,47.1,47.8,53,5.1,7.6,87,0,996.88,,,,49.5,50.7,48.4
SPRA,20160501T091500,47.1,47.7,53,5.1,8.9,86,0,996.81,,,,49.5,50.7,48.4
SPRA,20160501T092000,47.1,47.6,52,5.5,7.9,87,0,996.74,,,,49.4,50.7,48.4
SPRA,20160501T092500,47.1,47.5,52,5.6,8.3,87,0,996.67,,,,49.3,50.7,48.4
SPRA,20160501T093000,47.1,47.5,52,5.5,7.9,86,0,996.6,,,,49.3,50.7,48.4
SPRA,20160501T093500,47.1,47.5,52,5.9,9.4,88,0,996.61,,,,49.3,50.6,48.4
SPRA,20160501T094000,47.0,47.5,52,6.3,9.7,87,0,996.62,,,,49.3,50.5,48.4
SPRA,20160501T094500,46.9,47.3,52,6.7,9.7,90,0,996.68,,,,49.3,50.5,48.4
SPRA,20160501T095000,46.8,47.3,52,5.7,8.3,91,0,996.7,,,,49.2,50.5,48.4
SPRA,20160501T095500,46.6,47.1,53,5.4,8.0,91,1,996.56,,,,49.1,50.5,48.4
SPRA,20160501T100000,46.7,47.1,53,4.7,7.8,97,1,996.69,,,,49.1,50.5,48.4
SPRA,20160501T100500,46.6,46.9,54,3.5,5.8,106,3,996.8,,,,49.1,50.5,48.4
SPRA,20160501T101000,46.5,46.9,54,3.3,5.3,108,4,996.8,,,,49.0,50.5,48.4
SPRA,20160501T101500,46.6,46.9,53,4.0,7.2,100,6,996.87,,,,48.8,50.5,48.4
SPRA,20160501T102000,46.4,46.9,54,4.3,6.9,95,7,996.92,,,,48.7,50.5,48.4
SPRA,20160501T102500,46.4,46.8,54,4.4,6.4,92,8,996.92,,,,48.7,50.5,48.4
SPRA,20160501T103000,46.4,46.8,54,3.9,6.7,92,9,997.0,,,,48.7,50.5,48.4
SPRA,20160501T103500,46.4,46.9,53,5.3,8.1,89,10,997.05,,,,48.7,50.5,48.4
SPRA,20160501T104000,46.4,46.8,53,3.5,6.9,97,11,997.1,,,,48.7,50.5,48.4
SPRA,20160501T104500,46.3,46.5,54,3.8,6.5,115,11,997.21,,,,48.7,50.5,48.4
SPRA,20160501T105000,45.5,46.2,60,3.9,5.6,157,13,997.34,,,,48.7,50.5,48.5
SPRA,20160501T105500,45.6,46.2,59,3.5,5.4,120,17,997.31,,,,48.7,50.5,48.5
SPRA,20160501T110000,45.6,46.0,59,3.5,4.7,116,20,997.38,,,,48.7,50.5,48.5
SPRA,20160501T110500,45.1,45.5,63,4.3,5.4,104,24,997.38,,,,48.6,50.5,48.5
SPRA,20160501T111000,44.7,45.1,67,4.2,6.4,100,27,997.36,,,,48.6,50.5,48.6
SPRA,20160501T111500,44.6,45.0,67,5.5,7.2,91,23,997.32,,,,48.6,50.5,48.5
SPRA,20160501T112000,44.3,44.8,67,6.5,9.0,88,21,997.37,,,,48.6,50.4,48.6
SPRA,20160501T112500,44.0,44.5,68,6.8,9.2,82,25,997.29,,,,48.6,50.4,48.6
SPRA,20160501T113000,43.8,44.2,70,5.9,8.0,80,28,997.35,,,,48.6,50.4,48.6
SPRA,20160501T113500,43.7,44.0,72,4.2,6.8,95,29,997.42,,,,48.6,50.4,48.6
