station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
SPRA,20170401T000000,42.86976,-74.50998,32.3,32.4,0,96.6,986.0,9.4,13.5,75.8,32.7,33.8,35.1,0.0,1.25,1.33
SPRA,20170401T000500,42.86976,-74.50998,32.4,32.4,0,96.7,986.0,9.5,12.9,78.5,32.7,33.8,35.1,0.0,1.26,0.0
SPRA,20170401T001000,42.86976,-74.50998,32.4,32.4,0,96.6,986.0,8.9,11.4,78.2,32.7,33.8,35.1,0.0,1.26,0.0
SPRA,20170401T001500,42.86976,-74.50998,32.3,32.4,0,96.6,986.0,8.5,12.8,76.7,32.7,33.8,35.1,0.0,1.26,0.0
SPRA,20170401T002000,42.86976,-74.50998,32.4,32.4,0,96.6,985.9,10.0,13.8,75.5,32.7,33.8,35.1,0.0,1.26,0.0
SPRA,20170401T002500,42.86976,-74.50998,32.4,32.4,0,96.5,985.9,9.3,12.6,80.0,32.7,33.8,35.1,0.0,1.26,0.0
SPRA,20170401T003000,42.86976,-74.50998,32.4,32.4,0,96.5,985.8,9.6,13.7,77.1,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T003500,42.86976,-74.50998,32.4,32.5,0,96.4,985.8,8.9,12.6,79.1,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T004000,42.86976,-74.50998,32.5,32.6,0,96.3,985.9,8.6,12.2,82.4,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T004500,42.86976,-74.50998,32.5,32.6,0,96.0,985.8,7.1,9.9,81.3,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T005000,42.86976,-74.50998,32.6,32.6,0,96.0,985.8,8.5,11.8,85.3,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T005500,42.86976,-74.50998,32.6,32.6,0,95.8,985.8,8.5,12.4,82.4,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T010000,42.86976,-74.50998,32.6,32.6,0,95.7,985.9,8.0,13.9,80.2,32.7,33.8,35.1,0.0,1.26,0.01
SPRA,20170401T010500,42.86976,-74.50998,32.6,32.7,0,95.7,985.9,8.7,13.0,82.0,32.7,33.8,35.1,0.0,0.0,0.01
SPRA,20170401T011000,42.86976,-74.50998,32.6,32.6,0,95.8,985.9,7.7,10.6,80.6,32.7,33.8,35.1,0.0,0.0,0.01
SPRA,20170401T011500,42.86976,-74.50998,32.5,32.6,0,96.0,985.9,9.2,11.8,75.6,32.7,33.8,35.1,0.0,0.0,0.01
SPRA,20170401T012000,42.86976,-74.50998,32.6,32.6,0,96.1,985.8,9.4,13.4,73.6,32.7,33.8,35.1,0.0,0.0,0.01
SPRA,20170401T012500,42.86976,-74.50998,32.5,32.5,0,96.0,985.8,9.5,13.4,71.6,32.7,33.8,35.1,0.0,0.0,0.01
SPRA,20170401T013000,42.86976,-74.50998,32.5,32.5,0,96.1,985.8,8.8,12.6,75.8,32.7,33.8,35.1,0.0,0.0,0.01
SPRA,20170401T013500,42.86976,-74.50998,32.5,32.6,0,96.0,985.8,8.4,12.5,82.6,32.7,33.8,35.1,0.0,0.01,0.01
SPRA,20170401T014000,42.86976,-74.50998,32.5,32.5,0,96.0,985.8,8.8,13.0,84.3,32.7,33.8,35.1,0.0,0.01,0.01
SPRA,20170401T014500,42.86976,-74.50998,32.5,32.5,0,96.2,985.8,7.8,10.2,81.6,32.7,33.8,35.1,0.0,0.01,0.01
SPRA,20170401T015000,42.86976,-74.50998,32.5,32.6,0,96.1,985.7,8.9,12.3,79.7,32.7,33.8,35.1,0.0,0.01,0.01
SPRA,20170401T015500,42.86976,-74.50998,32.5,32.5,0,96.1,985.7,7.0,12.3,77.7,32.7,33.8,35.1,0.0,0.01,0.01
SPRA,20170401T020000,42.86976,-74.50998,32.5,32.5,0,96.1,985.7,8.0,11.5,77.8,32.7,33.8,35.1,0.0,0.01,0.01
SPRA,20170401T020500,42.86976,-74.50998,32.5,32.5,0,96.1,985.6,7.7,11.2,76.4,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T021000,42.86976,-74.50998,32.5,32.5,0,96.2,985.6,7.5,11.2,75.9,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T021500,42.86976,-74.50998,32.5,32.5,0,96.2,985.6,7.2,11.4,75.7,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T022000,42.86976,-74.50998,32.4,32.5,0,96.2,985.6,7.5,12.9,73.5,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T022500,42.86976,-74.50998,32.4,32.4,0,96.3,985.6,7.0,11.4,76.6,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T023000,42.86976,-74.50998,32.4,32.5,0,96.4,985.6,8.6,12.9,78.3,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T023500,42.86976,-74.50998,32.4,32.5,0,96.4,985.6,8.2,11.4,73.6,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T024000,42.86976,-74.50998,32.4,32.4,0,96.4,985.6,7.3,10.4,78.7,32.7,33.8,35.1,0.0,0.01,0.02
SPRA,20170401T024500,42.86976,-74.50998,32.4,32.4,0,96.4,985.6,8.4,11.8,72.9,32.7,33.8,35.1,0.0,0.02,0.02
SPRA,20170401T025000,42.86976,-74.50998,32.4,32.4,0,96.4,985.6,7.6,9.7,76.2,32.7,33.8,35.1,0.0,0.02,0.02
SPRA,20170401T025500,42.86976,-74.50998,32.4,32.4,0,96.4,985.6,8.0,11.5,79.8,32.7,33.8,35.1,0.0,0.02,0.02
SPRA,20170401T030000,42.86976,-74.50998,32.4,32.4,0,96.3,985.6,6.4,9.4,79.1,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T030500,42.86976,-74.50998,32.4,32.4,0,96.4,985.6,8.1,10.6,82.0,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T031000,42.86976,-74.50998,32.4,32.4,0,96.3,985.6,6.9,10.7,79.9,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T031500,42.86976,-74.50998,32.4,32.4,0,96.4,985.6,8.1,10.7,77.5,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T032000,42.86976,-74.50998,32.4,32.5,0,96.3,985.6,8.0,12.2,86.4,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T032500,42.86976,-74.50998,32.4,32.5,0,96.2,985.5,7.6,11.0,89.5,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T033000,42.86976,-74.50998,32.4,32.5,0,96.2,985.5,7.4,9.6,88.2,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T033500,42.86976,-74.50998,32.5,32.6,0,96.1,985.5,8.4,12.6,84.6,32.7,33.8,35.1,0.0,0.02,0.03
SPRA,20170401T034000,42.86976,-74.50998,32.5,32.6,0,96.0,985.5,7.9,13.2,84.3,32.7,33.8,35.1,0.0,0.03,0.03
SPRA,20170401T034500,42.86976,-74.50998,32.5,32.6,0,95.8,985.5,8.4,12.1,84.2,32.7,33.8,35.1,0.0,0.03,0.03
SPRA,20170401T035000,42.86976,-74.50998,32.6,32.6,0,95.7,985.5,8.0,11.1,84.7,32.7,33.8,35.1,0.0,0.03,0.03
SPRA,20170401T035500,42.86976,-74.50998,32.6,32.6,0,95.7,985.5,8.4,11.7,81.8,32.7,33.8,35.1,0.0,0.03,0.03
SPRA,20170401T040000,42.86976,-74.50998,32.5,32.6,0,95.7,985.6,6.1,9.1,81.3,32.7,33.8,35.1,0.0,0.03,0.04
SPRA,20170401T040500,42.86976,-74.50998,32.5,32.6,0,95.9,985.6,7.6,11.8,79.8,32.7,33.8,35.1,0.0,0.03,0.04
SPRA,20170401T041000,42.86976,-74.50998,32.5,32.5,0,95.9,985.6,6.8,9.1,83.7,32.7,33.8,35.1,0.0,0.03,0.04
SPRA,20170401T041500,42.86976,-74.50998,32.4,32.5,0,95.9,985.6,7.8,12.8,82.3,32.7,33.8,35.1,0.0,0.03,0.04
SPRA,20170401T042000,42.86976,-74.50998,32.4,32.5,0,95.8,985.6,7.4,12.0,79.5,32.7,33.8,35.1,0.0,0.03,0.04
SPRA,20170401T042500,42.86976,-74.50998,32.4,32.5,0,95.8,985.7,7.6,11.2,78.9,32.7,33.8,35.1,0.0,0.03,0.04
SPRA,20170401T043000,42.86976,-74.50998,32.4,32.5,0,95.8,985.7,7.1,11.3,81.4,32.7,33.8,35.1,0.0,0.04,0.04
