station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
SPRI,20160901T000000,66.4,67.3,85,3.0,5.2,215,0,959.86,,,,72.3,70.9,69.0
SPRI,20160901T000500,66.5,67.3,85,2.3,4.1,218,0,959.92,,,,72.3,70.9,69.0
SPRI,20160901T001000,66.2,67.0,86,2.3,4.7,213,0,960.07,,,,72.3,70.9,69.0
SPRI,20160901T001500,66.2,66.9,86,3.6,5.4,217,0,960.16,,,,72.2,71.0,69.0
SPRI,20160901T002000,66.0,66.7,86,2.5,5.1,218,0,960.07,,,,72.0,70.9,69.0
SPRI,20160901T002500,65.4,66.4,88,1.9,3.8,236,0,960.01,,,,71.9,70.9,68.9
SPRI,20160901T003000,65.4,66.6,89,2.9,4.2,229,0,960.09,,,,71.9,71.0,69.0
SPRI,20160901T003500,65.6,66.6,88,3.1,4.4,221,0,960.12,,,,71.8,71.0,68.9
SPRI,20160901T004000,65.5,66.5,88,2.9,5.1,225,0,960.12,,,,71.7,71.0,69.0
SPRI,20160901T004500,65.5,66.3,89,2.5,3.8,235,0,960.12,,,,71.6,71.0,69.0
SPRI,20160901T005000,65.4,66.2,89,2.1,3.8,227,0,960.24,,,,71.6,71.0,69.0
SPRI,20160901T005500,65.1,66.0,89,2.1,3.1,219,0,960.37,,,,71.5,70.9,69.0
SPRI,20160901T010000,65.0,66.0,90,2.1,3.5,222,0,960.45,,,,71.5,70.9,69.0
SPRI,20160901T010500,65.2,66.1,90,2.7,3.6,224,0,960.48,,,,71.4,71.0,68.9
SPRI,20160901T011000,65.1,66.0,89,3.5,4.5,214,0,960.44,,,,71.4,71.0,69.0
SPRI,20160901T011500,65.0,66.0,90,4.0,5.4,218,0,960.44,,,,71.4,71.0,68.9
SPRI,20160901T012000,65.4,66.0,89,3.0,4.7,223,0,960.5,,,,71.2,70.9,68.9
SPRI,20160901T012500,65.0,65.8,89,2.1,4.1,233,0,960.62,,,,71.2,71.0,69.0
SPRI,20160901T013000,65.0,65.7,90,1.7,4.5,218,0,960.64,,,,71.1,70.9,69.0
SPRI,20160901T013500,64.9,65.5,90,2.0,4.1,208,0,960.65,,,,71.2,71.0,69.0
SPRI,20160901T014000,64.7,65.4,90,2.7,3.9,204,0,960.61,,,,71.0,71.0,68.9
SPRI,20160901T014500,63.8,64.6,92,2.6,3.5,202,0,960.66,,,,70.9,71.0,69.0
SPRI,20160901T015000,64.0,64.8,93,3.7,5.9,201,0,960.61,,,,71.0,71.0,69.0
SPRI,20160901T015500,64.3,64.9,92,3.6,5.0,199,0,960.52,,,,70.9,71.0,68.9
