station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
STEP,20160501T000000,54.5,55.9,56,1.4,2.2,181,2,987.48,0.0,0.0,0.0,57.4,53.2,48.7
STEP,20160501T000500,53.0,55.5,59,1.1,1.9,173,1,987.48,0.0,0.0,0.0,57.3,53.2,48.7
STEP,20160501T001000,52.4,54.3,62,1.2,1.8,156,0,987.46,0.0,0.0,0.0,57.3,53.3,48.6
STEP,20160501T001500,51.7,53.6,63,1.6,2.0,144,0,987.39,0.0,0.0,0.0,57.2,53.3,48.7
STEP,20160501T002000,51.1,52.9,65,0.5,2.1,132,0,987.34,0.0,0.0,0.0,57.1,53.3,48.6
STEP,20160501T002500,50.8,52.6,66,0.0,0.4,92,0,987.33,0.0,0.0,0.0,57.0,53.3,48.7
STEP,20160501T003000,50.2,52.3,67,0.3,0.9,90,0,987.32,0.0,0.0,0.0,56.9,53.4,48.7
STEP,20160501T003500,49.8,51.9,68,0.0,0.1,149,0,987.34,0.0,0.0,0.0,56.9,53.5,48.7
STEP,20160501T004000,49.0,51.6,70,0.3,1.0,166,0,987.35,0.0,0.0,0.0,56.8,53.4,48.7
STEP,20160501T004500,48.6,51.3,72,0.4,1.2,190,0,987.33,0.0,0.0,0.0,56.7,53.4,48.7
STEP,20160501T005000,48.9,50.4,71,0.3,0.9,284,0,987.35,0.0,0.0,0.0,56.5,53.5,48.7
STEP,20160501T005500,48.4,49.9,73,1.0,1.5,322,0,987.46,0.0,0.0,0.0,56.3,53.5,48.8
STEP,20160501T010000,48.1,49.5,72,0.8,1.3,314,0,987.56,0.0,0.0,0.0,56.3,53.5,48.8
STEP,20160501T010500,48.3,49.3,72,0.2,0.8,278,0,987.63,0.0,0.0,0.0,56.3,53.5,48.8
STEP,20160501T011000,48.1,48.8,73,0.2,0.7,254,0,987.7,0.0,0.0,0.0,56.2,53.5,48.8
STEP,20160501T011500,46.8,48.3,74,0.0,0.0,0,0,987.76,0.0,0.0,0.0,56.1,53.5,48.7
STEP,20160501T012000,46.5,48.1,75,0.1,0.8,203,0,987.81,0.0,0.0,0.0,56.1,53.5,48.8
STEP,20160501T012500,46.4,47.9,75,0.0,0.0,0,0,987.76,0.0,0.0,0.0,56.0,53.5,48.8
STEP,20160501T013000,46.3,48.0,75,0.0,0.4,37,0,987.78,0.0,0.0,0.0,55.9,53.6,48.9
STEP,20160501T013500,45.7,48.1,77,0.0,0.4,37,0,987.81,0.0,0.0,0.0,55.7,53.6,48.9
STEP,20160501T014000,45.5,47.6,78,0.1,0.1,317,0,987.79,0.0,0.0,0.0,55.6,53.5,48.9
STEP,20160501T014500,45.1,46.7,80,0.1,0.1,316,0,987.7,0.0,0.0,0.0,55.5,53.5,48.8
STEP,20160501T015000,45.5,46.7,80,0.3,0.9,18,0,987.63,0.0,0.0,0.0,55.4,53.6,48.9
STEP,20160501T015500,45.6,46.9,80,0.7,2.1,354,0,987.63,0.0,0.0,0.0,55.3,53.6,48.9
STEP,20160501T020000,45.4,46.9,79,1.7,2.3,356,0,987.64,0.0,0.0,0.0,55.2,53.6,49.0
STEP,20160501T020500,44.8,46.4,82,0.5,1.2,314,0,987.67,0.0,0.0,0.0,55.1,53.6,49.0
STEP,20160501T021000,45.1,46.1,80,0.0,0.1,89,0,987.63,0.0,0.0,0.0,54.9,53.6,49.0
STEP,20160501T021500,44.8,46.0,80,0.3,1.0,58,0,987.57,0.0,0.0,0.0,54.9,53.5,49.1
STEP,20160501T022000,44.9,45.5,82,1.0,1.5,27,0,987.61,0.0,0.0,0.0,54.8,53.6,49.1
STEP,20160501T022500,44.4,45.7,83,1.1,1.5,333,0,987.59,0.0,0.0,0.0,54.7,53.5,49.1
STEP,20160501T023000,44.6,45.8,84,0.8,1.1,349,0,987.57,0.0,0.0,0.0,54.7,53.6,49.1
STEP,20160501T023500,43.9,45.9,85,0.6,1.2,340,0,987.56,0.0,0.0,0.0,54.6,53.5,49.1
STEP,20160501T024000,44.0,45.6,85,0.3,0.9,343,0,987.55,0.0,0.0,0.0,54.4,53.5,49.1
STEP,20160501T024500,44.2,45.1,86,0.4,1.5,273,0,987.6,0.0,0.0,0.0,54.3,53.5,49.1
STEP,20160501T025000,44.2,45.0,86,0.7,1.4,238,0,987.62,0.0,0.0,0.0,54.3,53.5,49.1
STEP,20160501T025500,43.8,44.8,86,0.1,0.4,223,0,987.59,0.0,0.0,0.0,54.2,53.5,49.1
STEP,20160501T030000,43.5,44.9,84,0.0,0.3,100,0,987.57,0.0,0.0,0.0,54.0,53.5,49.1
STEP,20160501T030500,43.4,44.8,83,0.0,0.0,0,0,987.66,0.0,0.0,0.0,53.9,53.4,49.1
STEP,20160501T031000,43.0,44.4,84,0.3,1.0,129,0,987.71,0.0,0.0,0.0,53.9,53.5,49.1
STEP,20160501T031500,43.0,44.3,85,0.0,0.0,0,0,987.74,0.0,0.0,0.0,53.8,53.5,49.2
STEP,20160501T032000,43.4,44.4,85,0.1,1.0,358,0,987.73,0.0,0.0,0.0,53.7,53.4,49.1
STEP,20160501T032500,43.6,44.5,85,0.9,1.2,2,0,987.73,0.0,0.0,0.0,53.6,53.4,49.1
STEP,20160501T033000,43.5,44.9,85,1.5,2.3,41,0,987.7,0.0,0.0,0.0,53.6,53.3,49.2
STEP,20160501T033500,43.6,45.0,85,1.2,2.1,25,0,987.65,0.0,0.0,0.0,53.5,53.4,49.2
STEP,20160501T034000,43.3,44.7,86,0.9,1.5,353,0,987.62,0.0,0.0,0.0,53.4,53.2,49.2
STEP,20160501T034500,43.5,44.4,87,0.9,1.7,269,0,987.65,0.0,0.0,0.0,53.3,53.3,49.2
STEP,20160501T035000,43.4,44.2,87,1.0,1.6,215,0,987.71,0.0,0.0,0.0,53.3,53.3,49.2
STEP,20160501T035500,43.1,43.8,87,0.9,1.4,168,0,987.73,0.0,0.0,0.0,53.1,53.3,49.2
STEP,20160501T040000,42.9,43.7,86,0.3,1.2,177,0,987.73,0.0,0.0,0.0,53.0,53.2,49.3
STEP,20160501T040500,42.5,43.5,86,0.4,0.8,174,0,987.77,0.0,0.0,0.0,52.9,53.2,49.3
STEP,20160501T041000,42.5,43.3,87,0.4,1.0,168,0,987.79,0.0,0.0,0.0,52.9,53.3,49.2
STEP,20160501T041500,42.4,43.1,90,0.0,0.0,0,0,987.76,0.0,0.0,0.0,52.9,53.3,49.2
STEP,20160501T042000,42.4,43.2,89,0.2,1.0,59,0,987.74,0.0,0.0,0.0,52.8,53.2,49.2
STEP,20160501T042500,42.5,43.5,87,0.9,1.5,27,0,987.72,0.0,0.0,0.0,52.8,53.2,49.3
STEP,20160501T043000,42.0,43.7,88,1.2,1.5,6,0,987.71,0.0,0.0,0.0,52.7,53.2,49.3
STEP,20160501T043500,42.1,43.4,89,0.8,1.1,20,0,987.7,0.0,0.0,0.0,52.7,53.2,49.3
STEP,20160501T044000,42.3,43.3,90,1.0,1.3,14,0,987.66,0.0,0.0,0.0,52.5,53.2,49.3
STEP,20160501T044500,42.4,43.2,89,0.6,1.1,349,0,987.66,0.0,0.0,0.0,52.4,53.2,49.3
STEP,20160501T045000,42.1,43.2,89,0.5,1.0,345,0,987.63,0.0,0.0,0.0,52.3,53.0,49.3
STEP,20160501T045500,42.2,43.2,90,1.8,3.1,12,0,987.53,0.0,0.0,0.0,52.3,53.1,49.3
STEP,20160501T050000,42.6,43.2,89,2.7,3.2,21,0,987.44,0.0,0.0,0.0,52.2,53.1,49.3
STEP,20160501T050500,42.8,43.4,88,2.6,3.1,19,0,987.35,0.0,0.0,0.0,52.2,53.0,49.3
STEP,20160501T051000,42.6,43.2,88,2.2,2.7,8,0,987.35,0.0,0.0,0.0,52.2,53.0,49.3
STEP,20160501T051500,42.6,43.1,88,2.0,2.6,5,0,987.37,0.0,0.0,0.0,52.1,53.0,49.3
STEP,20160501T052000,42.8,43.8,88,1.8,2.3,356,0,987.37,0.0,0.0,0.0,52.1,53.0,49.3
STEP,20160501T052500,42.8,43.8,87,1.8,2.2,5,0,987.31,0.0,0.0,0.0,52.0,52.9,49.3
STEP,20160501T053000,42.8,43.5,88,1.6,2.0,348,0,987.3,0.0,0.0,0.0,52.0,52.9,49.3
STEP,20160501T053500,42.9,43.6,88,0.6,1.2,4,0,987.34,0.0,0.0,0.0,52.0,52.9,49.3
STEP,20160501T054000,43.0,43.4,87,0.5,1.1,67,0,987.32,0.0,0.0,0.0,51.9,52.9,49.3
STEP,20160501T054500,43.1,43.4,87,0.4,1.2,5,0,987.32,0.0,0.0,0.0,51.9,52.9,49.3
STEP,20160501T055000,43.0,43.6,86,1.9,2.3,349,0,987.37,0.0,0.0,0.0,51.8,52.9,49.3
STEP,20160501T055500,43.0,43.7,87,1.9,2.1,360,0,987.38,0.0,0.0,0.0,51.7,52.9,49.3
STEP,20160501T060000,43.0,43.4,88,0.9,1.6,360,0,987.4,0.0,0.0,0.0,51.6,52.8,49.3
STEP,20160501T060500,43.3,43.8,87,0.7,1.3,348,0,987.46,0.0,0.0,0.0,51.7,52.8,49.3
STEP,20160501T061000,43.2,43.9,87,1.2,1.8,1,0,987.46,0.0,0.0,0.0,51.5,52.8,49.3
STEP,20160501T061500,43.1,43.4,87,1.8,2.6,355,0,987.46,0.0,0.0,0.0,51.4,52.8,49.3
STEP,20160501T062000,43.0,43.4,89,2.3,2.6,346,0,987.43,0.0,0.0,0.0,51.5,52.8,49.3
STEP,20160501T062500,43.0,43.3,90,1.2,2.2,9,0,987.38,0.0,0.0,0.0,51.4,52.7,49.3
STEP,20160501T063000,43.2,43.4,88,0.3,0.9,50,0,987.32,0.0,0.0,0.0,51.3,52.8,49.3
STEP,20160501T063500,43.2,43.6,88,0.9,1.5,310,0,987.31,0.0,0.0,0.0,51.3,52.6,49.3
STEP,20160501T064000,43.0,43.4,91,2.0,2.8,343,0,987.31,0.0,0.0,0.0,51.3,52.7,49.3
STEP,20160501T064500,43.0,43.7,90,1.8,2.7,347,0,987.29,0.0,0.0,0.0,51.3,52.6,49.3
