station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
STEP,20161001T000000,42.5262,-73.35906,50.9,51.0,0,84.4,992.3,4.0,7.0,16.6,57.0,59.0,59.6,0.0,0.02,0.02
STEP,20161001T000500,42.5262,-73.35906,50.8,50.9,0,84.7,992.3,4.0,5.9,34.6,57.0,59.0,59.7,0.0,0.02,0.0
STEP,20161001T001000,42.5262,-73.35906,50.8,51.0,0,85.2,992.2,3.9,6.7,22.3,56.9,59.0,59.6,0.0,0.02,0.0
STEP,20161001T001500,42.5262,-73.35906,50.9,51.0,0,84.5,992.1,6.1,9.3,11.0,56.9,59.0,59.7,0.0,0.02,0.0
STEP,20161001T002000,42.5262,-73.35906,51.1,51.2,0,83.8,992.1,4.0,7.8,352.0,57.0,59.0,59.7,0.0,0.02,0.0
STEP,20161001T002500,42.5262,-73.35906,51.1,51.2,0,83.5,992.1,4.3,7.7,356.7,57.0,58.9,59.6,0.0,0.02,0.0
STEP,20161001T003000,42.5262,-73.35906,51.1,51.2,0,83.9,992.1,5.0,7.5,349.5,57.0,59.0,59.7,0.0,0.02,0.0
STEP,20161001T003500,42.5262,-73.35906,51.1,51.3,0,83.3,992.2,6.9,11.0,356.2,57.0,58.9,59.6,0.0,0.02,0.0
STEP,20161001T004000,42.5262,-73.35906,51.1,51.2,0,83.3,992.2,5.1,9.2,2.2,57.0,58.9,59.7,0.0,0.02,0.0
STEP,20161001T004500,42.5262,-73.35906,50.9,51.1,0,84.3,992.1,5.8,8.5,360.0,57.0,58.9,59.7,0.0,0.02,0.0
STEP,20161001T005000,42.5262,-73.35906,50.7,50.9,0,85.1,992.1,6.5,9.9,3.4,56.9,59.0,59.7,0.0,0.02,0.0
STEP,20161001T005500,42.5262,-73.35906,50.6,50.7,0,86.4,992.1,6.0,9.5,10.1,57.0,59.0,59.6,0.0,0.02,0.0
STEP,20161001T010000,42.5262,-73.35906,50.6,50.8,0,86.6,992.2,5.4,8.8,18.1,56.9,59.0,59.7,0.0,0.02,0.0
STEP,20161001T010500,42.5262,-73.35906,50.6,50.7,0,86.7,992.0,6.4,12.0,354.5,56.9,58.9,59.6,0.0,0.0,0.0
STEP,20161001T011000,42.5262,-73.35906,50.6,50.8,0,87.0,992.0,6.2,10.1,7.9,57.0,58.9,59.7,0.0,0.0,0.0
STEP,20161001T011500,42.5262,-73.35906,50.6,50.7,0,87.1,992.0,4.1,11.0,13.4,56.9,58.9,59.7,0.0,0.0,0.0
STEP,20161001T012000,42.5262,-73.35906,50.6,50.7,0,87.5,991.9,6.9,12.2,3.2,56.9,58.9,59.7,0.0,0.0,0.0
STEP,20161001T012500,42.5262,-73.35906,50.5,50.6,0,87.8,991.9,6.1,10.8,0.0,56.9,58.9,59.6,0.0,0.0,0.0
STEP,20161001T013000,42.5262,-73.35906,50.5,50.7,0,88.1,991.9,4.6,8.3,355.0,56.9,58.9,59.6,0.0,0.0,0.0
STEP,20161001T013500,42.5262,-73.35906,50.6,50.8,0,87.6,991.8,6.0,10.7,15.3,56.9,58.9,59.6,0.0,0.0,0.0
STEP,20161001T014000,42.5262,-73.35906,50.8,50.9,0,87.3,991.8,5.3,10.5,17.1,56.9,58.9,59.6,0.0,0.0,0.0
STEP,20161001T014500,42.5262,-73.35906,50.9,51.0,0,86.6,991.7,6.7,10.2,349.3,56.9,58.9,59.6,0.0,0.0,0.0
STEP,20161001T015000,42.5262,-73.35906,51.0,51.1,0,86.3,991.6,8.6,14.7,330.0,56.8,58.8,59.7,0.0,0.0,0.0
STEP,20161001T015500,42.5262,-73.35906,51.1,51.3,0,86.0,991.7,8.2,13.7,334.4,56.9,58.9,59.7,0.0,0.01,0.01
STEP,20161001T020000,42.5262,-73.35906,51.4,51.6,0,84.6,991.7,8.2,14.9,323.9,56.9,58.8,59.6,0.0,0.01,0.01
STEP,20161001T020500,42.5262,-73.35906,51.6,51.7,0,84.1,991.7,7.1,14.5,350.3,56.8,58.9,59.6,0.0,0.01,0.01
STEP,20161001T021000,42.5262,-73.35906,51.7,51.9,0,83.5,991.6,6.6,11.6,14.1,56.8,58.8,59.7,0.0,0.01,0.01
STEP,20161001T021500,42.5262,-73.35906,51.8,51.9,0,83.8,991.6,7.8,13.6,341.7,56.8,58.9,59.6,0.0,0.01,0.01
STEP,20161001T022000,42.5262,-73.35906,52.0,52.1,0,83.3,991.5,5.5,10.4,341.9,56.8,58.8,59.7,0.0,0.01,0.01
STEP,20161001T022500,42.5262,-73.35906,52.1,52.2,0,83.0,991.5,7.1,13.1,338.9,56.8,58.8,59.6,0.0,0.01,0.01
STEP,20161001T023000,42.5262,-73.35906,52.1,52.3,0,83.1,991.5,6.2,10.4,342.4,56.8,58.8,59.6,0.0,0.01,0.01
STEP,20161001T023500,42.5262,-73.35906,52.1,52.2,0,82.6,991.5,7.1,12.6,353.6,56.8,58.8,59.6,0.0,0.01,0.01
STEP,20161001T024000,42.5262,-73.35906,52.1,52.2,0,82.4,991.5,7.0,12.1,14.4,56.8,58.8,59.6,0.0,0.01,0.01
STEP,20161001T024500,42.5262,-73.35906,52.2,52.3,0,82.2,991.4,7.2,13.0,9.4,56.7,58.8,59.6,0.0,0.01,0.01
STEP,20161001T025000,42.5262,-73.35906,52.2,52.3,0,82.7,991.4,6.9,14.3,16.1,56.8,58.8,59.7,0.0,0.01,0.01
STEP,20161001T025500,42.5262,-73.35906,52.2,52.3,0,82.6,991.4,4.3,11.0,5.7,56.7,58.8,59.6,0.0,0.01,0.01
STEP,20161001T030000,42.5262,-73.35906,52.2,52.4,0,83.0,991.4,7.9,14.0,25.1,56.7,58.8,59.7,0.0,0.01,0.01
STEP,20161001T030500,42.5262,-73.35906,52.2,52.3,0,83.2,991.4,4.6,11.5,15.8,56.7,58.8,59.7,0.0,0.01,0.01
STEP,20161001T031000,42.5262,-73.35906,52.2,52.4,0,83.0,991.4,6.5,11.8,29.9,56.7,58.8,59.6,0.0,0.01,0.01
STEP,20161001T031500,42.5262,-73.35906,52.2,52.3,0,82.7,991.4,5.5,9.8,46.6,56.7,58.8,59.6,0.0,0.01,0.01
STEP,20161001T032000,42.5262,-73.35906,52.1,52.3,0,82.9,991.4,4.9,12.9,53.7,56.7,58.8,59.7,0.0,0.01,0.01
STEP,20161001T032500,42.5262,-73.35906,52.2,52.3,0,82.4,991.4,6.4,11.0,45.9,56.7,58.8,59.6,0.0,0.01,0.01
STEP,20161001T033000,42.5262,-73.35906,52.1,52.2,0,82.8,991.4,4.4,7.9,44.5,56.6,58.8,59.6,0.0,0.01,0.01
STEP,20161001T033500,42.5262,-73.35906,52.1,52.2,0,83.0,991.3,3.8,8.2,30.1,56.7,58.8,59.7,0.0,0.01,0.01
STEP,20161001T034000,42.5262,-73.35906,52.1,52.1,0,83.4,991.3,2.8,7.9,49.0,56.6,58.8,59.6,0.0,0.01,0.01
STEP,20161001T034500,42.5262,-73.35906,52.0,52.1,0,83.7,991.2,4.1,10.7,67.0,56.6,58.8,59.6,0.0,0.01,0.01
STEP,20161001T035000,42.5262,-73.35906,52.1,52.2,0,83.3,991.1,4.6,8.3,18.3,56.6,58.8,59.7,0.0,0.01,0.01
STEP,20161001T035500,42.5262,-73.35906,52.1,52.2,0,83.5,991.2,2.4,5.7,27.2,56.6,58.8,59.7,0.0,0.01,0.01
STEP,20161001T040000,42.5262,-73.35906,52.2,52.3,0,83.2,991.1,2.7,4.7,42.9,56.6,58.8,59.7,0.0,0.01,0.01
STEP,20161001T040500,42.5262,-73.35906,52.2,52.3,0,83.7,991.0,3.7,6.4,33.3,56.6,58.8,59.6,0.0,0.01,0.01
STEP,20161001T041000,42.5262,-73.35906,52.3,52.4,0,83.5,991.0,3.7,6.9,64.0,56.5,58.8,59.5,0.0,0.01,0.01
STEP,20161001T041500,42.5262,-73.35906,52.4,52.5,0,83.3,991.0,2.8,5.8,25.9,56.6,58.8,59.7,0.0,0.01,0.01
STEP,20161001T042000,42.5262,-73.35906,52.5,52.5,0,82.9,990.9,2.5,5.4,16.1,56.6,58.8,59.7,0.0,0.01,0.01
STEP,20161001T042500,42.5262,-73.35906,52.3,52.4,0,83.4,990.9,4.6,7.9,38.0,56.6,58.7,59.6,0.0,0.01,0.01
STEP,20161001T043000,42.5262,-73.35906,52.3,52.4,0,83.7,990.9,6.7,9.7,34.9,56.6,58.8,59.7,0.0,0.01,0.01
STEP,20161001T043500,42.5262,-73.35906,52.2,52.3,0,84.3,990.9,5.9,9.6,35.5,56.6,58.7,59.6,0.0,0.01,0.01
STEP,20161001T044000,42.5262,-73.35906,52.1,52.2,0,84.6,990.9,5.6,12.6,29.6,56.6,58.7,59.6,0.0,0.01,0.01
STEP,20161001T044500,42.5262,-73.35906,52.2,52.4,0,84.5,990.8,6.4,9.4,12.4,56.5,58.8,59.7,0.0,0.01,0.01
STEP,20161001T045000,42.5262,-73.35906,52.3,52.4,0,84.0,990.9,5.1,8.5,20.8,56.6,58.7,59.7,0.0,0.01,0.01
STEP,20161001T045500,42.5262,-73.35906,52.4,52.5,0,83.7,991.0,5.2,9.7,24.1,56.6,58.7,59.6,0.0,0.01,0.01
STEP,20161001T050000,42.5262,-73.35906,52.5,52.6,0,83.2,991.0,6.3,13.2,19.5,56.5,58.7,59.6,0.0,0.01,0.01
STEP,20161001T050500,42.5262,-73.35906,52.5,52.6,0,83.1,991.0,5.7,9.2,27.1,56.5,58.7,59.7,0.0,0.01,0.01
STEP,20161001T051000,42.5262,-73.35906,52.5,52.6,0,83.1,991.0,6.8,11.9,25.8,56.5,58.7,59.7,0.0,0.01,0.01
STEP,20161001T051500,42.5262,-73.35906,52.5,52.6,0,83.4,991.0,4.6,8.8,17.4,56.6,58.6,59.6,0.0,0.01,0.01
STEP,20161001T052000,42.5262,-73.35906,52.6,52.7,0,82.8,991.1,5.7,9.4,18.8,56.5,58.6,59.6,0.0,0.01,0.01
STEP,20161001T052500,42.5262,-73.35906,52.6,52.7,0,82.8,991.1,5.4,9.4,30.3,56.6,58.7,59.6,0.0,0.01,0.01
STEP,20161001T053000,42.5262,-73.35906,52.6,52.7,0,82.8,991.1,5.2,7.5,32.8,56.5,58.7,59.6,0.0,0.01,0.01
STEP,20161001T053500,42.5262,-73.35906,52.7,52.8,0,82.7,991.0,5.7,9.9,35.2,56.5,58.6,59.7,0.0,0.01,0.01
STEP,20161001T054000,42.5262,-73.35906,52.6,52.7,0,82.4,991.1,6.2,12.1,31.6,56.5,58.6,59.6,0.0,0.01,0.01
STEP,20161001T054500,42.5262,-73.35906,52.5,52.6,0,82.9,991.1,5.9,8.8,39.9,56.5,58.6,59.7,0.0,0.01,0.01
STEP,20161001T055000,42.5262,-73.35906,52.6,52.7,0,82.8,991.1,5.5,9.3,32.4,56.5,58.6,59.6,0.0,0.01,0.01
STEP,20161001T055500,42.5262,-73.35906,52.6,52.7,0,82.9,991.1,4.4,8.8,28.4,56.5,58.5,59.6,0.0,0.01,0.01
STEP,20161001T060000,42.5262,-73.35906,52.7,52.8,0,82.7,991.0,6.3,10.8,6.2,56.4,58.5,59.7,0.0,0.01,0.01
STEP,20161001T060500,42.5262,-73.35906,52.7,52.8,0,82.9,990.8,8.1,11.4,9.6,56.5,58.5,59.6,0.0,0.01,0.01
STEP,20161001T061000,42.5262,-73.35906,52.7,52.8,0,82.9,990.8,8.1,13.4,22.8,56.4,58.5,59.7,0.0,0.01,0.01
STEP,20161001T061500,42.5262,-73.35906,52.8,52.9,0,82.5,990.8,7.7,11.8,18.7,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T062000,42.5262,-73.35906,52.9,53.0,0,82.7,990.8,7.5,9.9,6.8,56.5,58.6,59.6,0.0,0.01,0.01
STEP,20161001T062500,42.5262,-73.35906,53.1,53.2,0,82.1,990.8,7.8,12.9,14.7,56.5,58.5,59.6,0.0,0.01,0.01
STEP,20161001T063000,42.5262,-73.35906,53.2,53.3,0,81.9,990.7,7.5,14.2,24.2,56.5,58.5,59.6,0.0,0.01,0.01
STEP,20161001T063500,42.5262,-73.35906,53.5,53.6,0,80.8,990.7,6.2,11.8,34.2,56.5,58.5,59.6,0.0,0.01,0.01
STEP,20161001T064000,42.5262,-73.35906,53.5,53.5,0,80.8,990.6,7.3,14.2,20.7,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T064500,42.5262,-73.35906,53.7,53.7,0,79.9,990.5,10.8,19.6,48.0,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T065000,42.5262,-73.35906,53.7,53.8,1,79.8,990.5,10.1,20.7,44.1,56.4,58.5,59.5,0.0,0.01,0.01
STEP,20161001T065500,42.5262,-73.35906,53.7,53.8,2,79.8,990.3,12.0,20.3,38.4,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T070000,42.5262,-73.35906,53.6,53.7,3,79.9,990.2,12.3,21.5,43.4,56.5,58.5,59.5,0.0,0.01,0.01
STEP,20161001T070500,42.5262,-73.35906,53.6,53.7,9,79.8,990.2,11.6,22.7,37.9,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T071000,42.5262,-73.35906,53.6,53.6,19,79.4,990.3,10.2,19.9,42.7,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T071500,42.5262,-73.35906,53.6,53.6,24,79.8,990.2,10.7,18.9,45.6,56.4,58.5,59.6,0.0,0.01,0.01
STEP,20161001T072000,42.5262,-73.35906,53.7,53.7,27,79.5,990.2,11.0,23.2,42.7,56.3,58.4,59.6,0.0,0.01,0.01
STEP,20161001T072500,42.5262,-73.35906,53.7,53.7,33,79.4,990.2,13.0,22.4,43.5,56.4,58.4,59.6,0.0,0.01,0.01
STEP,20161001T073000,42.5262,-73.35906,53.7,53.7,45,79.2,990.3,11.4,20.5,39.8,56.4,58.5,59.6,0.0,0.01,0.01
