station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
WATE,20151104T164000,71.8,70.6,42,5.7,10.2,157,540,1006.77,,,,,,
WATE,20151104T164500,71.7,70.5,41,8.3,13.0,155,541,1006.69,,,,,,
WATE,20151104T165000,71.9,70.6,41,7.3,11.9,157,542,1006.61,,,,,,
WATE,20151104T165500,72.0,70.7,40,7.5,11.8,152,541,1006.52,,,,,,
WATE,20151104T170000,72.1,70.9,41,7.0,11.9,156,541,1006.46,,,,,,
WATE,20151104T170500,72.4,71.2,40,7.2,11.8,150,540,1006.41,,,,,,
WATE,20151104T171000,73.0,71.8,39,8.2,12.3,151,539,1006.33,,,,,,
WATE,20151104T171500,73.9,72.6,37,9.0,13.5,167,537,1006.21,,,,,,
WATE,20151104T172000,74.4,73.1,35,8.1,13.9,170,535,1006.07,,,,,,
WATE,20151104T172500,74.6,73.3,35,8.3,14.3,162,533,1005.94,,,,,,
WATE,20151104T173000,74.9,73.8,35,8.3,12.0,154,530,1005.82,,,,,,
WATE,20151104T173500,75.4,74.4,35,7.6,11.5,154,527,1005.72,,,,,,
WATE,20151104T174000,76.5,75.5,31,10.3,15.1,178,524,1005.65,,,,,,
WATE,20151104T174500,76.6,75.7,29,11.5,16.7,171,521,1005.58,,,,,,
WATE,20151104T175000,77.0,76.0,28,11.4,17.5,185,517,1005.51,,,,,,
WATE,20151104T175500,77.3,76.3,28,12.6,18.9,188,513,1005.46,,,,,,
WATE,20151104T180000,77.1,76.1,28,12.5,18.9,195,508,1005.39,,,,,,
WATE,20151104T180500,77.3,76.3,28,11.4,16.7,196,502,1005.32,,,,,,
WATE,20151104T181000,77.2,76.4,28,13.3,16.9,188,496,1005.27,,,,,,
WATE,20151104T181500,77.5,76.6,28,11.4,17.8,191,490,1005.24,,,,,,
WATE,20151104T182000,77.6,76.7,27,11.7,17.1,188,484,1005.22,,,,,,
WATE,20151104T182500,78.0,77.0,27,10.2,17.2,194,477,1005.17,,,,,,
WATE,20151104T183000,78.3,77.5,27,8.5,14.5,186,469,1005.13,,,,,,
WATE,20151104T183500,78.2,77.4,26,9.5,16.5,190,462,1005.08,,,,,,
WATE,20151104T184000,78.3,77.4,27,8.9,14.3,197,454,1005.04,,,,,,
WATE,20151104T184500,78.4,77.5,26,9.4,14.8,192,445,1005.0,,,,,,
WATE,20151104T185000,78.3,77.4,26,10.6,16.0,195,437,1004.94,,,,,,
WATE,20151104T185500,78.5,77.7,26,8.0,17.3,200,428,1004.9,,,,,,
WATE,20151104T190000,78.5,77.8,26,9.3,15.5,191,419,1004.89,,,,,,
WATE,20151104T190500,78.7,77.9,26,8.4,13.4,179,408,1004.86,,,,,,
WATE,20151104T191000,78.7,77.9,26,8.5,14.7,177,398,1004.83,,,,,,
WATE,20151104T191500,78.5,77.7,26,10.7,15.4,172,388,1004.82,,,,,,
WATE,20151104T192000,78.4,77.7,26,10.1,15.9,179,378,1004.78,,,,,,
WATE,20151104T192500,78.2,77.6,26,10.5,14.8,181,367,1004.74,,,,,,
WATE,20151104T193000,78.6,78.0,26,7.1,10.4,187,355,1004.7,,,,,,
WATE,20151104T193500,78.7,78.2,26,8.4,12.9,184,344,1004.7,,,,,,
WATE,20151104T194000,79.1,78.5,26,6.6,10.6,179,333,1004.68,,,,,,
WATE,20151104T194500,78.7,78.2,26,9.0,14.0,172,321,1004.65,,,,,,
WATE,20151104T195000,78.6,78.1,26,7.7,13.5,178,309,1004.59,,,,,,
WATE,20151104T195500,78.8,78.3,26,8.4,13.2,175,297,1004.54,,,,,,
WATE,20151104T200000,78.6,78.3,26,6.4,10.8,172,285,1004.51,,,,,,
WATE,20151104T200500,78.7,78.4,27,6.9,10.7,174,272,1004.48,,,,,,
WATE,20151104T201000,78.5,78.2,27,7.8,11.0,177,260,1004.43,,,,,,
WATE,20151104T201500,78.5,78.2,26,7.6,13.4,174,247,1004.39,,,,,,
WATE,20151104T202000,78.3,78.1,26,7.4,12.6,178,235,1004.37,,,,,,
WATE,20151104T202500,78.3,78.2,27,7.0,11.0,168,221,1004.38,,,,,,
WATE,20151104T203000,77.8,77.8,27,7.5,11.4,158,209,1004.39,,,,,,
WATE,20151104T203500,77.5,77.5,29,5.8,10.1,152,196,1004.36,,,,,,
WATE,20151104T204000,76.8,76.8,30,5.2,6.7,140,183,1004.32,,,,,,
WATE,20151104T204500,76.3,76.4,30,5.4,7.3,139,170,1004.29,,,,,,
WATE,20151104T205000,75.7,75.9,31,5.4,8.1,139,157,1004.26,,,,,,
WATE,20151104T205500,75.2,75.3,32,6.2,9.1,140,144,1004.25,,,,,,
WATE,20151104T210000,74.7,75.1,32,5.6,7.5,140,132,1004.2,,,,,,
WATE,20151104T210500,74.3,74.7,32,5.7,7.5,141,119,1004.17,,,,,,
WATE,20151104T211000,73.8,74.5,33,5.5,7.4,148,104,1004.16,,,,,,
WATE,20151104T211500,73.5,74.6,33,5.4,7.5,153,88,1004.14,,,,,,
WATE,20151104T212000,73.5,74.6,33,5.5,7.2,157,73,1004.13,,,,,,
WATE,20151104T212500,73.3,74.5,33,6.0,9.4,160,58,1004.13,,,,,,
WATE,20151104T213000,73.2,74.5,33,6.0,8.4,159,45,1004.13,,,,,,
WATE,20151104T213500,72.7,74.1,34,5.4,7.7,161,29,1004.14,,,,,,
WATE,20151104T214000,72.1,73.8,34,5.8,10.8,167,15,1004.15,,,,,,
WATE,20151104T214500,72.0,73.7,34,7.0,10.4,169,11,1004.13,,,,,,
WATE,20151104T215000,72.2,73.7,34,7.3,10.5,166,8,1004.14,,,,,,
