station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
WATE,20161201T000000,42.87966,-76.81255,50.9,50.9,0,89.7,980.1,13.5,19.9,268.3,48.5,46.8,46.8,0.02,0.44,0.41
WATE,20161201T000500,42.87966,-76.81255,50.8,50.8,0,89.9,980.1,13.5,21.3,267.2,48.5,46.8,46.8,0.02,0.02,0.42
WATE,20161201T001000,42.87966,-76.81255,50.8,50.8,0,89.2,980.1,14.5,21.3,268.2,48.5,46.8,46.8,0.01,0.03,0.44
WATE,20161201T001500,42.87966,-76.81255,50.7,50.7,0,88.9,980.1,13.2,21.8,271.8,48.6,46.8,46.8,0.01,0.04,0.45
WATE,20161201T002000,42.87966,-76.81255,50.6,50.6,0,89.2,980.2,10.3,16.7,275.4,48.6,46.8,46.8,0.0,0.05,0.45
WATE,20161201T002500,42.87966,-76.81255,50.4,50.4,0,90.0,980.5,10.5,16.0,272.1,48.6,46.8,46.8,0.0,0.05,0.46
WATE,20161201T003000,42.87966,-76.81255,50.4,50.4,0,89.0,980.6,12.1,19.8,276.1,48.6,46.8,46.8,0.01,0.06,0.47
WATE,20161201T003500,42.87966,-76.81255,50.3,50.3,0,88.9,980.7,13.0,21.0,275.8,48.6,46.8,46.8,0.01,0.07,0.47
WATE,20161201T004000,42.87966,-76.81255,50.2,50.1,0,89.5,980.9,12.4,19.7,272.5,48.6,46.8,46.8,0.0,0.07,0.48
WATE,20161201T004500,42.87966,-76.81255,50.1,50.1,0,89.1,981.2,13.2,20.2,271.3,48.6,46.8,46.8,0.01,0.08,0.49
WATE,20161201T005000,42.87966,-76.81255,50.0,50.0,0,88.7,981.5,15.4,21.6,275.9,48.6,46.8,46.8,0.0,0.08,0.49
WATE,20161201T005500,42.87966,-76.81255,49.9,49.9,0,87.5,981.7,13.9,20.9,272.1,48.6,46.8,46.8,0.01,0.09,0.5
WATE,20161201T010000,42.87966,-76.81255,49.7,49.7,0,88.4,981.9,11.6,18.6,273.6,48.5,46.8,46.8,0.01,0.1,0.51
WATE,20161201T010500,42.87966,-76.81255,49.5,49.5,0,89.0,981.9,11.1,18.9,277.7,48.5,46.8,46.8,0.01,0.11,0.52
WATE,20161201T011000,42.87966,-76.81255,49.4,49.4,0,89.3,982.0,11.1,17.6,276.0,48.5,46.8,46.8,0.01,0.12,0.53
WATE,20161201T011500,42.87966,-76.81255,49.3,49.3,0,89.6,982.0,9.0,14.7,274.4,48.5,46.8,46.8,0.01,0.13,0.54
WATE,20161201T012000,42.87966,-76.81255,49.3,49.3,0,88.0,982.0,8.8,15.1,268.7,48.5,46.8,46.8,0.01,0.14,0.55
WATE,20161201T012500,42.87966,-76.81255,49.3,49.4,0,85.6,981.9,11.0,19.0,273.2,48.4,46.8,46.8,0.0,0.14,0.55
WATE,20161201T013000,42.87966,-76.81255,49.2,49.3,0,84.4,981.7,7.1,12.6,277.0,48.4,46.8,46.8,0.0,0.14,0.55
WATE,20161201T013500,42.87966,-76.81255,49.1,49.1,0,84.9,981.6,7.0,12.4,270.2,48.4,46.8,46.8,0.0,0.14,0.55
WATE,20161201T014000,42.87966,-76.81255,48.8,48.9,0,85.4,981.6,3.7,6.1,247.7,48.4,46.8,46.8,0.0,0.14,0.55
