station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
WEST,20161201T000000,43.10647,-75.46146,50.4,50.7,0,88.7,971.7,11.5,19.3,98.0,45.3,44.3,44.6,0.0,0.03,0.0
WEST,20161201T000500,43.10647,-75.46146,50.7,51.1,0,87.6,971.7,9.9,15.1,102.4,45.3,44.4,44.6,0.0,0.0,0.0
WEST,20161201T001000,43.10647,-75.46146,50.8,51.2,0,87.4,971.7,9.1,14.2,107.7,45.3,44.4,44.6,0.0,0.0,0.0
WEST,20161201T001500,43.10647,-75.46146,51.1,51.4,0,86.3,971.3,9.6,14.5,107.6,45.3,44.4,44.6,0.0,0.0,0.0
WEST,20161201T002000,43.10647,-75.46146,51.1,51.4,0,85.9,971.2,9.0,15.0,107.1,45.3,44.4,44.6,0.0,0.0,0.0
WEST,20161201T002500,43.10647,-75.46146,50.6,50.9,0,86.8,971.1,7.5,13.5,108.9,45.4,44.4,44.6,0.0,0.0,0.0
WEST,20161201T003000,43.10647,-75.46146,50.4,50.6,0,87.6,970.9,6.8,10.7,106.1,45.4,44.4,44.6,0.0,0.0,0.0
WEST,20161201T003500,43.10647,-75.46146,50.3,50.6,0,87.6,970.8,6.9,11.1,101.5,45.4,44.4,44.6,0.0,0.0,0.0
WEST,20161201T004000,43.10647,-75.46146,50.2,50.6,0,87.8,970.5,8.0,10.9,100.4,45.5,44.4,44.6,0.0,0.0,0.0
WEST,20161201T004500,43.10647,-75.46146,50.4,50.7,0,87.5,970.2,6.2,11.3,116.7,45.4,44.4,44.6,0.0,0.0,0.0
WEST,20161201T005000,43.10647,-75.46146,50.7,51.1,0,87.2,970.2,5.2,12.9,126.2,45.5,44.4,44.6,0.0,0.0,0.0
