station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
WOLC,20160701T000000,71.5,71.2,47,1.7,2.7,338,142,1000.77,0.0,0.0,0.0,,,
WOLC,20160701T000500,70.8,70.9,50,1.7,2.3,352,119,1000.75,0.0,0.0,0.0,,,
WOLC,20160701T001000,70.4,70.4,53,1.1,1.9,5,72,1000.74,0.0,0.0,0.0,,,
WOLC,20160701T001500,69.3,70.2,58,0.6,2.0,352,42,1000.77,0.0,0.0,0.0,,,
WOLC,20160701T002000,69.6,70.1,58,0.6,1.3,45,35,1000.84,0.0,0.0,0.0,,,
WOLC,20160701T002500,68.0,69.9,59,0.9,1.5,344,28,1000.93,0.0,0.0,0.0,,,
WOLC,20160701T003000,67.3,69.6,61,1.5,1.9,351,22,1000.91,0.0,0.0,0.0,,,
WOLC,20160701T003500,66.7,69.0,62,1.7,2.4,345,17,1000.89,0.0,0.0,0.0,,,
WOLC,20160701T004000,65.9,69.1,65,2.1,3.1,350,13,1000.88,0.0,0.0,0.0,,,
WOLC,20160701T004500,65.3,68.1,67,1.0,2.3,12,9,1000.92,0.0,0.0,0.0,,,
WOLC,20160701T005000,65.5,68.2,67,0.9,1.3,24,7,1000.97,0.0,0.0,0.0,,,
WOLC,20160701T005500,64.6,66.8,69,0.7,1.1,354,4,1000.98,0.0,0.0,0.0,,,
WOLC,20160701T010000,63.5,66.4,69,0.8,1.6,35,3,1000.92,0.0,0.0,0.0,,,
WOLC,20160701T010500,63.7,65.2,70,0.8,1.2,305,1,1000.98,0.0,0.0,0.0,,,
WOLC,20160701T011000,63.4,65.5,70,1.0,1.7,289,1,1001.03,0.0,0.0,0.0,,,
WOLC,20160701T011500,63.3,66.1,71,1.7,2.0,317,0,1001.02,0.0,0.0,0.0,,,
WOLC,20160701T012000,62.9,65.0,71,0.8,1.9,335,0,1001.06,0.0,0.0,0.0,,,
WOLC,20160701T012500,62.6,65.3,73,0.1,0.6,52,0,1001.1,0.0,0.0,0.0,,,
