station,datetime,temp_2m [degF],temp_9m [degF],rh [%],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],solar_radiation [W/m^2],station_pressure [mbar],precip_5min [inch],precip_est [inch],precip_edt [inch],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF]
YORK,20160809T175500,89.2,87.5,29,5.6,11.5,175,854,997.68,,,,96.3,91.6,86.4
YORK,20160809T180000,87.9,87.0,27,4.8,11.1,191,890,997.64,,,,96.3,91.6,86.3
YORK,20160809T180500,88.5,87.3,28,4.6,8.2,186,850,997.58,,,,96.3,91.3,86.2
YORK,20160809T181000,89.0,87.7,32,4.3,7.9,168,898,997.52,,,,96.5,91.3,85.9
YORK,20160809T181500,88.8,87.7,28,6.4,12.4,173,775,997.47,,,,96.8,91.1,85.5
YORK,20160809T182000,88.4,87.4,28,8.6,13.9,182,813,997.44,,,,97.0,91.0,85.3
YORK,20160809T182500,89.0,87.8,29,6.7,10.9,159,843,997.39,,,,97.2,90.9,85.1
YORK,20160809T183000,88.8,87.3,28,3.0,8.0,178,837,997.34,,,,97.4,90.9,84.9
YORK,20160809T183500,89.0,87.8,29,4.8,11.0,202,884,997.25,,,,97.6,90.9,84.7
YORK,20160809T184000,89.8,88.6,30,5.2,10.4,144,806,997.16,,,,97.7,90.8,84.4
YORK,20160809T184500,89.9,88.5,29,3.4,8.8,144,781,997.1,,,,97.7,90.7,84.2
YORK,20160809T185000,89.3,88.2,29,7.4,12.9,182,738,997.03,,,,98.0,90.7,84.1
YORK,20160809T185500,89.2,88.2,30,5.6,9.8,162,714,996.98,,,,98.3,90.6,84.0
YORK,20160809T190000,89.3,88.3,30,5.0,10.1,189,605,996.85,,,,98.4,90.5,83.9
YORK,20160809T190500,89.0,88.2,31,6.4,11.4,184,690,996.84,,,,98.6,90.5,83.6
YORK,20160809T191000,89.4,88.4,,5.9,11.7,172,704,996.81,,,,98.8,90.4,83.5
YORK,20160809T191500,89.7,88.6,,5.7,9.0,201,733,996.74,,,,99.0,90.4,83.4
YORK,20160809T192000,89.8,88.7,32,8.0,13.7,156,654,996.68,,,,99.2,90.4,83.1
YORK,20160809T192500,89.4,88.5,32,5.7,10.1,165,734,996.62,,,,99.3,90.3,83.0
YORK,20160809T193000,89.6,88.7,33,5.5,12.0,179,698,996.56,,,,99.3,90.3,82.9
YORK,20160809T193500,90.0,88.8,33,6.8,12.3,158,665,996.56,,,,99.3,90.3,82.9
YORK,20160809T194000,89.9,88.8,33,3.9,9.1,144,757,996.54,,,,99.3,90.3,82.6
