station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
COBL,20170601T000000,42.67627,-74.50797,52.6,56.9,0,90.9,974.2,2.3,4.1,320.2,58.0,56.4,54.9,0.0,0.14,0.14
COBL,20170601T000500,42.67627,-74.50797,52.7,57.0,0,89.7,974.2,1.5,2.6,24.6,58.0,56.4,55.0,0.0,0.14,0.0
COBL,20170601T001000,42.67627,-74.50797,51.9,55.7,0,90.7,974.2,1.5,3.7,355.6,58.0,56.5,54.9,0.0,0.14,0.0
COBL,20170601T001500,42.67627,-74.50797,51.9,54.5,0,92.7,974.2,2.0,2.9,0.7,58.0,56.5,55.0,0.0,0.14,0.0
COBL,20170601T002000,42.67627,-74.50797,51.8,54.9,0,92.4,974.2,1.9,3.0,3.5,58.0,56.4,55.0,0.0,0.14,0.0
COBL,20170601T002500,42.67627,-74.50797,52.0,53.8,0,92.8,974.2,1.1,2.9,338.0,58.0,56.5,55.0,0.0,0.14,0.0
COBL,20170601T003000,42.67627,-74.50797,52.4,54.3,0,92.4,974.2,0.3,1.8,336.0,58.0,56.5,55.0,0.0,0.14,0.0
COBL,20170601T003500,42.67627,-74.50797,51.9,53.9,0,91.7,974.2,1.5,3.2,309.3,58.0,56.4,55.0,0.0,0.14,0.0
COBL,20170601T004000,42.67627,-74.50797,52.0,54.1,0,93.3,974.3,1.4,2.6,319.8,57.9,56.5,55.0,0.0,0.14,0.0
COBL,20170601T004500,42.67627,-74.50797,51.7,54.9,0,92.7,974.2,2.9,4.2,315.7,58.0,56.5,55.0,0.0,0.14,0.0
COBL,20170601T005000,42.67627,-74.50797,51.7,56.7,0,92.6,974.3,2.6,3.9,320.3,58.0,56.5,55.0,0.0,0.14,0.0
COBL,20170601T005500,42.67627,-74.50797,52.4,57.5,0,91.0,974.3,2.8,4.4,317.8,57.9,56.5,55.0,0.0,0.14,0.0
COBL,20170601T010000,42.67627,-74.50797,51.6,56.4,0,88.7,974.2,1.7,3.1,323.1,57.9,56.5,55.0,0.0,0.14,0.0
COBL,20170601T010500,42.67627,-74.50797,51.6,53.9,0,91.3,974.3,0.8,2.3,280.7,57.9,56.5,55.0,0.0,0.0,0.0
COBL,20170601T011000,42.67627,-74.50797,51.1,54.2,0,92.7,974.3,0.9,2.5,332.3,57.9,56.5,55.0,0.0,0.0,0.0
COBL,20170601T011500,42.67627,-74.50797,51.7,54.3,0,91.5,974.3,1.1,2.0,352.1,57.8,56.5,55.0,0.0,0.0,0.0
COBL,20170601T012000,42.67627,-74.50797,51.3,54.5,0,91.5,974.3,1.2,1.8,331.9,57.8,56.6,55.0,0.0,0.0,0.0
COBL,20170601T012500,42.67627,-74.50797,51.7,55.0,0,92.2,974.3,1.4,3.4,312.9,57.8,56.5,55.0,0.0,0.0,0.0
COBL,20170601T013000,42.67627,-74.50797,51.6,54.4,0,89.5,974.3,0.6,2.1,268.9,57.8,56.6,55.0,0.0,0.0,0.0
COBL,20170601T013500,42.67627,-74.50797,51.6,53.9,0,91.8,974.4,0.9,1.8,256.5,57.7,56.5,55.0,0.0,0.0,0.0
COBL,20170601T014000,42.67627,-74.50797,51.8,53.9,0,91.0,974.4,0.7,2.1,289.1,57.7,56.5,55.0,0.0,0.0,0.0
COBL,20170601T014500,42.67627,-74.50797,51.4,54.4,0,92.0,974.3,0.8,2.3,291.6,57.6,56.5,55.0,0.0,0.0,0.0
COBL,20170601T015000,42.67627,-74.50797,52.2,54.2,0,90.4,974.3,0.8,2.3,271.3,57.6,56.5,55.0,0.0,0.0,0.0
COBL,20170601T015500,42.67627,-74.50797,52.0,54.4,0,89.2,974.4,2.0,3.8,271.6,57.5,56.5,55.0,0.0,0.0,0.0
COBL,20170601T020000,42.67627,-74.50797,51.6,53.7,0,91.8,974.5,2.5,3.7,235.4,57.4,56.5,55.0,0.0,0.0,0.0
COBL,20170601T020500,42.67627,-74.50797,52.0,53.6,0,91.0,974.5,2.7,3.7,246.7,57.5,56.5,55.0,0.0,0.0,0.0
COBL,20170601T021000,42.67627,-74.50797,51.8,53.5,0,90.7,974.4,2.4,3.9,259.3,57.4,56.6,55.0,0.0,0.0,0.0
COBL,20170601T021500,42.67627,-74.50797,51.2,53.1,0,91.6,974.4,2.0,3.4,243.6,57.5,56.5,55.0,0.0,0.0,0.0
COBL,20170601T022000,42.67627,-74.50797,51.7,52.8,0,92.6,974.4,1.8,2.6,254.4,57.4,56.5,55.0,0.0,0.0,0.0
COBL,20170601T022500,42.67627,-74.50797,51.5,52.9,0,92.1,974.4,2.6,3.9,231.8,57.4,56.4,55.0,0.0,0.0,0.0
COBL,20170601T023000,42.67627,-74.50797,51.2,52.9,0,92.3,974.4,3.2,4.2,248.0,57.4,56.5,55.0,0.0,0.0,0.0
