station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
COLD,20161201T000000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T000500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T001000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T001500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T002000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T002500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T003000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T003500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T004000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T004500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T005000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T005500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T010000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T010500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T011000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T011500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T012000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T012500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T013000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T013500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T014000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T014500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T015000,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T015500,43.26127,-74.97878,,,,,,,,,,,,,,
COLD,20161201T020000,43.26127,-74.97878,,,,,,,,,,,,,,
