station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
CSQR,20160901T000000,43.32613,-76.10445,67.2,67.9,0,97.5,995.5,7.8,11.5,326.2,67.5,67.7,66.8,0.0,0.04,0.04
CSQR,20160901T000500,43.32613,-76.10445,67.4,67.8,0,89.3,995.4,4.9,9.1,326.1,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T001000,43.32613,-76.10445,67.0,67.3,0,87.3,995.4,3.0,8.5,337.4,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T001500,43.32613,-76.10445,66.7,67.0,0,87.4,995.4,3.1,5.6,332.3,67.4,67.8,66.8,0.0,0.04,0.0
CSQR,20160901T002000,43.32613,-76.10445,66.6,66.8,0,87.2,995.5,3.1,6.4,330.2,67.4,67.7,66.9,0.0,0.04,0.0
CSQR,20160901T002500,43.32613,-76.10445,66.5,66.8,0,86.6,995.5,2.8,5.3,335.7,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T003000,43.32613,-76.10445,66.3,66.5,0,86.8,995.6,2.5,5.1,327.8,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T003500,43.32613,-76.10445,66.2,66.4,0,87.0,995.6,1.8,4.1,324.2,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T004000,43.32613,-76.10445,66.2,66.2,0,86.4,995.7,2.4,4.7,325.2,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T004500,43.32613,-76.10445,65.8,66.1,0,86.8,995.8,2.2,3.4,322.8,67.4,67.7,66.8,0.0,0.04,0.0
CSQR,20160901T005000,43.32613,-76.10445,65.6,65.9,0,87.5,995.8,1.3,2.8,316.7,67.4,67.8,66.8,0.0,0.04,0.0
CSQR,20160901T005500,43.32613,-76.10445,65.6,65.7,0,88.0,995.8,1.9,3.3,319.2,67.3,67.8,66.8,0.0,0.04,0.0
CSQR,20160901T010000,43.32613,-76.10445,65.5,65.6,0,88.0,995.8,2.4,4.2,321.1,67.4,67.7,66.9,0.0,0.04,0.0
CSQR,20160901T010500,43.32613,-76.10445,65.4,65.6,0,88.1,995.8,1.8,4.3,322.1,67.3,67.6,66.8,0.0,0.0,0.0
