station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
JORD,20161101T000000,43.0698,-76.47006,29.3,31.1,0,98.0,1009.8,1.9,2.8,84.8,49.5,52.3,53.6,0.0,0.03,0.03
JORD,20161101T000500,43.0698,-76.47006,28.9,31.4,0,97.9,1009.7,2.8,3.4,97.0,49.5,52.3,53.6,0.0,0.03,0.0
JORD,20161101T001000,43.0698,-76.47006,29.2,31.7,0,98.0,1009.7,3.4,3.9,97.4,49.4,52.3,53.6,0.0,0.03,0.0
JORD,20161101T001500,43.0698,-76.47006,29.1,32.0,0,97.9,1009.6,3.5,3.9,97.6,49.4,52.3,53.6,0.0,0.03,0.0
JORD,20161101T002000,43.0698,-76.47006,28.7,32.0,0,97.8,1009.5,3.0,3.7,88.6,49.4,52.3,53.5,0.0,0.03,0.0
JORD,20161101T002500,43.0698,-76.47006,28.5,31.1,0,97.8,1009.5,1.9,3.0,83.5,49.3,52.3,53.6,0.0,0.03,0.0
JORD,20161101T003000,43.0698,-76.47006,29.2,30.8,0,98.0,1009.5,0.8,1.3,72.4,49.3,52.3,53.6,0.0,0.03,0.0
JORD,20161101T003500,43.0698,-76.47006,29.3,30.9,0,98.0,1009.5,1.3,1.9,60.0,49.3,52.3,53.6,0.0,0.03,0.0
JORD,20161101T004000,43.0698,-76.47006,28.8,31.0,0,97.8,1009.5,2.0,2.8,42.2,49.3,52.3,53.6,0.0,0.03,0.0
JORD,20161101T004500,43.0698,-76.47006,29.1,30.7,0,97.8,1009.5,1.3,2.0,62.0,49.3,52.3,53.6,0.0,0.03,0.0
JORD,20161101T005000,43.0698,-76.47006,29.4,30.7,0,98.1,1009.5,2.3,2.6,93.4,49.2,52.2,53.5,0.0,0.03,0.0
JORD,20161101T005500,43.0698,-76.47006,29.1,30.7,0,97.9,1009.5,2.3,3.0,79.3,49.2,52.2,53.6,0.0,0.03,0.0
JORD,20161101T010000,43.0698,-76.47006,28.8,30.4,0,97.6,1009.5,1.1,1.8,85.3,49.1,52.2,53.6,0.0,0.03,0.0
JORD,20161101T010500,43.0698,-76.47006,29.3,30.2,0,97.8,1009.4,2.3,2.8,99.1,49.1,52.2,53.6,0.0,0.0,0.0
