station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
SBRI,20160901T000000,42.75217,-77.35931,67.6,67.8,0,83.9,972.3,10.3,14.4,303.2,,,,0.0,0.14,0.14
SBRI,20160901T000500,42.75217,-77.35931,67.5,67.6,0,84.1,972.3,10.3,14.5,304.0,,,,0.0,0.14,0.0
SBRI,20160901T001000,42.75217,-77.35931,67.3,67.4,0,84.5,972.4,9.6,14.7,303.7,,,,0.0,0.14,0.0
SBRI,20160901T001500,42.75217,-77.35931,67.3,67.3,0,84.2,972.4,10.9,15.0,303.9,,,,0.0,0.14,0.0
SBRI,20160901T002000,42.75217,-77.35931,67.2,67.2,0,84.1,972.4,10.9,14.6,304.0,,,,0.0,0.14,0.0
SBRI,20160901T002500,42.75217,-77.35931,67.2,67.2,0,83.3,972.3,10.9,16.8,306.6,,,,0.0,0.14,0.0
SBRI,20160901T003000,42.75217,-77.35931,67.0,67.0,0,83.4,972.4,9.3,14.8,306.6,,,,0.0,0.14,0.0
SBRI,20160901T003500,42.75217,-77.35931,66.7,66.8,0,84.1,972.3,8.0,11.0,304.7,,,,0.0,0.14,0.0
SBRI,20160901T004000,42.75217,-77.35931,66.5,66.7,0,84.7,972.3,8.5,12.3,307.1,,,,0.0,0.14,0.0
SBRI,20160901T004500,42.75217,-77.35931,66.7,66.7,0,84.5,972.3,10.1,15.4,312.5,,,,0.0,0.14,0.0
SBRI,20160901T005000,42.75217,-77.35931,66.7,66.7,0,84.3,972.3,9.0,12.7,311.9,,,,0.0,0.14,0.0
SBRI,20160901T005500,42.75217,-77.35931,66.6,66.7,0,84.6,972.3,7.7,11.6,311.3,,,,0.0,0.14,0.0
SBRI,20160901T010000,42.75217,-77.35931,66.6,66.6,0,84.8,972.3,8.4,12.3,310.1,,,,0.0,0.14,0.0
SBRI,20160901T010500,42.75217,-77.35931,66.4,66.4,0,85.6,972.3,7.6,11.5,310.5,,,,0.0,0.0,0.0
SBRI,20160901T011000,42.75217,-77.35931,66.2,66.3,0,86.2,972.4,8.1,10.7,305.3,,,,0.0,0.0,0.0
SBRI,20160901T011500,42.75217,-77.35931,66.1,66.2,0,86.6,972.4,8.2,11.8,307.9,,,,0.0,0.0,0.0
SBRI,20160901T012000,42.75217,-77.35931,65.9,66.0,0,87.2,972.4,7.5,11.4,301.8,,,,0.0,0.0,0.0
SBRI,20160901T012500,42.75217,-77.35931,65.8,65.9,0,87.7,972.4,5.8,9.1,318.4,,,,0.0,0.0,0.0
SBRI,20160901T013000,42.75217,-77.35931,65.7,65.8,0,88.0,972.4,5.6,8.3,310.5,,,,0.0,0.0,0.0
SBRI,20160901T013500,42.75217,-77.35931,65.7,65.8,0,88.4,972.4,6.0,9.1,313.9,,,,0.0,0.0,0.0
SBRI,20160901T014000,42.75217,-77.35931,66.1,66.1,0,87.4,972.5,7.0,9.6,304.9,,,,0.0,0.0,0.0
SBRI,20160901T014500,42.75217,-77.35931,66.2,66.1,0,87.2,972.5,5.4,8.1,308.2,,,,0.0,0.0,0.0
SBRI,20160901T015000,42.75217,-77.35931,66.1,66.1,0,86.8,972.5,5.8,8.4,313.4,,,,0.0,0.0,0.0
SBRI,20160901T015500,42.75217,-77.35931,65.8,65.9,0,86.7,972.5,5.1,7.8,318.6,,,,0.0,0.0,0.0
SBRI,20160901T020000,42.75217,-77.35931,65.5,65.7,0,87.5,972.4,4.6,6.6,317.2,,,,0.0,0.0,0.0
SBRI,20160901T020500,42.75217,-77.35931,65.3,65.6,0,87.9,972.3,4.5,7.4,318.0,,,,0.0,0.0,0.0
SBRI,20160901T021000,42.75217,-77.35931,65.2,65.4,0,88.6,972.3,5.2,7.8,306.0,,,,0.0,0.0,0.0
SBRI,20160901T021500,42.75217,-77.35931,65.3,65.5,0,87.9,972.3,4.9,7.4,311.7,,,,0.0,0.0,0.0
SBRI,20160901T022000,42.75217,-77.35931,65.2,65.7,0,87.6,972.3,4.2,6.4,297.8,,,,0.0,0.0,0.0
SBRI,20160901T022500,42.75217,-77.35931,64.9,65.3,0,88.2,972.3,3.0,5.4,305.5,,,,0.0,0.0,0.0
SBRI,20160901T023000,42.75217,-77.35931,65.0,65.3,0,88.3,972.3,3.6,5.1,314.4,,,,0.0,0.0,0.0
SBRI,20160901T023500,42.75217,-77.35931,65.2,65.6,0,86.7,972.3,4.0,6.9,313.8,,,,0.0,0.0,0.0
