station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
SPRA,20160901T000000,42.86976,-74.50998,62.4,65.0,0,92.7,988.5,1.0,1.9,115.4,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T000500,42.86976,-74.50998,62.4,64.6,0,93.9,988.4,0.2,1.4,138.5,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T001000,42.86976,-74.50998,62.0,65.9,0,94.6,988.2,3.2,4.5,143.4,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T001500,42.86976,-74.50998,63.1,66.8,0,95.4,988.2,3.7,5.1,140.6,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T002000,42.86976,-74.50998,63.4,65.5,0,92.3,988.4,0.8,3.1,123.3,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T002500,42.86976,-74.50998,62.5,64.6,0,92.9,988.3,1.5,2.8,149.2,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T003000,42.86976,-74.50998,62.6,64.8,0,94.6,988.3,1.0,1.7,174.3,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T003500,42.86976,-74.50998,62.5,64.5,0,94.9,988.2,1.4,2.4,186.5,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T004000,42.86976,-74.50998,62.2,64.2,0,95.2,988.2,0.2,1.2,189.0,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T004500,42.86976,-74.50998,62.3,64.1,0,95.7,988.2,1.8,2.6,171.4,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T005000,42.86976,-74.50998,62.1,63.9,0,95.7,988.2,1.0,1.8,114.2,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T005500,42.86976,-74.50998,61.8,63.8,0,95.9,988.2,1.9,2.7,37.4,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T010000,42.86976,-74.50998,61.6,63.7,0,95.9,988.2,1.8,2.6,148.6,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T010500,42.86976,-74.50998,61.8,63.8,0,96.5,988.1,1.6,2.2,220.0,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T011000,42.86976,-74.50998,62.1,63.5,0,96.6,988.1,1.9,2.4,195.4,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T011500,42.86976,-74.50998,61.9,64.0,0,96.5,988.0,2.2,3.1,165.4,65.1,65.8,65.8,0.0,0.0,0.0
SPRA,20160901T012000,42.86976,-74.50998,61.7,64.1,0,96.5,988.1,0.3,1.6,129.4,65.1,65.8,65.8,0.0,0.0,0.0
