station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
STEP,20170101T000000,42.5262,-73.35906,35.2,35.4,0,67.0,974.7,7.4,12.1,185.4,32.6,34.5,36.3,0.0,0.01,0.0
STEP,20170101T000500,42.5262,-73.35906,35.5,35.6,0,66.0,974.6,8.2,12.1,185.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T001000,42.5262,-73.35906,35.6,35.8,0,65.3,974.6,7.8,12.6,185.2,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T001500,42.5262,-73.35906,35.7,35.8,0,64.7,974.6,7.8,12.8,184.1,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T002000,42.5262,-73.35906,35.7,35.8,0,64.6,974.5,7.4,12.1,182.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T002500,42.5262,-73.35906,35.8,35.9,0,64.2,974.5,7.6,12.3,185.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T003000,42.5262,-73.35906,35.7,35.8,0,64.0,974.5,6.5,13.4,193.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T003500,42.5262,-73.35906,35.8,35.9,0,63.9,974.4,6.1,12.3,192.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T004000,42.5262,-73.35906,35.8,35.9,0,63.9,974.4,6.6,11.2,193.6,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T004500,42.5262,-73.35906,35.8,35.9,0,63.6,974.5,5.4,9.4,189.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T005000,42.5262,-73.35906,35.8,35.9,0,63.8,974.5,6.5,11.5,198.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T005500,42.5262,-73.35906,35.8,35.9,0,64.2,974.5,4.9,9.4,193.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T010000,42.5262,-73.35906,36.1,36.2,0,63.0,974.5,6.5,14.6,195.6,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T010500,42.5262,-73.35906,36.3,36.4,0,61.7,974.5,7.0,11.8,191.9,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T011000,42.5262,-73.35906,36.3,36.4,0,61.8,974.6,6.7,13.2,197.5,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T011500,42.5262,-73.35906,36.4,36.5,0,61.2,974.5,6.2,10.9,198.7,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T012000,42.5262,-73.35906,36.3,36.5,0,61.5,974.5,5.8,8.5,197.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T012500,42.5262,-73.35906,36.4,36.5,0,61.4,974.4,5.8,9.4,194.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T013000,42.5262,-73.35906,36.3,36.5,0,61.3,974.5,5.9,11.5,198.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T013500,42.5262,-73.35906,36.5,36.6,0,60.9,974.5,6.6,12.5,195.4,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T014000,42.5262,-73.35906,36.4,36.5,0,60.9,974.5,5.2,9.5,194.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T014500,42.5262,-73.35906,36.3,36.5,0,61.3,974.5,6.0,10.2,192.5,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T015000,42.5262,-73.35906,36.0,36.3,0,62.2,974.6,3.5,6.9,207.9,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T015500,42.5262,-73.35906,36.0,36.2,0,62.5,974.7,3.4,8.5,222.9,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T020000,42.5262,-73.35906,35.7,36.1,0,63.0,974.8,2.5,5.5,260.8,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T020500,42.5262,-73.35906,36.0,36.3,0,62.8,974.8,2.3,5.8,241.0,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T021000,42.5262,-73.35906,36.0,36.2,0,62.8,974.9,1.8,4.4,202.7,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T021500,42.5262,-73.35906,36.0,36.3,0,62.8,974.9,2.6,6.8,216.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T022000,42.5262,-73.35906,36.1,36.3,0,62.3,974.9,2.8,4.3,193.6,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T022500,42.5262,-73.35906,35.6,36.0,0,64.0,974.9,1.6,3.4,174.6,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T023000,42.5262,-73.35906,35.6,36.0,0,64.9,974.8,1.8,3.2,195.3,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T023500,42.5262,-73.35906,35.7,36.0,0,64.3,974.8,0.6,1.8,212.8,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T024000,42.5262,-73.35906,35.5,36.0,0,64.9,975.0,1.2,2.5,271.1,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T024500,42.5262,-73.35906,35.5,36.0,0,65.1,975.1,1.9,3.7,237.2,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T025000,42.5262,-73.35906,34.8,36.1,0,66.8,975.1,2.0,2.9,283.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T025500,42.5262,-73.35906,34.6,35.9,0,68.9,975.1,1.5,5.4,265.0,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T030000,42.5262,-73.35906,34.8,36.2,0,68.2,975.2,2.6,4.7,266.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T030500,42.5262,-73.35906,35.2,36.1,0,66.7,975.1,1.2,2.8,221.6,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T031000,42.5262,-73.35906,34.1,35.8,0,69.0,975.1,0.5,1.8,149.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T031500,42.5262,-73.35906,33.6,35.6,0,70.6,975.1,1.5,3.1,159.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T032000,42.5262,-73.35906,33.0,34.8,0,72.7,975.1,0.4,1.5,24.2,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T032500,42.5262,-73.35906,32.7,34.9,0,75.8,975.1,1.9,3.7,334.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T033000,42.5262,-73.35906,32.0,34.6,0,78.1,975.2,2.5,3.7,328.7,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T033500,42.5262,-73.35906,31.4,34.2,0,81.4,975.1,2.2,3.5,335.5,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T034000,42.5262,-73.35906,31.9,33.2,0,79.6,975.1,1.6,2.9,356.3,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T034500,42.5262,-73.35906,32.5,34.3,0,77.3,975.1,2.1,4.1,307.3,32.7,34.5,36.3,0.0,0.0,0.0
STEP,20170101T035000,42.5262,-73.35906,32.0,34.1,0,76.8,975.2,3.2,6.2,341.9,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T035500,42.5262,-73.35906,32.5,35.1,0,75.0,975.2,5.7,7.1,347.1,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T040000,42.5262,-73.35906,32.9,34.6,0,71.9,975.2,3.4,6.0,15.5,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T040500,42.5262,-73.35906,32.1,33.9,0,74.8,975.3,0.9,2.2,119.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T041000,42.5262,-73.35906,32.5,33.8,0,74.5,975.4,0.3,1.4,142.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T041500,42.5262,-73.35906,31.9,33.7,0,74.1,975.5,0.7,1.7,199.3,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T042000,42.5262,-73.35906,31.3,32.7,0,77.1,975.6,2.3,5.1,182.8,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T042500,42.5262,-73.35906,31.0,32.5,0,80.6,975.7,2.5,3.4,205.1,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T043000,42.5262,-73.35906,31.4,32.8,0,80.2,975.8,2.0,3.1,204.4,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T043500,42.5262,-73.35906,30.6,32.3,0,81.5,975.8,1.4,2.2,195.8,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T044000,42.5262,-73.35906,30.7,32.4,0,82.2,975.9,0.9,2.0,239.8,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T044500,42.5262,-73.35906,30.7,32.7,0,85.3,976.0,1.5,2.1,253.5,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T045000,42.5262,-73.35906,30.5,33.2,0,86.4,976.0,1.4,1.8,237.1,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T045500,42.5262,-73.35906,30.6,33.5,0,87.3,976.0,2.0,3.6,217.8,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T050000,42.5262,-73.35906,31.6,34.1,0,83.5,976.0,2.2,3.8,222.2,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T050500,42.5262,-73.35906,32.1,34.1,0,82.6,976.2,2.6,4.2,207.6,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T051000,42.5262,-73.35906,32.7,34.2,0,78.3,976.3,3.5,6.2,187.5,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T051500,42.5262,-73.35906,32.2,33.7,0,79.5,976.3,2.4,4.5,190.1,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T052000,42.5262,-73.35906,32.6,34.1,0,79.5,976.7,2.9,5.3,272.6,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T052500,42.5262,-73.35906,33.5,34.8,0,77.6,977.5,8.8,21.4,306.8,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T053000,42.5262,-73.35906,34.6,34.7,0,73.8,977.9,5.7,9.1,322.2,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T053500,42.5262,-73.35906,34.4,34.4,0,76.7,977.9,6.7,11.9,309.6,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T054000,42.5262,-73.35906,34.2,34.1,0,78.9,978.2,4.7,9.4,292.7,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T054500,42.5262,-73.35906,34.0,33.9,0,81.0,978.4,3.3,8.0,272.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T055000,42.5262,-73.35906,33.6,33.5,0,83.9,978.3,4.0,7.9,286.7,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T055500,42.5262,-73.35906,33.5,33.4,0,84.8,978.4,1.8,4.0,289.1,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T060000,42.5262,-73.35906,33.5,33.5,0,84.8,978.5,1.5,4.7,243.7,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T060500,42.5262,-73.35906,33.6,33.7,0,84.0,978.7,2.5,6.4,273.4,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T061000,42.5262,-73.35906,33.7,33.8,0,83.3,978.8,2.3,4.7,276.7,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T061500,42.5262,-73.35906,33.8,33.9,0,82.6,979.0,2.3,3.4,340.1,32.6,34.5,36.3,0.0,0.0,0.0
STEP,20170101T062000,42.5262,-73.35906,33.8,33.9,0,82.3,979.2,3.0,6.4,322.9,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T062500,42.5262,-73.35906,33.8,33.9,0,82.3,979.4,2.3,3.6,323.1,32.6,34.6,36.3,0.0,0.0,0.0
STEP,20170101T063000,42.5262,-73.35906,33.8,33.9,0,81.6,979.6,4.9,9.8,312.0,32.7,34.6,36.3,0.0,0.0,0.0
STEP,20170101T063500,42.5262,-73.35906,33.9,34.0,0,80.9,979.7,2.6,7.4,282.9,32.6,34.5,36.3,0.0,0.0,0.0
