station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
WATE,20160901T000000,42.87966,-76.81255,66.9,67.1,0,97.3,994.9,1.0,1.8,226.7,73.3,73.9,72.4,0.0,0.18,0.18
WATE,20160901T000500,42.87966,-76.81255,67.0,67.3,0,97.3,994.9,1.2,1.6,205.8,73.4,73.9,72.3,0.0,0.18,0.0
WATE,20160901T001000,42.87966,-76.81255,67.0,67.3,0,97.4,994.9,1.5,1.8,215.8,73.3,73.9,72.3,0.0,0.18,0.0
WATE,20160901T001500,42.87966,-76.81255,67.1,67.2,0,97.4,994.9,0.2,1.3,222.7,73.2,73.9,72.3,0.0,0.18,0.0
WATE,20160901T002000,42.87966,-76.81255,67.1,67.2,0,97.4,994.9,0.5,1.8,224.1,73.1,73.9,72.3,0.0,0.18,0.0
WATE,20160901T002500,42.87966,-76.81255,67.0,67.3,0,97.4,995.0,1.3,1.6,211.3,73.2,73.9,72.4,0.0,0.18,0.0
WATE,20160901T003000,42.87966,-76.81255,67.0,66.9,0,97.4,995.0,0.6,1.2,221.9,73.1,73.9,72.3,0.0,0.18,0.0
WATE,20160901T003500,42.87966,-76.81255,67.1,67.1,0,97.4,995.0,0.0,0.1,221.7,73.1,73.8,72.3,0.0,0.18,0.0
WATE,20160901T004000,42.87966,-76.81255,67.1,67.7,0,97.5,995.0,0.9,2.3,272.8,73.0,73.8,72.3,0.0,0.18,0.0
WATE,20160901T004500,42.87966,-76.81255,67.2,68.0,0,97.5,995.1,2.9,5.0,272.9,73.0,73.7,72.3,0.0,0.18,0.0
WATE,20160901T005000,42.87966,-76.81255,67.9,68.3,0,97.4,995.0,3.0,5.3,300.0,73.0,73.7,72.3,0.0,0.18,0.0
WATE,20160901T005500,42.87966,-76.81255,68.2,68.5,0,96.8,995.0,4.3,7.7,314.0,73.0,73.5,72.3,0.0,0.18,0.0
WATE,20160901T010000,42.87966,-76.81255,68.3,68.4,0,95.9,995.0,5.1,9.2,333.6,73.0,73.6,72.3,0.0,0.18,0.0
WATE,20160901T010500,42.87966,-76.81255,68.2,68.4,0,95.1,995.0,5.6,8.0,337.0,73.0,73.5,72.4,0.0,0.0,0.0
WATE,20160901T011000,42.87966,-76.81255,68.3,68.4,0,94.4,995.0,5.7,8.1,345.2,73.0,73.5,72.3,0.0,0.0,0.0
WATE,20160901T011500,42.87966,-76.81255,68.2,68.3,0,93.8,995.0,5.1,7.1,344.9,73.0,73.4,72.3,0.0,0.0,0.0
WATE,20160901T012000,42.87966,-76.81255,68.1,68.2,0,93.9,995.0,5.2,7.7,341.4,73.0,73.4,72.3,0.0,0.0,0.0
WATE,20160901T012500,42.87966,-76.81255,68.1,68.2,0,93.7,995.1,5.7,9.6,346.2,73.0,73.4,72.3,0.0,0.0,0.0
WATE,20160901T013000,42.87966,-76.81255,68.0,68.2,0,93.1,995.1,6.1,8.3,353.3,73.0,73.4,72.3,0.0,0.0,0.0
WATE,20160901T013500,42.87966,-76.81255,67.9,68.1,0,92.0,995.1,5.9,9.0,354.1,73.0,73.4,72.4,0.0,0.0,0.0
WATE,20160901T014000,42.87966,-76.81255,67.8,68.0,0,91.6,995.1,5.7,10.7,357.5,73.0,73.4,72.3,0.0,0.0,0.0
WATE,20160901T014500,42.87966,-76.81255,67.6,67.8,0,91.8,995.1,4.6,6.5,1.1,72.9,73.4,72.4,0.0,0.0,0.0
WATE,20160901T015000,42.87966,-76.81255,67.3,67.6,0,92.3,995.1,3.6,5.0,1.7,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T015500,42.87966,-76.81255,67.1,67.5,0,92.5,995.1,2.8,5.3,6.6,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T020000,42.87966,-76.81255,67.0,67.4,0,92.7,995.0,3.4,5.3,5.9,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T020500,42.87966,-76.81255,66.6,67.2,0,92.6,995.0,3.6,4.7,353.9,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T021000,42.87966,-76.81255,66.5,66.9,0,93.3,995.0,2.4,3.7,350.6,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T021500,42.87966,-76.81255,66.5,66.8,0,93.7,995.0,1.8,2.8,345.5,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T022000,42.87966,-76.81255,66.3,66.7,0,93.9,995.0,1.4,2.5,327.5,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T022500,42.87966,-76.81255,66.0,66.6,0,94.1,995.0,1.4,2.6,296.1,72.7,73.4,72.3,0.0,0.0,0.0
WATE,20160901T023000,42.87966,-76.81255,65.8,66.6,0,94.2,995.1,2.3,3.0,310.8,72.6,73.4,72.3,0.0,0.0,0.0
WATE,20160901T023500,42.87966,-76.81255,65.9,66.7,0,94.0,995.1,2.2,3.8,311.5,72.6,73.3,72.4,0.0,0.0,0.0
WATE,20160901T024000,42.87966,-76.81255,65.5,66.5,0,94.1,995.1,1.8,2.3,302.4,72.6,73.4,72.4,0.0,0.0,0.0
WATE,20160901T024500,42.87966,-76.81255,65.7,66.6,0,93.9,995.1,2.6,4.1,314.3,72.3,73.3,72.3,0.0,0.0,0.0
WATE,20160901T025000,42.87966,-76.81255,65.6,66.4,0,92.5,995.1,2.7,3.7,308.5,72.4,73.3,72.3,0.0,0.0,0.0
WATE,20160901T025500,42.87966,-76.81255,65.5,66.1,0,91.6,995.1,2.8,3.5,313.2,72.3,73.3,72.3,0.0,0.0,0.0
WATE,20160901T030000,42.87966,-76.81255,65.2,65.9,0,91.0,995.2,2.5,3.3,316.9,72.3,73.2,72.3,0.0,0.0,0.0
WATE,20160901T030500,42.87966,-76.81255,65.0,65.8,0,90.8,995.1,2.8,3.7,336.4,72.3,73.2,72.3,0.0,0.0,0.0
WATE,20160901T031000,42.87966,-76.81255,64.9,65.7,0,90.6,995.1,3.2,4.6,341.0,72.3,73.2,72.3,0.0,0.0,0.0
WATE,20160901T031500,42.87966,-76.81255,64.7,65.5,0,91.3,995.1,2.8,3.5,335.5,72.3,73.1,72.3,0.0,0.0,0.0
WATE,20160901T032000,42.87966,-76.81255,64.2,65.3,0,92.3,995.1,1.9,2.8,337.1,72.0,73.1,72.3,0.0,0.0,0.0
WATE,20160901T032500,42.87966,-76.81255,63.3,64.9,0,93.8,995.1,1.5,2.0,316.6,71.8,73.1,72.3,0.0,0.0,0.0
WATE,20160901T033000,42.87966,-76.81255,63.1,65.3,0,94.7,995.1,2.4,3.2,307.4,71.8,73.1,72.3,0.0,0.0,0.0
WATE,20160901T033500,42.87966,-76.81255,63.1,65.1,0,95.2,995.1,2.3,2.7,292.5,71.8,73.0,72.3,0.0,0.0,0.0
WATE,20160901T034000,42.87966,-76.81255,63.4,64.4,0,95.8,995.1,2.0,2.9,296.7,71.8,73.0,72.3,0.0,0.0,0.0
WATE,20160901T034500,42.87966,-76.81255,63.7,64.8,0,96.1,995.1,2.8,3.7,307.7,71.8,73.0,72.3,0.0,0.0,0.0
WATE,20160901T035000,42.87966,-76.81255,64.4,65.1,0,95.7,995.1,3.9,5.6,300.7,71.6,73.0,72.3,0.0,0.0,0.0
WATE,20160901T035500,42.87966,-76.81255,64.8,65.3,0,93.9,995.2,4.6,6.1,297.5,71.6,73.0,72.4,0.0,0.0,0.0
WATE,20160901T040000,42.87966,-76.81255,65.1,65.4,0,91.4,995.2,4.2,5.6,306.9,71.5,73.0,72.3,0.0,0.0,0.0
WATE,20160901T040500,42.87966,-76.81255,65.1,65.3,0,90.5,995.3,3.5,6.0,322.7,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T041000,42.87966,-76.81255,65.0,65.3,0,89.8,995.2,3.7,5.2,359.7,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T041500,42.87966,-76.81255,64.8,65.4,0,89.1,995.1,3.4,4.7,5.0,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T042000,42.87966,-76.81255,64.0,65.1,0,89.7,995.2,3.0,5.8,318.3,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T042500,42.87966,-76.81255,64.1,64.9,0,88.6,995.2,3.7,5.3,325.2,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T043000,42.87966,-76.81255,63.8,64.7,0,88.8,995.3,3.6,4.6,331.5,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T043500,42.87966,-76.81255,63.6,64.4,0,90.3,995.3,3.9,4.9,331.9,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T044000,42.87966,-76.81255,63.6,64.3,0,90.7,995.3,4.4,5.6,325.5,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T044500,42.87966,-76.81255,63.8,64.4,0,89.7,995.3,4.3,6.1,332.4,71.4,73.0,72.3,0.0,0.0,0.0
WATE,20160901T045000,42.87966,-76.81255,63.9,64.5,0,88.1,995.4,3.4,5.2,338.9,71.2,73.0,72.3,0.0,0.0,0.0
WATE,20160901T045500,42.87966,-76.81255,63.8,64.3,0,88.5,995.3,2.8,4.2,334.7,71.1,73.0,72.3,0.0,0.0,0.0
WATE,20160901T050000,42.87966,-76.81255,63.7,64.3,0,89.2,995.4,2.9,3.9,332.4,71.1,73.0,72.3,0.0,0.0,0.0
WATE,20160901T050500,42.87966,-76.81255,63.6,64.3,0,89.4,995.4,2.5,3.7,331.5,71.1,73.0,72.3,0.0,0.0,0.0
WATE,20160901T051000,42.87966,-76.81255,63.5,64.1,0,89.5,995.4,2.5,3.3,331.7,71.1,73.0,72.3,0.0,0.0,0.0
WATE,20160901T051500,42.87966,-76.81255,63.2,63.9,0,89.7,995.5,2.7,3.9,332.3,71.1,73.0,72.3,0.0,0.0,0.0
WATE,20160901T052000,42.87966,-76.81255,62.9,63.8,0,90.8,995.5,2.7,3.7,324.2,71.1,72.9,72.3,0.0,0.0,0.0
WATE,20160901T052500,42.87966,-76.81255,62.9,63.8,0,91.3,995.5,2.6,3.9,327.6,71.1,72.9,72.3,0.0,0.0,0.0
WATE,20160901T053000,42.87966,-76.81255,63.2,63.8,0,90.1,995.5,2.4,3.2,325.2,71.0,72.9,72.3,0.0,0.0,0.0
WATE,20160901T053500,42.87966,-76.81255,63.0,63.6,0,90.0,995.5,1.6,2.8,320.9,70.9,72.8,72.3,0.0,0.0,0.0
WATE,20160901T054000,42.87966,-76.81255,62.1,63.3,0,91.1,995.6,2.1,3.9,289.3,70.8,72.7,72.3,0.0,0.0,0.0
WATE,20160901T054500,42.87966,-76.81255,61.6,63.2,0,92.9,995.7,2.6,3.6,289.8,70.7,72.7,72.3,0.0,0.0,0.0
WATE,20160901T055000,42.87966,-76.81255,61.9,63.2,0,93.4,995.7,2.2,3.0,287.9,70.7,72.7,72.3,0.0,0.0,0.0
WATE,20160901T055500,42.87966,-76.81255,62.0,63.2,0,93.4,995.7,2.0,2.6,287.1,70.7,72.7,72.3,0.0,0.0,0.0
WATE,20160901T060000,42.87966,-76.81255,62.0,63.4,0,92.8,995.7,2.4,3.4,274.0,70.7,72.7,72.3,0.0,0.0,0.0
WATE,20160901T060500,42.87966,-76.81255,61.8,62.7,0,92.5,995.7,1.8,2.7,292.3,70.7,72.7,72.3,0.0,0.0,0.0
WATE,20160901T061000,42.87966,-76.81255,61.6,63.1,0,93.3,995.9,3.0,4.2,311.6,70.5,72.7,72.3,0.0,0.0,0.0
WATE,20160901T061500,42.87966,-76.81255,62.0,63.0,0,93.0,996.0,3.0,5.0,306.5,70.4,72.7,72.3,0.0,0.0,0.0
WATE,20160901T062000,42.87966,-76.81255,62.5,63.2,0,91.6,996.0,3.0,5.2,315.7,70.3,72.7,72.3,0.0,0.0,0.0
