station,datetime,lat [degrees],lon [degrees],temp_2m [degF],temp_9m [degF],solar_insolation [W/m^2],rh [%],pressure [mbar],avg_wind_speed [mph],max_wind_speed [mph],wind_direction [degree],soil_temp_5cm [degF],soil_temp_25cm [degF],soil_temp_50cm [degF],precip_5min [inch],precip_est [inch],precip_edt [inch]
WEST,20170101T000000,43.10647,-75.46146,36.0,36.2,0,82.2,982.8,10.0,17.0,201.9,36.0,37.8,39.0,0.0,0.15,0.0
WEST,20170101T000500,43.10647,-75.46146,36.3,36.5,0,81.2,982.8,10.0,17.1,215.2,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T001000,43.10647,-75.46146,36.5,36.7,0,80.8,982.7,10.9,16.2,206.6,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T001500,43.10647,-75.46146,36.5,36.7,0,80.7,982.8,10.0,17.5,209.7,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T002000,43.10647,-75.46146,36.7,36.9,0,80.3,982.9,9.0,14.3,218.0,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T002500,43.10647,-75.46146,36.7,37.0,0,80.0,983.0,8.5,15.3,221.0,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T003000,43.10647,-75.46146,36.8,37.0,0,80.0,982.9,9.8,13.5,213.2,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T003500,43.10647,-75.46146,37.0,37.2,0,79.4,983.0,9.9,16.1,217.5,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T004000,43.10647,-75.46146,37.1,37.3,0,79.1,983.1,9.8,14.7,219.7,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T004500,43.10647,-75.46146,37.0,37.2,0,79.2,983.1,7.4,13.4,221.8,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T005000,43.10647,-75.46146,37.1,37.3,0,79.3,983.2,7.5,11.0,221.5,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T005500,43.10647,-75.46146,37.1,37.3,0,79.3,983.2,6.7,11.0,224.5,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T010000,43.10647,-75.46146,37.1,37.3,0,79.4,983.1,7.3,14.2,218.8,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T010500,43.10647,-75.46146,37.1,37.3,0,79.6,983.0,7.7,13.2,211.8,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T011000,43.10647,-75.46146,37.1,37.3,0,79.8,983.1,6.7,12.7,215.5,36.0,37.8,39.0,0.0,0.0,0.0
WEST,20170101T011500,43.10647,-75.46146,37.0,37.3,0,80.2,983.2,5.6,10.2,230.1,36.0,37.8,39.0,0.0,0.0,0.0
