0 0,1,2,3,6 5 20160902 39,49
1 0,1,3,5,6,7 1,2,3,4 20160908 220,231
2 0,1,3,5,7 1,2,3,4 20160908 237,239
3 1,6,7 7,8,9 20160901 158,175
4 6,7 2,3,5,6 20160919 169,186
5 6,7 4,5,6,7 20160911 171,186
6 6,7 4,6,7,8 20160911 162,179
7 0,7 5,6,7,9 20160910 180,197
8 0,1,4 0,1,2,3 20160923 170,185
9 7 6,7,8,9 20160901 214,226
10 7 3,4,5,7 20160914 196,201
11 7 3,5,7,8 20160902 202,219
12 7 0,1,2,3 20160901 250,265
13 7 3,4,5,6 20160914 199,204
14 7 4,6,7,9 20160910 196,202
15 7 5,6,7,8 20160912 189,197
16 7 2,3,4,5 20160910 223,240
17 7 4,6,7,8 20160912 205,210
18 7 2,3,5,7 20160924 202,206
19 7 3,4,5,7 20160910 233,248
20 7 6,7,8,9 20160901 204,212
21 7 2,3,5,6 20160914 209,211
22 7 5,6,7,9 20160914 211,214
23 7 4,5,7,8 20160908 200,207
24 7 0,1,2,3 20160919 221,232
25 7 5,6,7,8 20160911 199,211
26 7 2,3,4,5 20160909 205,207
27 7 6,7,8,9 20160901 240,257
28 7 5,7,8 20160912 223,226
29 4 0,1,2,3 20160901 155,161
30 4 1,2,3,5 20160923 199,209
31 4 3,4,5,6 20160925 96,113
32 4 2,3,4,5 20160914 279,282
33 4 1,2,3,4 20160923 275,279
34 4 2,3,4,6 20160903 242,255
35 4 1 20160910 1,18
36 0,1,6 5,6,7,9 20160915 266,283
37 0,1,3,5,6 2,3,5 20160911 270,285
38 0,1,6 4,6,7,9 20160912 266,283
39 0,1,6 5,7,8,9 20160921 266,283
40 0,1,6 5,7,9 20160922 264,279
41 0,1,6 5,7,8,9 20160916 269,286
42 0,1,3,5,6 2,3,5,6 20160923 154,171
43 0,1,6 1,2,3,5 20160925 151,168
44 0,1,6 6,7,8,9 20160922 157,174
45 0,1,6 3,5,7,9 20160925 264,279
46 0,1,6 5,7,8,9 20160920 264,281
47 0,1,6 4,5,7,9 20160904 273,287
48 0,1,3,6 3,5,6 20160913 152,168
49 0,1,3,6 0,1,2,3 20160905 268,285
50 0,3,5,6 1,2,3,5 20160924 260,277
51 0,1,6 2,3,4,5 20160925 272,281
52 0,1,6 3,4,5,6 20160921 149,166
53 0,1,6 3,4,5,6 20160913 270,285
54 0,1,6 5,7,8,9 20160903 268,285
55 0,1,6 5,6,7,9 20160922 165,182
56 0,1,6 6,7,8,9 20160904 145,162
57 0,1,6 2,3,4,6 20160903 154,171
58 0,1,6 3,4,5,7 20160919 268,285
59 0,1,6 2,3,5,6 20160920 157,174
60 0,1,3,6 7,9 20160914 155,171
61 0,1,6 2,3,4,6 20160906 155,171
62 0,1,6 6,7,8,9 20160912 153,170
63 0,1,6 2,3,4,6 20160907 156,173
64 0,1,6 4,5,7,9 20160920 178,193
65 0,1,6 3,4,5,6 20160905 146,163
66 0,1,6 3,4,5 20160924 276,287
67 0,1,6 6,7,9 20160915 161,177
68 0,1,2,3,5 5,6,7,8 20160911 125,138
69 0,1,2,3,5 1,2,3,4 20160911 76,88
70 0,1,6 5,7,8,9 20160907 268,284
71 0,1,6 6,7,8,9 20160905 159,176
72 0,1,6 2,3,4,5 20160924 165,182
73 0,1,6 5,7,8,9 20160915 149,166
74 0,1,6 3,4,5 20160906 268,284
75 0,1,6 5,6,7,8 20160906 173,190
76 0,1,6 5,7,8,9 20160917 157,174
77 0,1,6 3,5,7,9 20160920 272,285
78 0,1,6 4,6,7 20160916 147,164
79 0,1,6 2,3,4,5 20160924 157,173
80 0,1,6 3,4 20160911 53,70
81 0,1,6 5,7,8,9 20160909 266,282
82 0,1,6 6,7,9 20160915 170,187
83 0,1,6 1,2,3,4 20160918 269,282
84 0,1,6 0,1,2,3 20160906 145,162
85 0,1,6 3,4,5,6 20160906 12,29
86 0,1,6 5,6,7 20160912 164,179
87 0,1,6 2,3,4,6 20160902 139,156
88 0,2,3,5 2,3,5,7 20160911 101,118
89 0,6 2,3,5,6 20160923 28,43
90 0,1,6 8,9 20160902 268,285
91 0,1,2,3 2,3,5,6 20160911 93,110
92 0,6 3,4,6,7 20160924 177,193
93 0,1,5 2,3,4 20160918 276,286
94 0,6 3,4,5,7 20160909 281,286
95 1,6 2,3,5,6 20160923 108,125
96 0,6 2,3,5 20160916 175,191
97 3,5 0 20160917 272,274
98 0,1,2 9 20160911 139,151
99 3,5 0 20160917 197,203
100 0,1 2,3,5,7 20160904 169,186
101 0,1 5,7,8,9 20160908 151,168
102 6 5,6 20160923 58,74
103 6 3,5,6,7 20160924 185,198
104 0,1 0,1,2,3 20160908 269,286
105 0,1 7,8,9 20160914 144,161
106 0,1 0 20160911 3,20
107 0,1 2,3,5,7 20160905 174,185
108 6 5,7,8,9 20160911 188,204
109 0,1 0,1,2,3 20160910 164,180
110 0,1 6,7,8,9 20160923 251,268
111 6 5,7,9 20160921 190,207
112 0,1 6,7,8,9 20160902 155,170
113 0,1 6,7,9 20160913 185,202
114 6 2,3,4,6 20160919 190,207
115 6 6,7,8,9 20160901 186,203
116 0,1 0,1,2,3 20160910 156,173
117 0,1 2,3,5,7 20160916 185,201
118 0,1 6,7,8,9 20160925 10,27
119 0,1 3,5 20160914 106,123
120 0,1 3,4,5,6 20160914 117,134
121 0,1 5,7,8,9 20160923 230,245
122 0,1 6,7,8,9 20160925 22,39
123 0,1 4,5,6,7 20160910 214,231
124 0,1 6,7,8,9 20160901 273,287
125 0,1 3,4,5,7 20160906 190,205
126 0,1 3,4,5,7 20160908 167,184
127 0,1 6,7,9 20160906 29,46
128 0,1 2,3,4,5 20160903 0,16
129 0,1 4,6,7,8 20160910 10,26
130 0,1 4,6,7 20160917 179,196
131 0,1 6,7,8 20160916 13,30
132 5 0 20160917 255,272
133 5 1,2,3,5 20160908 61,78
134 0 4,6,7,9 20160915 13,30
135 1 2,3,4,5 20160907 6,23
136 3 2 20160901 19,21
137 0 3,4,5,7 20160903 11,28
138 0 2,3,5,6 20160924 58,75
139 1 7,8,9 20160915 23,40
140 0 5,6,7 20160917 49,66
141 1 2,3,4,6 20160914 10,27
142 0 1,2,3 20160923 83,98
143 0 5,6,7,8 20160917 34,50
144 1 1,2,3,4 20160904 5,22
145 1 5,7,8 20160922 195,212
146 1 6,7,8 20160922 12,29
147 1 4,6,7,8 20160916 4,19
148 1 4,6,7,8 20160903 32,49
149 1 4,5,7,8 20160912 0,17
150 2 1,2,3,4 20160905 224,241
151 2 2 20160916 216,232
