0  18 20160402 145,147
1  27 20160527 247,249
2  48 20160515 231,233
3  16 20160723 241,244
4  24 20160423 203,205
5  27 20160501 111,113
6  16 20160403 97,99
7  44 20160306 81,83
8  44 20160824 249,251
9  48 20160515 236,238
10  12 20160618 165,167
11  18 20160715 213,236
12  37 20160708 137,160
13  26 20160430 173,175
14  26 20160311 171,173
15  24 20160423 209,211
16  16 20160403 103,105
17  27 20160501 117,119
18  25 20160303 166,168
19  27 20160704 123,125
20  12 20160808 174,176
21  44 20160306 88,90
22  12 20160618 171,173
23  12 20160808 144,146
24  12 20160804 188,190
25  1 20160731 200,223
26  41 20160430 148,150
27  32 20160821 152,162
28  8 20160515 130,132
29  37 20160322 97,118
30  10 20160515 90,92
31  52 20160730 161,163
32  12 20160804 184,187
33  12 20160808 158,160
34  12 20160808 139,143
35  12 20160808 147,149
36  37 20160708 106,129
38  27 20160827 85,87
39  26 20160311 176,178
40  47 20160808 195,218
41  9 20160611 72,74
42  32 20160821 146,149
43  15 20160416 249,251
44  12 20160808 189,191
45  50 20160627 143,166
46  12 20160804 167,169
47  12 20160815 212,214
48  53 20160325 76,79
49  12 20160815 189,191
51  50 20160627 137,139
52  1 20160329 146,169
53  40 20160416 237,239
54  12 20160804 177,179
55  12 20160815 161,163
57  27 20160704 130,132
58  39 20160926 140,142
59  53 20160807 234,236
60  25 20160918 108,110
61  25 20160401 142,144
62  12 20160808 163,165
63  53 20160430 245,247
64  12 20160804 148,150
65  52 20160905 161,184
66  27 20160904 116,118
67  32 20160619 233,251
68  8 20160515 135,137
69  9 20160605 85,87
70  39 20160926 132,134
71  28 20160824 168,191
72  37 20160702 195,218
73  12 20160808 128,130
74  32 20160516 148,171
75  0 20160310 200,202
76  0 20160515 175,177
77  41 20160430 154,156
78  6 20160410 226,228
79  47 20160507 134,136
80  53 20160403 79,81
81  12 20160804 158,160
82  27 20160716 161,163
83  9 20160824 140,142
84  12 20160815 165,167
85  47 20160507 140,163
86  43 20160728 249,251
87  12 20160815 177,179
88  9 20160824 143,145
89  47 20160823 242,244
90  39 20160926 160,183
91  39 20160926 148,151
92  47 20160827 228,230
93  32 20160714 233,235
94  12 20160815 206,208
95  43 20160712 229,231
96  3 20160810 103,126
97  37 20160702 191,193
98  43 20160728 244,246
99  42 20160325 156,158
100  45 20160706 132,154
101  32 20160516 145,147
102  37 20160702 172,174
103  4 20160830 85,87
104  12 20160725 161,163
105  50 20160613 140,142
106  43 20160928 213,215
107  8 20160708 188,190
108  4 20160830 77,81
109  27 20160907 232,234
110  27 20160501 85,87
111  16 20160731 91,93
112  37 20160702 179,181
113  9 20160312 76,78
114  9 20160529 92,94
115  53 20160618 202,204
116  43 20160712 244,246
117  27 20160903 92,94
118  15 20160928 128,130
119  9 20160312 72,74
120  31 20160705 158,181
121  3 20160826 77,100
122  37 20160702 185,187
123  28 20160929 142,144
124  12 20160725 158,160
125  43 20160812 196,198
126  15 20160822 138,140
127  1 20160711 107,130
128  53 20160807 240,242
129  40 20160519 209,232
130  43 20160928 225,227
131  25 20160926 238,240
132  25 20160918 114,116
133  53 20160717 86,88
134  18 20160622 149,171
135  1 20160829 111,113
136  31 20160705 153,155
137  53 20160528 191,193
138  53 20160318 209,211
139  53 20160907 239,241
140  12 20160803 190,192
141  43 20160712 237,239
142  53 20160422 185,187
143  53 20160324 239,241
144  53 20160505 226,228
145  53 20160716 91,93
146  53 20160518 190,192
147  53 20160828 81,83
148  53 20160326 74,76
149  53 20160611 105,107
151  53 20160815 245,247
152  53 20160603 79,81
153  53 20160821 228,230
154  53 20160901 232,234
155  53 20160806 217,219
156  9 20160529 99,101
157  53 20160909 183,185
158  53 20160612 208,210
159  53 20160719 154,156
160  53 20160811 229,231
161  53 20160610 231,233
162  53 20160823 83,85
163  53 20160828 232,234
164  53 20160923 190,192
165  53 20160513 192,194
166  3 20160525 97,120
167  53 20160526 200,202
168  53 20160714 188,190
169  43 20160712 247,249
170  53 20160804 247,249
172  25 20160313 74,84
174  53 20160602 139,141
175  53 20160709 190,192
176  53 20160513 166,168
178  37 20160519 127,130
179  53 20160514 165,167
180  42 20160730 147,149
182  43 20160802 234,236
183  3 20160525 92,96
185  0 20160310 206,208
186  1 20160729 205,207
191  53 20160611 231,234
194  9 20160822 158,161
202  30 20160925 245,247
203  16 20160731 96,99
207  12 20160817 205,228
210  53 20160709 196,199
222  23 20160423 140,142
223  43 20160718 129,132
235  18 20160910 231,234
247  1 20160803 244,251
261  30 20160828 189,192
276  47 20160512 160,164
280  47 20160614 145,168
300  30 20160828 195,218
318  26 20160518 196,219
353  1 20160724 220,243
410  43 20160908 245,249
468  45 20160508 232,248
486  50 20160710 204,224
1076  1 20160729 180,183
1141  47 20160513 128,150
1246  53 20160813 247,249
2279  53 20160618 208,211
3869  37 20160509 135,140
